Core Config, Excited Config, Term, J, Energy
1s1, 4n1, 1.0N[11.0], 11.0, 191455.91131026752
1s1, 4o1, 3.0O[13.0, 12.0, 11.0], 13.0, 191455.91131026752
1s1, 4o1, 3.0O[13.0, 12.0, 11.0], 12.0, 191455.91131026752
1s1, 4o1, 3.0O[13.0, 12.0, 11.0], 11.0, 191455.91131026752
1s1, 4o1, 1.0O[12.0], 12.0, 191455.91131026752
1s1, 4q1, 3.0Q[14.0, 13.0, 12.0], 14.0, 191455.91131026752
1s1, 4q1, 3.0Q[14.0, 13.0, 12.0], 13.0, 191455.91131026752
1s1, 4q1, 3.0Q[14.0, 13.0, 12.0], 12.0, 191455.91131026752
1s1, 4q1, 1.0Q[13.0], 13.0, 191455.91131026752
1s1, 4r1, 3.0R[15.0, 14.0, 13.0], 15.0, 191455.91131026752
1s1, 4r1, 3.0R[15.0, 14.0, 13.0], 14.0, 191455.91131026752
1s1, 4r1, 3.0R[15.0, 14.0, 13.0], 13.0, 191455.91131026752
1s1, 4r1, 1.0R[14.0], 14.0, 191455.91131026752
1s1, 4t1, 3.0T[16.0, 15.0, 14.0], 16.0, 191455.91131026752
1s1, 4t1, 3.0T[16.0, 15.0, 14.0], 15.0, 191455.91131026752
1s1, 4t1, 3.0T[16.0, 15.0, 14.0], 14.0, 191455.91131026752
1s1, 4t1, 1.0T[15.0], 15.0, 191455.91131026752
1s1, 4u1, 3.0U[17.0, 16.0, 15.0], 17.0, 191455.91131026752
1s1, 4u1, 3.0U[17.0, 16.0, 15.0], 16.0, 191455.91131026752
1s1, 4u1, 3.0U[17.0, 16.0, 15.0], 15.0, 191455.91131026752
1s1, 4u1, 1.0U[16.0], 16.0, 191455.91131026752
1s1, 4v1, 3.0V[18.0, 17.0, 16.0], 18.0, 191455.91131026752
1s1, 4v1, 3.0V[18.0, 17.0, 16.0], 17.0, 191455.91131026752
1s1, 4v1, 3.0V[18.0, 17.0, 16.0], 16.0, 191455.91131026752
1s1, 4v1, 1.0V[17.0], 17.0, 191455.91131026752
1s1, 4w1, 3.0W[19.0, 18.0, 17.0], 19.0, 191455.91131026752
1s1, 4w1, 3.0W[19.0, 18.0, 17.0], 18.0, 191455.91131026752
1s1, 4w1, 3.0W[19.0, 18.0, 17.0], 17.0, 191455.91131026752
1s1, 4w1, 1.0W[18.0], 18.0, 191455.91131026752
1s1, 4x1, 3.0X[20.0, 19.0, 18.0], 20.0, 191455.91131026752
1s1, 4x1, 3.0X[20.0, 19.0, 18.0], 19.0, 191455.91131026752
1s1, 4x1, 3.0X[20.0, 19.0, 18.0], 18.0, 191455.91131026752
1s1, 4x1, 1.0X[19.0], 19.0, 191455.91131026752
1s1, 5s1, 3.0S[1.0], 1.0, 193923.68467520294
1s1, 5s1, 1.0S[0.0], 0.0, 193923.68467520294
1s1, 5p1, 3.0P[2.0, 1.0, 0.0], 2.0, 193923.68467520294
