
1s2.2s2.2p1(2.0P).6d1--1.0P[1.0], 1.0, 219945.465452 ritzRydberg

1s2.2s2.2p1(2.0P).6d1--3.0F[4.0, 3.0, 2.0], 4.0, 220631.868075 ritzRydberg
1s2.2s2.2p1(2.0P).6d1--3.0F[4.0, 3.0, 2.0], 3.0, 220631.868075 ritzRydberg
1s2.2s2.2p1(2.0P).6d1--3.0F[4.0, 3.0, 2.0], 2.0, 220631.868075 ritzRydberg

1s2.2s2.2p1(2.0P).6f1--3.0F[4.0, 3.0, 2.0], 4.0, 220631.868075 ritzRydberg
1s2.2s2.2p1(2.0P).6f1--3.0F[4.0, 3.0, 2.0], 3.0, 220631.868075 ritzRydberg
1s2.2s2.2p1(2.0P).6f1--3.0F[4.0, 3.0, 2.0], 2.0, 220631.868075 ritzRydberg

1s2.2s2.2p1(2.0P).6g1--3.0F[4.0, 3.0, 2.0], 4.0, 220631.868075 ritzRydberg
1s2.2s2.2p1(2.0P).6g1--3.0F[4.0, 3.0, 2.0], 3.0, 220631.868075 ritzRydberg
1s2.2s2.2p1(2.0P).6g1--3.0F[4.0, 3.0, 2.0], 2.0, 220631.868075 ritzRydberg

1s2.2s2.2p1(2.0P).6p1--3.0D[3.0, 2.0, 1.0], 3.0, 220734.937037 ritzRydberg
1s2.2s2.2p1(2.0P).6p1--3.0D[3.0, 2.0, 1.0], 2.0, 220734.937037 ritzRydberg
1s2.2s2.2p1(2.0P).6p1--3.0D[3.0, 2.0, 1.0], 1.0, 220734.937037 ritzRydberg

1s2.2s2.2p1(2.0P).6d1--3.0D[3.0, 2.0, 1.0], 3.0, 220734.937037 ritzRydberg
1s2.2s2.2p1(2.0P).6d1--3.0D[3.0, 2.0, 1.0], 2.0, 220734.937037 ritzRydberg
1s2.2s2.2p1(2.0P).6d1--3.0D[3.0, 2.0, 1.0], 1.0, 220734.937037 ritzRydberg

1s2.2s2.2p1(2.0P).6f1--3.0D[3.0, 2.0, 1.0], 3.0, 220734.937037 ritzRydberg
1s2.2s2.2p1(2.0P).6f1--3.0D[3.0, 2.0, 1.0], 2.0, 220734.937037 ritzRydberg
1s2.2s2.2p1(2.0P).6f1--3.0D[3.0, 2.0, 1.0], 1.0, 220734.937037 ritzRydberg

1s2.2s2.2p1(2.0P).7p1--3.0S[1.0], 1.0, 220881.107768 ritzRydberg

1s2.2s2.2p1(2.0P).6p1--1.0D[2.0], 2.0, 220990.805395 ritzRydberg

1s2.2s2.2p1(2.0P).6d1--1.0D[2.0], 2.0, 220990.805395 ritzRydberg

1s2.2s2.2p1(2.0P).6f1--1.0D[2.0], 2.0, 220990.805395 ritzRydberg

1s2.2s2.2p1(2.0P).7s1--3.0P[2.0, 1.0, 0.0], 2.0, 221574.416105 ritzRydberg
1s2.2s2.2p1(2.0P).7s1--3.0P[2.0, 1.0, 0.0], 1.0, 221574.416105 ritzRydberg
1s2.2s2.2p1(2.0P).7s1--3.0P[2.0, 1.0, 0.0], 0.0, 221574.416105 ritzRydberg

1s2.2s2.2p1(2.0P).7p1--3.0P[2.0, 1.0, 0.0], 2.0, 221574.416105 ritzRydberg
1s2.2s2.2p1(2.0P).7p1--3.0P[2.0, 1.0, 0.0], 1.0, 221574.416105 ritzRydberg
1s2.2s2.2p1(2.0P).7p1--3.0P[2.0, 1.0, 0.0], 0.0, 221574.416105 ritzRydberg

1s2.2s2.2p1(2.0P).7d1--3.0P[2.0, 1.0, 0.0], 2.0, 221574.416105 ritzRydberg
1s2.2s2.2p1(2.0P).7d1--3.0P[2.0, 1.0, 0.0], 1.0, 221574.416105 ritzRydberg
1s2.2s2.2p1(2.0P).7d1--3.0P[2.0, 1.0, 0.0], 0.0, 221574.416105 ritzRydberg

1s2.2s2.2p1(2.0P).7p1--1.0S[0.0], 0.0, 222099.857224 ritzRydberg

1s2.2s2.2p1(2.0P).7s1--1.0P[1.0], 1.0, 222669.629879 ritzRydberg

1s2.2s2.2p1(2.0P).7p1--1.0P[1.0], 1.0, 222669.629879 ritzRydberg

1s2.2s2.2p1(2.0P).7d1--1.0P[1.0], 1.0, 222669.629879 ritzRydberg

1s2.2s2.2p1(2.0P).6d1--1.0F[3.0], 3.0, 222763.03228 ritzRydberg

1s2.2s2.2p1(2.0P).6f1--1.0F[3.0], 3.0, 222763.03228 ritzRydberg

1s2.2s2.2p1(2.0P).6g1--1.0F[3.0], 3.0, 222763.03228 ritzRydberg

1s2.2s2.2p1(2.0P).8p1--3.0S[1.0], 1.0, 223033.500039 ritzRydberg

1s2.2s2.2p1(2.0P).7d1--3.0F[4.0, 3.0, 2.0], 4.0, 223044.037119 ritzRydberg
1s2.2s2.2p1(2.0P).7d1--3.0F[4.0, 3.0, 2.0], 3.0, 223044.037119 ritzRydberg
1s2.2s2.2p1(2.0P).7d1--3.0F[4.0, 3.0, 2.0], 2.0, 223044.037119 ritzRydberg

1s2.2s2.2p1(2.0P).7f1--3.0F[4.0, 3.0, 2.0], 4.0, 223044.037119 ritzRydberg
1s2.2s2.2p1(2.0P).7f1--3.0F[4.0, 3.0, 2.0], 3.0, 223044.037119 ritzRydberg
1s2.2s2.2p1(2.0P).7f1--3.0F[4.0, 3.0, 2.0], 2.0, 223044.037119 ritzRydberg

1s2.2s2.2p1(2.0P).7g1--3.0F[4.0, 3.0, 2.0], 4.0, 223044.037119 ritzRydberg
1s2.2s2.2p1(2.0P).7g1--3.0F[4.0, 3.0, 2.0], 3.0, 223044.037119 ritzRydberg
1s2.2s2.2p1(2.0P).7g1--3.0F[4.0, 3.0, 2.0], 2.0, 223044.037119 ritzRydberg

1s2.2s2.2p1(2.0P).7p1--3.0D[3.0, 2.0, 1.0], 3.0, 223258.707835 ritzRydberg
1s2.2s2.2p1(2.0P).7p1--3.0D[3.0, 2.0, 1.0], 2.0, 223258.707835 ritzRydberg
1s2.2s2.2p1(2.0P).7p1--3.0D[3.0, 2.0, 1.0], 1.0, 223258.707835 ritzRydberg

