config, term, J, epsion
2s2.2p2.(3P).4d, 4F, 3.5, 667618
2s2.2p2.(3P).4d, 4F, 4.5, 668098

2s.2p3.(3D).3s, 2D, 1.5, 667692
2s.2p3.(3D).3s, 2D, 2.5, 667724.3

2s2.2p2.(3P).4d, 4D, 1.5, 668838
2s2.2p2.(3P).4d, 4D, 0.5, 668838
2s2.2p2.(3P).4d, 4D, 2.5, 669036.3
2s2.2p2.(3P).4d, 4D, 3.5, 669279.9

2s2.2p2.(3P).4d, 2P, 1.5, 669252
2s2.2p2.(3P).4d, 2P, 0.5, 669653

2s2.2p2.(3P).4d, 4P, 2.5, 670476.8
2s2.2p2.(3P).4d, 4P, 1.5, 670871.5
2s2.2p2.(3P).4d, 4P, 0.5, 671410

2s2.2p2.(3P).4d, 2F, 2.5, 670898.9
2s2.2p2.(3P).4d, 2F, 3.5, 671543.1

2s.2p3.(5S).3d, 4D, 3.5, 672762.6
2s.2p3.(5S).3d, 4D, 2.5, 672794
2s.2p3.(5S).3d, 4D, 1.5, 672794
2s.2p3.(5S).3d, 4D, 0.5, 672795

2s2.2p2.(3P).4d, 2D, 1.5, 673690
2s2.2p2.(3P).4d, 2D, 2.5, 673877.3

2s2.2p2.(1D).4p, 2F, 2.5, 680502.8
2s2.2p2.(1D).4p, 2F, 3.5, 680554.5

2s.2p3.(3P).3s, 4P, 2.5, 690084

2s2.2p2.(3P).5s, 4P, 0.5, 693106
2s2.2p2.(3P).5s, 4P, 1.5, 693715
2s2.2p2.(3P).5s, 4P, 2.5, 694328

2s2.2p2.(3P).5s, 2P, 1.5, 696296

2s2.2p2.(1S).4s, 2S, 0.5, 696991.1

2s2.2p2.(1D).4d, 2F, 3.5, 698096
2s2.2p2.(1D).4d, 2F, 2.5, 698142.9

2s.2p3.(3D).3p, 4D, 1.5, 698510
2s.2p3.(3D).3p, 4D, 2.5, 698534
2s.2p3.(3D).3p, 4D, 3.5, 698570

2s2.2p2.(1D).4d, 2G, 3.5, 698851.3
2s2.2p2.(1D).4d, 2G, 4.5, 698864.6

2s2.2p2.(1D).4d, 2D, 1.5, 699891.7
2s2.2p2.(1D).4d, 2D, 2.5, 699928.6



2s2.2p2.(1D).4d, 2S, 0.5, 703604

2s.2p3.(3D).3p, 2F, 2.5, 703800
2s.2p3.(3D).3p, 2F, 3.5, 703812

2s2.2p2.(3P).5d, 4P, 2.5, 712408
2s2.2p2.(3P).5d, 4P, 1.5, 712611

2s2.2p2.(1S).4p, 2P, 1.5, 716286.3

2s.2p3.(5S).4s, 6S, 2.5, 722809.4





2s2.2p2.(3P).6d, 2F, 2.5, 733935
2s2.2p2.(3P).6d, 2F, 3.5, 734062

