config, term, J, epsion
2s.2p.(3P).4d, 4F, 1.5, None
2s.2p.(3P).4d, 4F, 2.5, 384011
2s.2p.(3P).4d, 4F, 3.5, 384060
2s.2p.(3P).4d, 4F, 4.5, 384134

2s.2p.(3P).4d, 2D, 1.5, 385126
2s.2p.(3P).4d, 2D, 2.5, 385126

2s.2p.(3P).4d, 4D, 0.5, None
2s.2p.(3P).4d, 4D, 1.5, 385291
2s.2p.(3P).4d, 4D, 2.5, 385318
2s.2p.(3P).4d, 4D, 3.5, 385347

2s.2p.(3P).4d, 4P, 2.5, 386237.7
2s.2p.(3P).4d, 4P, 1.5, 386291.8
2s.2p.(3P).4d, 4P, 0.5, 386324.3

2s.2p.(3P).4f, 2F, 2.5, 386953.4
2s.2p.(3P).4f, 2F, 3.5, 386977.0

2s.2p.(3P).4f, 4F, 1.5, 386971.6
2s.2p.(3P).4f, 4F, 2.5, 386982.8
2s.2p.(3P).4f, 4F, 3.5, 387000.9
2s.2p.(3P).4f, 4F, 4.5, 387013.1

2s.2p.(3P).4d, 2F, 2.5, 387715.6
2s.2p.(3P).4d, 2F, 3.5, 387817.2

2s.2p.(3P).4f, 4G, 2.5, 388041.1
2s.2p.(3P).4f, 4G, 3.5, 388069.9
2s.2p.(3P).4f, 4G, 4.5, 388123.8
2s.2p.(3P).4f, 4G, 5.5, 388196.8

2s.2p.(3P).4f, 2G, 3.5, 388178.2
2s.2p.(3P).4f, 2G, 4.5, 388279.4

2s.2p.(3P).4f, 4D, 3.5, 388272.8
2s.2p.(3P).4f, 4D, 2.5, 388309.3
2s.2p.(3P).4f, 4D, 1.5, 388356.8
2s.2p.(3P).4f, 4D, 0.5, 388385.8

2s.2p.(3P).4f, 2D, 2.5, 388375.6
2s.2p.(3P).4f, 2D, 1.5, 388442.4

2s.2p.(3P).4d, 2P, 1.5, 389082.0
2s.2p.(3P).4d, 2P, 0.5, 389152.0

2s.2p.(1P).3d, 2F, 3.5, 394969
2s.2p.(1P).3d, 2F, 2.5, 394969

2s.2p.(1P).3d, 2D, 1.5, 396574.9
2s.2p.(1P).3d, 2D, 2.5, 396584.8

2p2.(3P).3s, 4P, 0.5, 400566.2
2p2.(3P).3s, 4P, 1.5, 400632.9
2p2.(3P).3s, 4P, 2.5, 400732.2

2s.2p.(3P).5s, 4P, 0.5, 400862.5
2s.2p.(3P).5s, 4P, 1.5, 400934.2
2s.2p.(3P).5s, 4P, 2.5, 401053.5

2s.2p.(3P).5p, 2P, 0.5, 402624.6
2s.2p.(3P).5p, 2P, 1.5, 402705.6

2s.2p.(3P).5p, 2D, 1.5, 406163.9
2s.2p.(3P).5p, 2D, 2.5, 406267.5

2s.2p.(3P).5p, 2S, 0.5, 408128

2s.2p.(3P).5d, 4D, 0.5, None
2s.2p.(3P).5d, 4D, 1.5, 408956.7
2s.2p.(3P).5d, 4D, 2.5, 408978.2
2s.2p.(3P).5d, 4D, 3.5, 409024.8

2s.2p.(3P).5d, 4P, 2.5, 409391.3
2s.2p.(3P).5d, 4P, 1.5, 409445.8
2s.2p.(3P).5d, 4P, 0.5, 409486.2

2p2.(3P).3d, 4P, 2.5, 409738.4
2p2.(3P).3d, 4P, 1.5, 409820.4
2p2.(3P).3d, 4P, 0.5, 409869.7

2s.2p.(3P).5d, 2F, 3.5, None
2s.2p.(3P).5d, 2F, 2.5, 410377.1

2s.2p.(3P).5d, 2P, 1.5, 410859.1
2s.2p.(3P).5d, 2P, 0.5, 410927.0

2p2.(3P).3p, 2D, 2.5, 415678.0
2p2.(3P).3p, 2D, 1.5, 415679.7

2s.2p.(3P).6s, 4P, 0.5, None
2s.2p.(3P).6s, 4P, 1.5, 417090.9
2s.2p.(3P).6s, 4P, 2.5, 417204.8

2p2.(3P).3p, 4D, 0.5, 419700.3
2p2.(3P).3p, 4D, 1.5, 419737.6
2p2.(3P).3p, 4D, 2.5, 419800.7
2p2.(3P).3p, 4D, 3.5, 419871.7

2s.2p.(3P).6p, 2P, 0.5, 420106.1
2s.2p.(3P).6p, 2P, 1.5, 420178.4

2s.2p.(3P).6p, 2D, 1.5, 420995.9
2s.2p.(3P).6p, 2D, 2.5, 421111.9

2s.2p.(3P).6d, 4D, 2.5, 421794.2
2s.2p.(3P).6d, 4D, 1.5, 421794.2
2s.2p.(3P).6d, 4D, 3.5, 421794.2
2s.2p.(3P).6d, 4D, 0.5, 421794.2

2s.2p.(3P).6d, 4P, 2.5, 421794.2
2s.2p.(3P).6d, 4P, 1.5, 421843.2
2s.2p.(3P).6d, 4P, 0.5, 421867.2

2s.2p.(3P).6d, 2F, 2.5, 422458.1
2s.2p.(3P).6d, 2F, 3.5, 422560.0

2s.2p.(3P).6d, 2P, 1.5, 422774.0
2s.2p.(3P).6d, 2P, 0.5, 422837.6

2p2.(3P).3p, 4P, 0.5, None
2p2.(3P).3p, 4P, 1.5, 422876.0
2p2.(3P).3p, 4P, 2.5, 422926.8

2s.2p.(3P).7s, 4P, 0.5, None
2s.2p.(3P).7s, 4P, 1.5, 426761.3
2s.2p.(3P).7s, 4P, 2.5, 426859.6

2s.2p.(3P).7p, 2P, 0.5, 428045.5
2s.2p.(3P).7p, 2P, 1.5, 428080.8

2s.2p.(3P).7p, 2D, 1.5, 428573.9
2s.2p.(3P).7p, 2D, 2.5, 428682.3

2s.2p.(3P).7d, 4D, 0.5, 429412.9
2s.2p.(3P).7d, 4D, 2.5, 429412.9
2s.2p.(3P).7d, 4D, 1.5, 429412.9
2s.2p.(3P).7d, 4D, 3.5, 429412.9

2s.2p.(3P).7d, 4P, 1.5, 429486.3
2s.2p.(3P).7d, 4P, 0.5, 429486.3
2s.2p.(3P).7d, 4P, 2.5, 429486.3

2s.2p.(3P).7d, 2F, 2.5, 429759.4
2s.2p.(3P).7d, 2F, 3.5, 429859.8

2s.2p.(3P).7d, 2P, 1.5, 429978.6
2s.2p.(3P).7d, 2P, 0.5, 430040.3

2p2.(3P).3p, 4S, 1.5, 430025.9

2s.2p.(3P).8p, 2P, 0.5, 433296.2
2s.2p.(3P).8p, 2P, 1.5, 433335.6

2s.2p.(3P).8p, 2D, 1.5, 433668.3
2s.2p.(3P).8p, 2D, 2.5, 433777.0

2s.2p.(3P).8d, 4D, 3.5, 434301.2
2s.2p.(3P).8d, 4D, 0.5, 434301.2
2s.2p.(3P).8d, 4D, 2.5, 434301.2
2s.2p.(3P).8d, 4D, 1.5, 434301.2

2s.2p.(3P).8d, 4P, 2.5, 434356.6
2s.2p.(3P).8d, 4P, 1.5, 434356.6
2s.2p.(3P).8d, 4P, 0.5, 434356.6

2s.2p.(3P).8d, 2F, 3.5, None
2s.2p.(3P).8d, 2F, 2.5, 434472.6

2s.2p.(3P).8d, 2P, 1.5, 434671.5
2s.2p.(3P).8d, 2P, 0.5, 434731.5

2s.2p.(3P).9p, 2D, 1.5, 437135.5
2s.2p.(3P).9p, 2D, 2.5, 437256.5

2s.2p.(3P).9d, 4D, 1.5, 437680.7
2s.2p.(3P).9d, 4D, 3.5, 437680.7
2s.2p.(3P).9d, 4D, 0.5, 437680.7
2s.2p.(3P).9d, 4D, 2.5, 437680.7

2s.2p.(3P).9d, 4P, 2.5, 437748.7
2s.2p.(3P).9d, 4P, 1.5, 437748.7
2s.2p.(3P).9d, 4P, 0.5, 437748.7

2s.2p.(3P).9d, 2P, 1.5, 437901.6
2s.2p.(3P).9d, 2P, 0.5, 437951.6

2s.2p.(3P).10p, 2D, 1.5, 439601.0
2s.2p.(3P).10p, 2D, 2.5, 439706.0

2s.2p.(3P).10d, 4D, 3.5, 440056.4
2s.2p.(3P).10d, 4D, 0.5, 440056.4
2s.2p.(3P).10d, 4D, 2.5, 440056.4
2s.2p.(3P).10d, 4D, 1.5, 440056.4

2s.2p.(1P).4p, 2D, 1.5, 440854.9
2s.2p.(1P).4p, 2D, 2.5, 440877.9

2p2.(3P).3p, 2S, 0.5, 441026.6

2s.2p.(3P).11p, 2D, 1.5, None
2s.2p.(3P).11p, 2D, 2.5, 441637

2s.2p.(3P).11d, 4D, 2.5, 441810.5
2s.2p.(3P).11d, 4D, 1.5, 441810.5
2s.2p.(3P).11d, 4D, 3.5, 441810.5
2s.2p.(3P).11d, 4D, 0.5, 441810.5

2s.2p.(1P).4p, 2P, 1.5, 442414
2s.2p.(1P).4p, 2P, 0.5, 442414

2s.2p.(3P).12p, 2D, 1.5, None
2s.2p.(3P).12p, 2D, 2.5, 442972

2s.2p.(3P).12d, 4D, 1.5, 443147.0
2s.2p.(3P).12d, 4D, 3.5, 443147.0
2s.2p.(3P).12d, 4D, 0.5, 443147.0
2s.2p.(3P).12d, 4D, 2.5, 443147.0

2s.2p.(3P).13p, 2D, 1.5, None
2s.2p.(3P).13p, 2D, 2.5, 444023

2s.2p.(3P).13d, 4D, 1.5, 444176.9
2s.2p.(3P).13d, 4D, 3.5, 444176.9
2s.2p.(3P).13d, 4D, 0.5, 444176.9
2s.2p.(3P).13d, 4D, 2.5, 444176.9

2s.2p.(3P).14p, 2D, 1.5, None
2s.2p.(3P).14p, 2D, 2.5, 444870

2s.2p.(3P).14d, 4D, 3.5, 444995.7
2s.2p.(3P).14d, 4D, 0.5, 444995.7
2s.2p.(3P).14d, 4D, 2.5, 444995.7
2s.2p.(3P).14d, 4D, 1.5, 444995.7

2s.2p.(3P).15d, 4D, 2.5, 445674.7
2s.2p.(3P).15d, 4D, 1.5, 445674.7
2s.2p.(3P).15d, 4D, 3.5, 445674.7
2s.2p.(3P).15d, 4D, 0.5, 445674.7

2s.2p.(1P).4d, 2F, 3.5, 448126
2s.2p.(1P).4d, 2F, 2.5, 448126

2s.2p.(1P).4d, 2D, 2.5, 448775
2s.2p.(1P).4d, 2D, 1.5, 448775







2s.2p.(1P).5p, 2D, 2.5, 468683
2s.2p.(1P).5p, 2D, 1.5, 468683

2s.2p.(1P).5p, 2P, 1.5, 469297
2s.2p.(1P).5p, 2P, 0.5, 469297

2p2.(3P).4p, 4D, 0.5, None
2p2.(3P).4p, 4D, 1.5, 485597.4
2p2.(3P).4p, 4D, 2.5, 485668.9
2p2.(3P).4p, 4D, 3.5, 485790.1

2p2.(3P).4p, 4P, 2.5, 486781.8
2p2.(3P).4p, 4P, 1.5, 486781.8
2p2.(3P).4p, 4P, 0.5, 486781.8

2p2.(3P).4p, 4S, 1.5, 489219.0

2p2.(3P).5p, 4D, 3.5, 513599
2p2.(3P).5p, 4D, 0.5, 513599
2p2.(3P).5p, 4D, 2.5, 513599
2p2.(3P).5p, 4D, 1.5, 513599

2p2.(3P).5p, 4P, 2.5, 514055.6
2p2.(3P).5p, 4P, 1.5, 514055.6
2p2.(3P).5p, 4P, 0.5, 514055.6

2p2.(3P).5p, 4S, 1.5, 515170.1

2p2.(3P).6p, 4D, 3.5, 527994
2p2.(3P).6p, 4D, 0.5, 527994
2p2.(3P).6p, 4D, 2.5, 527994
2p2.(3P).6p, 4D, 1.5, 527994

2p2.(3P).6p, 4P, 2.5, 528228.9
2p2.(3P).6p, 4P, 1.5, 528228.9
2p2.(3P).6p, 4P, 0.5, 528228.9

2p2.(3P).6p, 4S, 1.5, 528832.8

2p2.(3P).7p, 4D, 3.5, 536416
2p2.(3P).7p, 4D, 0.5, 536416
2p2.(3P).7p, 4D, 2.5, 536416
2p2.(3P).7p, 4D, 1.5, 536416

2p2.(3P).7p, 4P, 2.5, 536553.8
2p2.(3P).7p, 4P, 1.5, 536553.8
2p2.(3P).7p, 4P, 0.5, 536553.8

2p2.(3P).7p, 4S, 1.5, 536921.5

