-------------------------------------------------------------------------------------
Configuration      | Term   |    J |   Level (cm-1) | Uncertainty (cm-1) | Reference
                   |        |      |                |                    |           
2s2.2p2.(3P).4p    | 4P*    |  1/2 |    427459.37   |                    |          
                   |        |  3/2 |    427545.31   |                    |          
                   |        |  5/2 |    427731.85   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).4p    | 2D*    |  3/2 |    430012.48   |                    |          
                   |        |  5/2 |    430374.75   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).4p    | 4S*    |  3/2 |    431432.27   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).4p    | 2P*    |  1/2 |    431967.93   |                    |          
                   |        |  3/2 |    432060.64   |                    |          
                   |        |      |                |                    |           
2s.2p3.(5S*).3p    | 4P     |  5/2 |    434548.72   |                    |          
                   |        |  3/2 |    434569.80   |                    |          
                   |        |  1/2 |    434584.16   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).4d    | 4F     |  3/2 |    440069.51   |                    |          
                   |        |  5/2 |    440202.48   |                    |          
                   |        |  7/2 |    440359.26   |                    |          
                   |        |  9/2 |    440582.12   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D).4s    | 2D     |  3/2 |    440825.13   |                    |          
                   |        |  5/2 |    440828.55   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).4d    | 2P     |  3/2 |    441158.60   |                    |          
                   |        |  1/2 |    441167.40   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).4d    | 4D     |  5/2 |    441276.72   |                    |          
                   |        |  1/2 |    441315.80   |                    |          
                   |        |  3/2 |    441385.88   |                    |          
                   |        |  7/2 |    441406.46   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).4d    | 4P     |  5/2 |    442147.19   |                    |          
                   |        |  3/2 |    442294.31   |                    |          
                   |        |  1/2 |    442370.28   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).4d    | 2F     |  5/2 |    442278.93   |                    |          
                   |        |  7/2 |    442636.27   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1S).3d    | 2D     |  3/2 |    442694.58   |                    |          
                   |        |  5/2 |    442748.85   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<0>).4f | 2[3]*  |  5/2 |    443625.31   |                    |          
                   |        |  7/2 |    443630.96   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<1>).4f | 2[3]*  |  5/2 |    443753.06   |                    |          
                   |        |  7/2 |    443770.90   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<1>).4f | 2[2]*  |  3/2 |    443865.91   |                    |          
                   |        |  5/2 |    443868.68   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<1>).4f | 2[4]*  |  9/2 |    443913.33   |                    |          
                   |        |  7/2 |    443927.41   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).4f | 2[1]*  |  1/2 |    444056.42   |                    |          
                   |        |  3/2 |    444057.44   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).4f | 2[5]*  | 11/2 |    444202.70   |                    |          
                   |        |  9/2 |    444238.27   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).4f | 2[2]*  |  3/2 |    444470.24   |                    |          
                   |        |  5/2 |    444489.40   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).4f | 2[3]*  |  7/2 |    444552.08   |                    |          
                   |        |  5/2 |    444575.35   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).4f | 2[4]*  |  9/2 |    444578.51   |                    |          
                   |        |  7/2 |    444623.12   |                    |          
                   |        |      |                |                    |           
