---------------------------------------------------------------------------------------------------------------------------
Configuration        | Term   |   J |   Level (cm-1) | Uncertainty (cm-1) | Leading percentages                | Reference
2s2.2p3.(2D*).3d     | 1S*    |   0 |    435583.09   |             0.09   | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).3d     | 3G*    |   5 |    436547.744  |             0.05   | 100                                |          
                     |        |   4 |    436574.426  |             0.05   |  99                                |          
                     |        |   3 |    436597.709  |             0.05   |  99                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).3d     | 1G*    |   4 |    436771.674  |             0.06   | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).3d     | 3D*    |   3 |    436832.07   |             0.06   |  98                                |          
                     |        |   2 |    436901.63   |             0.05   |  98                                |          
                     |        |   1 |    436947.05   |             0.06   |  98                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).3d     | 1P*    |   1 |    439044.19   |             0.06   |  97                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).3d     | 3P*    |   2 |    439573.05   |             0.07   |  99                                |          
                     |        |   1 |    439694.78   |             0.07   |  99                                |          
                     |        |   0 |    439747.80   |             0.10   |  99                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).3d     | 1D*    |   2 |    439748.13   |             0.06   |  97                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).3d     | 3S*    |   1 |    440051.58   |             0.07   | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).3d     | 1F*    |   3 |    440887.276  |             0.06   |  99                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).4d     | 5D*    |   4 |    446375.1+x  |             0.3    | 100                                |          
                     |        |   2 |    446375.17+x |             0.2    | 100                                |          
                     |        |   3 |    446375.73+x |             0.2    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).4d     | 3D*    |   1 |    448223.06   |             0.12   |  98                                |          
                     |        |   2 |    448233.86   |             0.11   |  98                                |          
                     |        |   3 |    448251.88   |             0.08   |  98                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).4f     | 5F     |   5 |    449552.15+x |             0.10   | 100                                |          
                     |        |   4 |    449552.39+x |             0.11   | 100                                |          
                     |        |   3 |    449552.77+x |             0.11   | 100                                |          
                     |        |   1 |    449552.9+x  |             0.3    | 100                                |          
                     |        |   2 |    449553.0+x  |             0.3    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).4f     | 3F     |   4 |    449582.924  |             0.04   | 100                                |          
                     |        |   3 |    449583.48   |             0.12   | 100                                |          
                     |        |   2 |    449584.03   |             0.10   | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).5s     | 5S*    |   2 |    456498.30+x |             0.09   | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).3d     | 3F*    |   4 |    457596.833  |             0.05   |  98                                |          
                     |        |   3 |    457666.99   |             0.07   |  97                                |          
                     |        |   2 |    457713.80   |             0.06   |  96                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).5s     | 3S*    |   1 |    457782.4    |             0.2    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4s     | 3D*    |   2 |    457966.99   |             0.09   |  57         :    25  (2P*).3d 3D*  |          
                     |        |   3 |    457991.30   |             0.10   |  69         :    30  (2P*).3d 3D*  |          
                     |        |   1 |    458001.59   |             0.10   |  70         :    29  (2P*).3d 3D*  |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).3d     | 1D*    |   2 |    458095.49   |             0.06   |  58         :    13  (2D*).4s 3D*  |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).3d     | 3P*    |   0 |    458285.80   |             0.13   |  98                                |          
                     |        |   1 |    458335.50   |             0.11   |  98                                |          
                     |        |   2 |    458442.48   |             0.09   |  90         :     6  (2P*).3d 1D*  |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).3d     | 3D*    |   1 |    460114.91   |             0.09   |  68         :    29  (2D*).4s 3D*  |          
                     |        |   2 |    460126.70   |             0.08   |  68         :    30  (2D*).4s 3D*  |          
                     |        |   3 |    460138.75   |             0.08   |  67         :    30  (2D*).4s 3D*  |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).3d     | 1F*    |   3 |    460120.25   |             0.07   |  97                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4s     | 1D*    |   2 |    460688.20   |             0.06   |  82         :    17  (2P*).3d 1D*  |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).5p     | 5P     |   1 |    462473.29+x |             0.15   | 100                                |          
                     |        |   2 |    462476.73+x |             0.14   | 100                                |          
                     |        |   3 |    462482.8+x  |             0.2    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).3d     | 1P*    |   1 |    462932.64   |             0.12   |  97                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).5p     | 3P     |   2 |    463856.46   |             0.08   |  95                                |          
                     |        |   1 |    463862.3    |             0.2    |  95                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).5d     | 5D*    |   4 |    470197.0+x  |             0.3    | 100                                |          
                     |        |   3 |    470198.9+x  |             0.9    | 100                                |          
                     |        |   2 |    470199.5+x  |             0.9    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).5d     | 3D*    |   2 |    471181.0    |             0.6    |  99                                |          
