config, term, J, epsion
1s.9i, 3I, 7, 96956.067682190
1s.9i, 3I, 5, 96956.067879920

1s.9i, 1I, 6, 96956.068037015

1s.9k, 3K, 7, 96956.070257007
1s.9k, 3K, 8, 96956.070417474
1s.9k, 3K, 6, 96956.070564451

1s.9k, 1K, 7, 96956.070686155

1s.9p, 1P, 1, 96959.6928160

1s.10s, 3S, 1, 97145.2332580

1s.10s, 1S, 0, 97182.0655468

1s.10p, 3P, 2, 97198.3327222
1s.10p, 3P, 1, 97198.3332683
1s.10p, 3P, 0, 97198.3399816

1s.10d, 3D, 3, 97212.82586104
1s.10d, 3D, 2, 97212.82594494
1s.10d, 3D, 1, 97212.82712336

1s.10d, 1D, 2, 97212.989530410

1s.10f, 3F, 3, 97213.351998435
1s.10f, 3F, 4, 97213.352292488
1s.10f, 3F, 2, 97213.352843353

1s.10f, 1F, 3, 97213.353742992

1s.10g, 3G, 4, 97213.4201606340
1s.10g, 3G, 5, 97213.4205059800
1s.10g, 3G, 3, 97213.4208207570

1s.10g, 1G, 4, 97213.4210337290

1s.10h, 3H, 5, 97213.436690665
1s.10h, 3H, 6, 97213.436916208
1s.10h, 3H, 4, 97213.437120912

1s.10h, 1H, 5, 97213.437273674

1s.10i, 3I, 6, 97213.442016000
1s.10i, 3I, 7, 97213.442174195
1s.10i, 3I, 5, 97213.442318339

1s.10i, 1I, 6, 97213.442432862

1s.10k, 3K, 7, 97213.444098517
1s.10k, 3K, 8, 97213.444215497
1s.10k, 3K, 6, 97213.444322643

1s.10k, 1K, 7, 97213.444411365

1s.10p, 1P, 1, 97216.0895622

1s.11p, 1P, 1, 97405.87

1s.12p, 1P, 1, 97550.24

1s.13p, 1P, 1, 97662.63

1s.14p, 1P, 1, 97751.82

1s.15p, 1P, 1, 97823.79

Limit, 98310.66637
