config, term, J, epsion
2s.2p2.(4P).3p, 3D, 2, 115070
2s.2p2.(4P).3p, 3D, 3, 115080

2s.2p3, 1P, 1, 115209

2s.2p2.(4P).4p, 3D, 1, 124511.9
2s.2p2.(4P).4p, 3D, 2, 124577.7
2s.2p2.(4P).4p, 3D, 3, 124621.4

2s.2p2.(4P).5p, 3D, 1, 128182.9
2s.2p2.(4P).5p, 3D, 2, 128260.0
2s.2p2.(4P).5p, 3D, 3, 128301.2

2s.2p2.(4P).6p, 3D, 1, 130068.1
2s.2p2.(4P).6p, 3D, 3, 130155.2

2s.2p2.(4P).7p, 3D, 1, 131159.4
2s.2p2.(4P).7p, 3D, 3, 131216.8

2s.2p2.(4P).8p, 3D, 1, 131834.3
2s.2p2.(4P).8p, 3D, 3, 131880.8

2s.2p2.(4P).9p, 3D, 1, 132263.1
2s.2p2.(4P).9p, 3D, 3, 132325.5

2s.2p2.(4P).10p, 3D, 1, 132573.8
2s.2p2.(4P).10p, 3D, 3, 132632.5

2s.2p2.(4P).11p, 3D, 1, 132804.4
2s.2p2.(4P).11p, 3D, 3, 132857.9

2s.2p2.(4P).12p, 3D, 1, 132972.2
2s.2p2.(4P).12p, 3D, 3, 133023.9

2s.2p2.(4P).13p, 3D, 1, 133097.8
2s.2p2.(4P).13p, 3D, 3, 133156.7

2s.2p2.(4P).14p, 3D, 3, 133256.0

