T,O,O+,N,N+,O2,O2+,N2,N2+,NO,NO+,e
50,,,,,,,-7.223,,,,
100,,,,,,,-5.768,,,,
200,,,,,,,-2.857,,,,
400,,,,,,,2.971,,,,
600,,,,,,,8.894,,,,
800,,,,,,,15.05,,,,
1000,,,,,,,21.46,,,,
3000,,,,,,,92.72,,,,
4000,,,,,,,130,,,,
5000,,,,,,,167.8,,,,
6000,,,,,,,205.9,,,,
8000,,,,,,,283.8,,,,
10000,,,,,,,368.2,,,,
12000,,,,,,,466.9,,,,
14000,,,,,,,584.4,,,,
15000,,,,,,,649,,,,
20000,,,,,,,978.3,,,,
22000,,,,,,,1094,,,,
24000,,,,,,,1198,,,,
32000,,,,,,,1518,,,,
40000,,,,,,,1758,,,,
50000,,,,,,,2015,,,,
