1s2.2s2.2p3(2.0P).6h1--3.0I[7.0, 6.0, 5.0], 5.0, 147246.821759

1s2.2s2.2p3(2.0P).6h1--1.0I[6.0], 6.0, 147246.821759

1s2.2s2.2p3(2.0P).6h1--3.0H[6.0, 5.0, 4.0], 6.0, 147246.821759
1s2.2s2.2p3(2.0P).6h1--3.0H[6.0, 5.0, 4.0], 5.0, 147246.821759
1s2.2s2.2p3(2.0P).6h1--3.0H[6.0, 5.0, 4.0], 4.0, 147246.821759

1s2.2s2.2p3(2.0P).6h1--1.0H[5.0], 5.0, 147246.821759

1s2.2s2.2p3(2.0P).6h1--3.0G[5.0, 4.0, 3.0], 5.0, 147246.821759
1s2.2s2.2p3(2.0P).6h1--3.0G[5.0, 4.0, 3.0], 4.0, 147246.821759
1s2.2s2.2p3(2.0P).6h1--3.0G[5.0, 4.0, 3.0], 3.0, 147246.821759

1s2.2s2.2p3(2.0P).6h1--1.0G[4.0], 4.0, 147246.821759

1s2.2s2.2p3(2.0P).6p1--1.0D[2.0], 2.0, 147306.285507

1s2.2s2.2p3(2.0P).6f1--1.0D[2.0], 2.0, 147306.285507

1s2.2s2.2p3(2.0P).6p1--3.0D[3.0, 2.0, 1.0], 3.0, 147780.976459
1s2.2s2.2p3(2.0P).6p1--3.0D[3.0, 2.0, 1.0], 2.0, 147780.976459
1s2.2s2.2p3(2.0P).6p1--3.0D[3.0, 2.0, 1.0], 1.0, 147780.976459

1s2.2s2.2p3(2.0P).6f1--3.0D[3.0, 2.0, 1.0], 3.0, 147780.976459
1s2.2s2.2p3(2.0P).6f1--3.0D[3.0, 2.0, 1.0], 2.0, 147780.976459
1s2.2s2.2p3(2.0P).6f1--3.0D[3.0, 2.0, 1.0], 1.0, 147780.976459

1s2.2s2.2p3(2.0P).6p1--3.0S[1.0], 1.0, 148069.146451
