1s2.2s2.2p3(2.0D).6h1--3.0H[6.0, 5.0, 4.0], 4.0, 130485.9127513052

1s2.2s2.2p3(2.0D).6f1--1.0H[5.0], 5.0, 130502.83658074775

1s2.2s2.2p3(2.0D).6g1--1.0H[5.0], 5.0, 130502.83658074775

1s2.2s2.2p3(2.0D).6h1--1.0H[5.0], 5.0, 130502.83658074775

1s2.2s2.2p3(2.0D).5d1--1.0S[0.0], 0.0, 131204.492398

1s2.2s2.2p3(2.0D).4p1--1.0F[3.0], 3.0, 131361.474988

1s2.2s2.2p3(2.0D).4f1--1.0F[3.0], 3.0, 131361.474988

1s2.2s2.2p3(2.0D).4p1--1.0P[1.0], 1.0, 131519.399158

1s2.2s2.2p3(2.0D).4f1--1.0P[1.0], 1.0, 131519.399158

1s2.2s2.2p3(2.0D).5f1--3.0G[5.0, 4.0, 3.0], 5.0, 131571.206784
1s2.2s2.2p3(2.0D).5f1--3.0G[5.0, 4.0, 3.0], 4.0, 131571.206784
1s2.2s2.2p3(2.0D).5f1--3.0G[5.0, 4.0, 3.0], 3.0, 131571.206784

1s2.2s2.2p3(2.0D).5g1--3.0G[5.0, 4.0, 3.0], 5.0, 131571.206784
1s2.2s2.2p3(2.0D).5g1--3.0G[5.0, 4.0, 3.0], 4.0, 131571.206784
1s2.2s2.2p3(2.0D).5g1--3.0G[5.0, 4.0, 3.0], 3.0, 131571.206784

1s2.2s2.2p3(2.0D).5p1--3.0D[3.0, 2.0, 1.0], 3.0, 131633.340042
1s2.2s2.2p3(2.0D).5p1--3.0D[3.0, 2.0, 1.0], 2.0, 131633.340042
1s2.2s2.2p3(2.0D).5p1--3.0D[3.0, 2.0, 1.0], 1.0, 131633.340042

1s2.2s2.2p3(2.0D).5f1--3.0D[3.0, 2.0, 1.0], 3.0, 131633.340042
1s2.2s2.2p3(2.0D).5f1--3.0D[3.0, 2.0, 1.0], 2.0, 131633.340042
1s2.2s2.2p3(2.0D).5f1--3.0D[3.0, 2.0, 1.0], 1.0, 131633.340042

1s2.2s2.2p3(2.0D).5g1--3.0D[3.0, 2.0, 1.0], 3.0, 131633.340042
1s2.2s2.2p3(2.0D).5g1--3.0D[3.0, 2.0, 1.0], 2.0, 131633.340042
1s2.2s2.2p3(2.0D).5g1--3.0D[3.0, 2.0, 1.0], 1.0, 131633.340042

1s2.2s2.2p3(2.0D).5f1--1.0G[4.0], 4.0, 131715.082437

1s2.2s2.2p3(2.0D).5g1--1.0G[4.0], 4.0, 131715.082437

1s2.2s2.2p3(2.0D).5p1--1.0D[2.0], 2.0, 131806.632741

1s2.2s2.2p3(2.0D).5f1--1.0D[2.0], 2.0, 131806.632741

1s2.2s2.2p3(2.0D).5g1--1.0D[2.0], 2.0, 131806.632741

1s2.2s2.2p3(2.0D).5p1--3.0F[4.0, 3.0, 2.0], 4.0, 131908.26057
1s2.2s2.2p3(2.0D).5p1--3.0F[4.0, 3.0, 2.0], 3.0, 131908.26057
1s2.2s2.2p3(2.0D).5p1--3.0F[4.0, 3.0, 2.0], 2.0, 131908.26057

1s2.2s2.2p3(2.0D).5f1--3.0F[4.0, 3.0, 2.0], 4.0, 131908.26057
1s2.2s2.2p3(2.0D).5f1--3.0F[4.0, 3.0, 2.0], 3.0, 131908.26057
1s2.2s2.2p3(2.0D).5f1--3.0F[4.0, 3.0, 2.0], 2.0, 131908.26057

1s2.2s2.2p3(2.0D).5g1--3.0F[4.0, 3.0, 2.0], 4.0, 131908.26057
1s2.2s2.2p3(2.0D).5g1--3.0F[4.0, 3.0, 2.0], 3.0, 131908.26057
1s2.2s2.2p3(2.0D).5g1--3.0F[4.0, 3.0, 2.0], 2.0, 131908.26057

1s2.2s2.2p3(2.0D).6d1--1.0S[0.0], 0.0, 131932.026469

1s2.2s2.2p3(2.0D).4p1--3.0P[2.0, 1.0, 0.0], 2.0, 132154.754675
1s2.2s2.2p3(2.0D).4p1--3.0P[2.0, 1.0, 0.0], 1.0, 132154.754675
1s2.2s2.2p3(2.0D).4p1--3.0P[2.0, 1.0, 0.0], 0.0, 132154.754675

1s2.2s2.2p3(2.0D).4f1--3.0P[2.0, 1.0, 0.0], 2.0, 132154.754675
1s2.2s2.2p3(2.0D).4f1--3.0P[2.0, 1.0, 0.0], 1.0, 132154.754675
1s2.2s2.2p3(2.0D).4f1--3.0P[2.0, 1.0, 0.0], 0.0, 132154.754675

1s2.2s2.2p3(2.0D).6d1--3.0G[5.0, 4.0, 3.0], 5.0, 132279.758424
1s2.2s2.2p3(2.0D).6d1--3.0G[5.0, 4.0, 3.0], 4.0, 132279.758424
1s2.2s2.2p3(2.0D).6d1--3.0G[5.0, 4.0, 3.0], 3.0, 132279.758424

1s2.2s2.2p3(2.0D).6f1--3.0G[5.0, 4.0, 3.0], 5.0, 132279.758424
1s2.2s2.2p3(2.0D).6f1--3.0G[5.0, 4.0, 3.0], 4.0, 132279.758424
1s2.2s2.2p3(2.0D).6f1--3.0G[5.0, 4.0, 3.0], 3.0, 132279.758424

1s2.2s2.2p3(2.0D).6g1--3.0G[5.0, 4.0, 3.0], 5.0, 132279.758424
1s2.2s2.2p3(2.0D).6g1--3.0G[5.0, 4.0, 3.0], 4.0, 132279.758424
1s2.2s2.2p3(2.0D).6g1--3.0G[5.0, 4.0, 3.0], 3.0, 132279.758424

1s2.2s2.2p3(2.0D).6h1--3.0G[5.0, 4.0, 3.0], 5.0, 132279.758424
1s2.2s2.2p3(2.0D).6h1--3.0G[5.0, 4.0, 3.0], 4.0, 132279.758424
1s2.2s2.2p3(2.0D).6h1--3.0G[5.0, 4.0, 3.0], 3.0, 132279.758424

1s2.2s2.2p3(2.0D).6d1--1.0G[4.0], 4.0, 132413.04162

1s2.2s2.2p3(2.0D).6f1--1.0G[4.0], 4.0, 132413.04162

1s2.2s2.2p3(2.0D).6g1--1.0G[4.0], 4.0, 132413.04162

1s2.2s2.2p3(2.0D).6h1--1.0G[4.0], 4.0, 132413.04162

1s2.2s2.2p3(2.0D).6p1--3.0D[3.0, 2.0, 1.0], 3.0, 132572.041641
1s2.2s2.2p3(2.0D).6p1--3.0D[3.0, 2.0, 1.0], 2.0, 132572.041641
1s2.2s2.2p3(2.0D).6p1--3.0D[3.0, 2.0, 1.0], 1.0, 132572.041641

1s2.2s2.2p3(2.0D).6f1--3.0D[3.0, 2.0, 1.0], 3.0, 132572.041641
1s2.2s2.2p3(2.0D).6f1--3.0D[3.0, 2.0, 1.0], 2.0, 132572.041641
1s2.2s2.2p3(2.0D).6f1--3.0D[3.0, 2.0, 1.0], 1.0, 132572.041641

1s2.2s2.2p3(2.0D).6g1--3.0D[3.0, 2.0, 1.0], 3.0, 132572.041641
1s2.2s2.2p3(2.0D).6g1--3.0D[3.0, 2.0, 1.0], 2.0, 132572.041641
1s2.2s2.2p3(2.0D).6g1--3.0D[3.0, 2.0, 1.0], 1.0, 132572.041641

1s2.2s2.2p3(2.0P).4p1--1.0S[0.0], 0.0, 132631.7192263924

1s2.2s2.2p3(2.0D).6p1--1.0D[2.0], 2.0, 132699.937151

1s2.2s2.2p3(2.0D).6f1--1.0D[2.0], 2.0, 132699.937151

1s2.2s2.2p3(2.0D).6g1--1.0D[2.0], 2.0, 132699.937151

1s2.2s2.2p3(2.0D).6p1--3.0F[4.0, 3.0, 2.0], 4.0, 132718.275097
1s2.2s2.2p3(2.0D).6p1--3.0F[4.0, 3.0, 2.0], 3.0, 132718.275097
1s2.2s2.2p3(2.0D).6p1--3.0F[4.0, 3.0, 2.0], 2.0, 132718.275097

1s2.2s2.2p3(2.0D).6d1--3.0F[4.0, 3.0, 2.0], 4.0, 132718.275097
1s2.2s2.2p3(2.0D).6d1--3.0F[4.0, 3.0, 2.0], 3.0, 132718.275097
1s2.2s2.2p3(2.0D).6d1--3.0F[4.0, 3.0, 2.0], 2.0, 132718.275097

1s2.2s2.2p3(2.0D).6f1--3.0F[4.0, 3.0, 2.0], 4.0, 132718.275097
1s2.2s2.2p3(2.0D).6f1--3.0F[4.0, 3.0, 2.0], 3.0, 132718.275097
1s2.2s2.2p3(2.0D).6f1--3.0F[4.0, 3.0, 2.0], 2.0, 132718.275097

1s2.2s2.2p3(2.0D).6g1--3.0F[4.0, 3.0, 2.0], 4.0, 132718.275097
1s2.2s2.2p3(2.0D).6g1--3.0F[4.0, 3.0, 2.0], 3.0, 132718.275097
1s2.2s2.2p3(2.0D).6g1--3.0F[4.0, 3.0, 2.0], 2.0, 132718.275097

1s2.2s2.2p3(2.0D).6h1--3.0F[4.0, 3.0, 2.0], 4.0, 132718.275097
1s2.2s2.2p3(2.0D).6h1--3.0F[4.0, 3.0, 2.0], 3.0, 132718.275097
1s2.2s2.2p3(2.0D).6h1--3.0F[4.0, 3.0, 2.0], 2.0, 132718.275097

1s2.2s2.2p3(2.0D).5p1--1.0F[3.0], 3.0, 133110.414635

1s2.2s2.2p3(2.0D).5f1--1.0F[3.0], 3.0, 133110.414635

1s2.2s2.2p3(2.0D).5g1--1.0F[3.0], 3.0, 133110.414635

1s2.2s2.2p3(2.0D).6g1--3.0I[7.0, 6.0, 5.0], 7.0, 133162.863446
1s2.2s2.2p3(2.0D).6g1--3.0I[7.0, 6.0, 5.0], 6.0, 133162.863446
1s2.2s2.2p3(2.0D).6g1--3.0I[7.0, 6.0, 5.0], 5.0, 133162.863446

1s2.2s2.2p3(2.0D).6g1--1.0I[6.0], 6.0, 133162.863446

1s2.2s2.2p3(2.0D).6h1--3.0J[8.0, 7.0, 6.0], 8.0, 133211.792586
1s2.2s2.2p3(2.0D).6h1--3.0J[8.0, 7.0, 6.0], 7.0, 133211.792586
1s2.2s2.2p3(2.0D).6h1--3.0J[8.0, 7.0, 6.0], 6.0, 133211.792586

1s2.2s2.2p3(2.0D).6h1--1.0J[7.0], 7.0, 133211.792586

1s2.2s2.2p3(2.0D).6h1--3.0I[7.0, 6.0, 5.0], 7.0, 133211.792586
1s2.2s2.2p3(2.0D).6h1--3.0I[7.0, 6.0, 5.0], 6.0, 133211.792586
1s2.2s2.2p3(2.0D).6h1--3.0I[7.0, 6.0, 5.0], 5.0, 133211.792586

1s2.2s2.2p3(2.0D).6h1--1.0I[6.0], 6.0, 133211.792586

1s2.2s2.2p3(2.0D).5p1--1.0P[1.0], 1.0, 133253.166975

1s2.2s2.2p3(2.0D).5f1--1.0P[1.0], 1.0, 133253.166975

1s2.2s2.2p3(2.0D).5p1--3.0P[2.0, 1.0, 0.0], 2.0, 133574.162528
1s2.2s2.2p3(2.0D).5p1--3.0P[2.0, 1.0, 0.0], 1.0, 133574.162528
1s2.2s2.2p3(2.0D).5p1--3.0P[2.0, 1.0, 0.0], 0.0, 133574.162528

1s2.2s2.2p3(2.0D).5f1--3.0P[2.0, 1.0, 0.0], 2.0, 133574.162528
1s2.2s2.2p3(2.0D).5f1--3.0P[2.0, 1.0, 0.0], 1.0, 133574.162528
1s2.2s2.2p3(2.0D).5f1--3.0P[2.0, 1.0, 0.0], 0.0, 133574.162528

1s2.2s2.2p3(2.0D).6p1--1.0F[3.0], 3.0, 133767.058816

1s2.2s2.2p3(2.0D).6f1--1.0F[3.0], 3.0, 133767.058816

1s2.2s2.2p3(2.0D).6g1--1.0F[3.0], 3.0, 133767.058816

