config, term, J, epsion
2s2.2p2.(3P).5s, 2P, 0.5, 258411.26
2s2.2p2.(3P).5s, 2P, 1.5, 258606.35

2s2.2p2.(1D).4s, 2D, 2.5, 259287.61
2s2.2p2.(1D).4s, 2D, 1.5, 259288.07

2s2.2p2.(3P).5p, 2S, 0.5, 260686.27

2s2.2p2.(3P).5p, 4D, 0.5, 260911.96
2s2.2p2.(3P).5p, 4D, 1.5, 260958.62
2s2.2p2.(3P).5p, 4D, 2.5, 261044.03
2s2.2p2.(3P).5p, 4D, 3.5, 261180.59

2s2.2p2.(3P).5p, 4P, 0.5, 261214.47
2s2.2p2.(3P).5p, 4P, 1.5, 261261.29
2s2.2p2.(3P).5p, 4P, 2.5, 261356.02

2s2.2p2.(3P).5p, 4S, 1.5, 261621.56

2s2.2p2.(3P).5p, 2D, 1.5, 261698.75
2s2.2p2.(3P).5p, 2D, 2.5, 261869.94

2s2.2p2.(3P).5p, 2P, 0.5, 262286.82
2s2.2p2.(3P).5p, 2P, 1.5, 262368.05

2s2.2p2.(3P).5d, 4D, 2.5, 265220.3
2s2.2p2.(3P).5d, 4D, 1.5, 265220.3

2s2.2p2.(3P).5d, 4P, 2.5, 265431.5
2s2.2p2.(3P).5d, 4P, 1.5, 265468.2

2s2.2p2.(3P).5d, 2F, 3.5, 265581.2

2s2.2p2.(3P).5d, 2D, 2.5, 265855.2

2s2.2p2.(1D).4p, 2F, 2.5, 266579.73
2s2.2p2.(1D).4p, 2F, 3.5, 266588.33

2s2.2p2.(1D).4p, 2D, 1.5, 266624.32
2s2.2p2.(1D).4p, 2D, 2.5, 266640.58

2s2.2p2.(3P).6s, 4P, 0.5, 266698.0
2s2.2p2.(3P).6s, 4P, 1.5, 266802.0
2s2.2p2.(3P).6s, 4P, 2.5, 266971.23

2s2.2p2.(3P).6s, 2P, 0.5, 267101.1
2s2.2p2.(3P).6s, 2P, 1.5, 267298.23

2s2.2p2.(1D).4p, 2P, 0.5, 267460.28
2s2.2p2.(1D).4p, 2P, 1.5, 267490.79

2s.2p3.(5S).3p, 6P, 1.5, 267768.20
2s.2p3.(5S).3p, 6P, 2.5, 267775.48
2s.2p3.(5S).3p, 6P, 3.5, 267788.09

2s2.2p2.(3P).6p, 2S, 0.5, 268369.8


2s2.2p2.(3P).6p, 4D, 1.5, 268465.6
2s2.2p2.(3P).6p, 4D, 2.5, 268547.50
2s2.2p2.(3P).6p, 4D, 3.5, 268692.1



2s2.2p2.(3P).6p, 4P, 2.5, 268782.5


2s2.2p2.(3P).7p, 4D, 1.5, 272728.4
2s2.2p2.(3P).7p, 4D, 2.5, 272787.7
2s2.2p2.(3P).7p, 4D, 3.5, 272968.4



2s2.2p2.(3P).7p, 4P, 2.5, 273018.7

2s2.2p2.(1D).4d, 2F, 2.5, 274740.7
2s2.2p2.(1D).4d, 2F, 3.5, 274781.5

2s2.2p2.(1D).4d, 2D, 1.5, 274916.0
2s2.2p2.(1D).4d, 2D, 2.5, 274928.0


2s2.2p2.(1D).4d, 2P, 1.5, 275611.1

2s2.2p2.(1S).3d, 2D, 1.5, 275983.95
2s2.2p2.(1S).3d, 2D, 2.5, 276075.32

2s2.2p2.(1D).4d, 2S, 0.5, 275996.5

2s2.2p2.(1D).5s, 2D, 1.5, 278144.33
2s2.2p2.(1D).5s, 2D, 2.5, 278144.62

2s2.2p2.(1S).4s, 2S, 0.5, 282219.90
