-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |       Level (cm-1) | Uncertainty (cm-1) |           Landé | Leading percentages                                | Reference
                       |           |   1 |     88549.095      |           0.020    |                 |  89         :     6  2s2.2p.(2P*<1/2>).7d  2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).7f   | 2[5/2]    |   3 |     88574.89       |           0.06     |                 |  99                                                |       L20057
                       |           |   2 |     88574.90       |           0.03     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).7f   | 2[7/2]    |   3 |     88575.36       |           0.08     |                 |  99                                                |       L20057
                       |           |   4 |     88575.36       |           0.08     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).8s   | 2[3/2]*   |   2 |     88584.28       |           0.03     |                 |  66         :    27  2s2.2p.(2P*<3/2>).7d  2[3/2]* |       L20057
                       |           |   1 |     88615.02       |           0.04     |                 |  57         :    19  2s2.2p.(2P*<3/2>).7d  2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).7d   | 2[7/2]*   |   4 |    [88596.17]      |           0.08     |                 | 100                                                |       L20057
                       |           |   3 |     88625.02       |           0.04     |                 |  79         :    18  2s2.2p.(2P*<3/2>).7d  2[5/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).7d   | 2[5/2]*   |   2 |     88604.76       |           0.04     |                 |  79         :    15  2s2.2p.(2P*<1/2>).7d  2[3/2]* |       L20057
                       |           |   3 |     88606.32       |           0.18     |                 |  82         :    18  2s2.2p.(2P*<3/2>).7d  2[7/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).7f   | 2[7/2]    |   3 |     88634.03       |           0.03     |                 |  99                                                |       L20057
                       |           |   4 |     88634.12       |           0.09     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).7f   | 2[5/2]    |   3 |     88638.32       |           0.07     |                 |  99                                                |       L20057
                       |           |   2 |     88638.32       |           0.07     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).7d   | 2[3/2]*   |   1 |     88638.99       |           0.04     |                 |  64         :    32  2s2.2p.(2P*<3/2>).8s  2[3/2]* |       L20057
                       |           |   2 |     88639.1        |           0.4      |                 |  58         :    30  2s2.2p.(2P*<3/2>).8s  2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).7f   | 2[9/2]    |   5 |    [88641.4]       |           0.4      |                 | 100                                                |       L20057
                       |           |   4 |    [88641.5]       |           0.4      |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).7f   | 2[3/2]    |   2 |     88645.36       |           0.07     |                 | 100                                                |       L20057
                       |           |   1 |     88645.37       |           0.07     |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).7d   | 2[1/2]*   |   1 |     88646.9        |           0.3      |                 |  76         :    11  2s2.2p.(2P*<3/2>).7d  2[3/2]* |       L20057
                       |           |   0 |     88648.4        |           1.7      |                 |  96                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).8p   | 2[3/2]    |   1 |     88767.03       |           0.06     |                 |  79         :    17  2s2.2p.(2P*<1/2>).8p  2[1/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).8p   | 2[1/2]    |   2 |    [88789]         |           5        |                 |  77         :    21  2s2.2p.(2P*<3/2>).8p  2[5/2]  |       L20057
                       |           |   1 |     88790.86       |           0.04     |                 |  69         :    19  2s2.2p.(2P*<1/2>).8p  2[3/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).8p   | 2[5/2]    |   3 |     88836.15       |           0.04     |                 |  98                                                |       L20057
                       |           |   2 |     88913.57       |           0.04     |                 |  61         :    13  2s2.2p.(2P*<1/2>).8p  2[3/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).8p   | 2[3/2]    |   2 |     88874.00       |           0.03     |                 |  87         :     7  2s2.2p.(2P*<3/2>).8p  2[5/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).8p   | 2[1/2]    |   0 |     88960.65       |           0.04     |                 |  42         :    20  2s2.2p.(2P*<3/2>).9p  2[1/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).8d   | 2[5/2]*   |   2 |     89054.17       |           0.04     |                 |  67         :    24  2s2.2p.(2P*<1/2>).8d  2[3/2]* |       L20057
                       |           |   3 |     89081.96       |           0.19     |                 |  98                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).8d   | 2[3/2]*   |   2 |     89081.3        |           2.1      |                 |  62         :    32  2s2.2p.(2P*<1/2>).8d  2[5/2]* |       L20057
                       |           |   1 |     89091.25       |           0.12     |                 |  89         :     8  2s2.2p.(2P*<1/2>).9s  2[1/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).9s   | 2[1/2]*   |   0 |     89081.64       |           0.05     |                 |  98                                                |       L20057
                       |           |   1 |     89085.39       |           0.05     |                 |  89         :     8  2s2.2p.(2P*<1/2>).8d  2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).8f   | 2[5/2]    |   2 |     89101.81       |           0.03     |                 | 100                                                |       L20057
                       |           |   3 |     89101.83       |           0.09     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).8f   | 2[7/2]    |   3 |     89101.87       |           0.09     |                 |  99                                                |       L20057
                       |           |   4 |     89101.87       |           0.09     |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).9s   | 2[3/2]*   |   2 |     89121.9        |           1.7      |                 |  65         :    28  2s2.2p.(2P*<3/2>).8d  2[3/2]* |       L20057
                       |           |   1 |     89149.35       |           0.04     |                 |  59         :    21  2s2.2p.(2P*<3/2>).8d  2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).8d   | 2[7/2]*   |   4 |    [89136.58]      |           0.08     |                 | 100                                                |       L20057
                       |           |   3 |     89155.71       |           0.04     |                 |  79         :    19  2s2.2p.(2P*<3/2>).8d  2[5/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).8d   | 2[5/2]*   |   2 |     89142.68       |           0.03     |                 |  84         :     8  2s2.2p.(2P*<1/2>).8d  2[3/2]* |       L20057
                       |           |   3 |     89144.03       |           0.19     |                 |  81         :    19  2s2.2p.(2P*<3/2>).8d  2[7/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).8f   | 2[7/2]    |   3 |     89162.15       |           0.09     |                 | 100                                                |       L20057
                       |           |   4 |     89162.15       |           0.09     |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).8d   | 2[3/2]*   |   2 |     89162.6        |           0.4      |                 |  59         :    32  2s2.2p.(2P*<3/2>).9s  2[3/2]* |       L20057
                       |           |   1 |     89164.74       |           0.04     |                 |  66         :    31  2s2.2p.(2P*<3/2>).9s  2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).8f   | 2[5/2]    |   3 |    [89164.92]      |           0.19     |                 |  99                                                |       L20057
                       |           |   2 |    [89164.92]      |           0.19     |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).8f   | 2[9/2]    |   4 |    [89167.2]       |           0.5      |                 | 100                                                |       L20057
                       |           |   5 |    [89167.2]       |           0.5      |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).8d   | 2[1/2]*   |   0 |     89169.2        |           1.7      |                 |  97                                                |       L20057
                       |           |   1 |     89170.01       |           0.19     |                 |  79         :    10  2s2.2p.(2P*<3/2>).8d  2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).8f   | 2[3/2]    |   1 |    [89169.93]      |           0.24     |                 | 100                                                |       L20057
                       |           |   2 |    [89169.93]      |           0.24     |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).9p   | 2[3/2]    |   1 |     89232.43       |           0.04     |                 |  83         :    14  2s2.2p.(2P*<1/2>).9p  2[1/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).9p   | 2[5/2]    |   3 |     89299.13       |           0.04     |                 |  98                                                |       L20057
                       |           |   2 |     89350.11       |           0.04     |                 |  60         :    11  2s2.2p.(2P*<3/2>).9p  2[3/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).9p   | 2[1/2]    |   0 |     89381.63       |           0.04     |                 |  37         :    22  2s2.2p.(2P*<3/2>).10p 2[1/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).9d   | 2[5/2]*   |   2 |     89431.49       |           0.04     |                 |  76         :    19  2s2.2p.(2P*<1/2>).9d  2[3/2]* |       L20057
                       |           |   3 |     89449.54       |           0.19     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).9d   | 2[3/2]*   |   2 |     89448.6        |           1.7      |                 |  73         :    23  2s2.2p.(2P*<1/2>).9d  2[5/2]* |       L20057
                       |           |   1 |     89456.15       |           0.16     |                 |  50         :    48  2s2.2p.(2P*<1/2>).10s 2[1/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).10s  | 2[1/2]*   |   0 |     89448.6        |           1.7      |                 |  99                                                |       L20057
                       |           |   1 |     89451.85       |           0.05     |                 |  50         :    48  2s2.2p.(2P*<1/2>).9d  2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).9d   | 2[7/2]*   |   4 |    [89505.99]      |           0.09     |                 | 100                                                |       L20057
                       |           |   3 |     89519.15       |           0.04     |                 |  79         :    20  2s2.2p.(2P*<3/2>).9d  2[5/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).9d   | 2[5/2]*   |   2 |     89510.46       |           0.04     |                 |  85         :     7  2s2.2p.(2P*<3/2>).9d  2[3/2]* |       L20057
                       |           |   3 |     89513.4        |           0.8      |                 |  80         :    20  2s2.2p.(2P*<3/2>).9d  2[7/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).10s  | 2[3/2]*   |   1 |     89514.69       |           0.17     |                 |  59         :    27  2s2.2p.(2P*<3/2>).9d  2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).9d   | 2[3/2]*   |   2 |     89523.4        |           0.8      |                 |  62         :    31  2s2.2p.(2P*<3/2>).10s 2[3/2]* |       L20057
                       |           |   1 |     89525.56       |           0.05     |                 |  63         :    35  2s2.2p.(2P*<3/2>).10s 2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).9d   | 2[1/2]*   |   1 |     89527.1        |           0.5      |                 |  84         :     8  2s2.2p.(2P*<3/2>).9d  2[3/2]* |       L20057
                       |           |   0 |     89529.3        |           1.7      |                 |  98                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).10p  | 2[3/2]    |   1 |     89555.54       |           0.04     |                 |  85         :    13  2s2.2p.(2P*<1/2>).10p 2[1/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).10p  | 2[5/2]    |   3 |     89621.09       |           0.04     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).10p  | 2[1/2]    |   0 |     89678.13       |           0.04     |                 |  32         :    31  2s2.2p.(2P*<1/2>).11p 2[1/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).10d  | 2[5/2]*   |   2 |     89698.0        |           0.3      |                 |  82         :    15  2s2.2p.(2P*<1/2>).10d 2[3/2]* |       L20057
                       |           |   3 |     89711.40       |           0.19     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).11s  | 2[1/2]*   |   1 |     89710.9        |           1.7      |                 |  98                                                |       L20057
                       |           |   0 |     89712.0        |           1.7      |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).10d  | 2[3/2]*   |   2 |     89713.2        |           0.6      |                 |  80         :    17  2s2.2p.(2P*<1/2>).10d 2[5/2]* |       L20057
                       |           |   1 |     89716.33       |           0.15     |                 |  98                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).10d  | 2[7/2]*   |   4 |    [89769.57]      |           0.09     |                 | 100                                                |       L20057
                       |           |   3 |     89779.1        |           0.4      |                 |  79         :    20  2s2.2p.(2P*<3/2>).10d 2[5/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).10d  | 2[5/2]*   |   2 |     89772.89       |           0.06     |                 |  86         :     9  2s2.2p.(2P*<3/2>).10d 2[3/2]* |       L20057
                       |           |   3 |     89773.2        |           0.5      |                 |  80         :    20  2s2.2p.(2P*<3/2>).10d 2[7/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).10d  | 2[3/2]*   |   1 |     89783.08       |           0.14     |                 |  75         :    23  2s2.2p.(2P*<3/2>).11s 2[3/2]* |       L20057
                       |           |   2 |     89783.8        |           0.4      |                 |  51         :    43  2s2.2p.(2P*<3/2>).11s 2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).10d  | 2[1/2]*   |   1 |     89783.4        |           0.7      |                 |  61         :    23  2s2.2p.(2P*<3/2>).11s 2[3/2]* |       L20057
                       |           |   0 |     89785.7        |           2.1      |                 |  98                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).11p  | 2[3/2]    |   1 |     89789.23       |           0.11     |                 |  86         :    12  2s2.2p.(2P*<1/2>).11p 2[1/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).11d  | 2[5/2]*   |   2 |     89895.6        |           1.2      |                 |  86         :    12  2s2.2p.(2P*<1/2>).11d 2[3/2]* |       L20057
                       |           |   3 |     89905.05       |           0.19     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).12s  | 2[1/2]*   |   1 |     89903.4        |           1.1      |                 |  88         :    11  2s2.2p.(2P*<1/2>).11d 2[3/2]* |       L20057
                       |           |   0 |     89905.4        |           1.7      |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).11d  | 2[3/2]*   |   2 |     89905.4        |           1.7      |                 |  85         :    13  2s2.2p.(2P*<1/2>).11d 2[5/2]* |       L20057
                       |           |   1 |     89906.5        |           0.3      |                 |  88         :    11  2s2.2p.(2P*<1/2>).12s 2[1/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).11d  | 2[5/2]*   |   2 |     89966.69       |           0.06     |                 |  85         :    11  2s2.2p.(2P*<3/2>).11d 2[3/2]* |       L20057
                       |           |   3 |     89970.         |           3        |                 |  79         :    21  2s2.2p.(2P*<3/2>).11d 2[7/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).12s  | 2[3/2]*   |   1 |     89969.26       |           0.14     |                 |  61         :    22  2s2.2p.(2P*<3/2>).11d 2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).11d  | 2[7/2]*   |   3 |     89971.39       |           0.19     |                 |  79         :    21  2s2.2p.(2P*<3/2>).11d 2[5/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).11d  | 2[3/2]*   |   1 |     89974.52       |           0.17     |                 |  68         :    31  2s2.2p.(2P*<3/2>).12s 2[3/2]* |       L20057
                       |           |   2 |     89976.0        |           2.1      |                 |  59         :    34  2s2.2p.(2P*<3/2>).12s 2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).11d  | 2[1/2]*   |   1 |     89975.9        |           0.4      |                 |  82         :     9  2s2.2p.(2P*<3/2>).11d 2[3/2]* |       L20057
                       |           |   0 |     89975.9        |           2.1      |                 |  98                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).13s  | 2[1/2]*   |   1 |     90051.4        |           1.7      |                 |  99                                                |       L20057
                       |           |   0 |     90051.6        |           1.7      |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).12d  | 2[5/2]*   |   3 |     90051.53       |           0.19     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).12d  | 2[3/2]*   |   2 |     90051.6        |           1.7      |                 |  88         :    10  2s2.2p.(2P*<1/2>).12d 2[5/2]* |       L20057
                       |           |   1 |     90054.38       |           0.14     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).12d  | 2[5/2]*   |   2 |     90110.8        |           1.5      |                 |  85         :    12  2s2.2p.(2P*<3/2>).12d 2[3/2]* |       L20057
                       |           |   3 |     90114.0        |           0.6      |                 |  79         :    21  2s2.2p.(2P*<3/2>).12d 2[7/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).13s  | 2[3/2]*   |   1 |     90115.5        |           0.5      |                 |  53         :    36  2s2.2p.(2P*<3/2>).12d 2[1/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).12d  | 2[7/2]*   |   3 |     90117.5        |           0.3      |                 |  78         :    21  2s2.2p.(2P*<3/2>).12d 2[5/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).12d  | 2[1/2]*   |   0 |     90118.0        |           2.1      |                 |  98                                                |       L20057
                       |           |   1 |     90118.5        |           1.4      |                 |  61         :    25  2s2.2p.(2P*<3/2>).13s 2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).12d  | 2[3/2]*   |   2 |     90118.5        |           1.4      |                 |  47         :    47  2s2.2p.(2P*<3/2>).13s 2[3/2]* |       L20057
                       |           |   1 |     90119.87       |           0.15     |                 |  76         :    22  2s2.2p.(2P*<3/2>).13s 2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).14s  | 2[1/2]*   |   1 |     90162.8        |           2.1      |                 |  99                                                |       L20057
                       |           |   0 |     90166.4        |           1.7      |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).13d  | 2[5/2]*   |   3 |     90165.6        |           0.3      |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).13d  | 2[3/2]*   |   2 |     90166.4        |           1.7      |                 |  90         :     8  2s2.2p.(2P*<1/2>).13d 2[5/2]* |       L20057
                       |           |   1 |     90168.01       |           0.13     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).13d  | 2[5/2]*   |   3 |     90228.7        |           1.7      |                 |  77         :    22  2s2.2p.(2P*<3/2>).13d 2[7/2]* |       L20057
                       |           |   2 |     90229.0        |           1.0      |                 |  83         :    13  2s2.2p.(2P*<3/2>).13d 2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).14s  | 2[3/2]*   |   1 |     90229.76       |           0.19     |                 |  44         :    39  2s2.2p.(2P*<3/2>).13d 2[1/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).13d  | 2[1/2]*   |   0 |     90230.         |           3        |                 |  97                                                |       L20057
                       |           |   1 |     90230.         |           3        |                 |  57         :    37  2s2.2p.(2P*<3/2>).14s 2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).13d  | 2[3/2]*   |   2 |     90230.1        |           0.4      |                 |  46         :    42  2s2.2p.(2P*<3/2>).14s 2[3/2]* |       L20057
                       |           |   1 |     90232.16       |           0.15     |                 |  81         :    18  2s2.2p.(2P*<3/2>).14s 2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).13d  | 2[7/2]*   |   3 |     90230.83       |           0.19     |                 |  76         :    22  2s2.2p.(2P*<3/2>).13d 2[5/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).14d  | 2[3/2]*   |   2 |     90255.1        |           0.8      |                 |  91         :     5  2s2.2p.(2P*<1/2>).14d 2[5/2]* |       L20057
                       |           |   1 |     90259.12       |           0.24     |                 |  98                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).15s  | 2[1/2]*   |   0 |     90255.3        |           1.7      |                 |  98                                                |       L20057
                       |           |   1 |     90257.2        |           0.5      |                 |  98                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).14d  | 2[5/2]*   |   3 |     90256.58       |           0.19     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).14d  | 2[5/2]*   |   3 |     90318.0        |           1.7      |                 |  58         :    34  2s2.2p.(2P*<3/2>).14d 2[7/2]* |       L20057
                       |           |   2 |     90318.0        |           1.7      |                 |  65         :    17  2s2.2p.(2P*<3/2>).14d 2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).15s  | 2[3/2]*   |   1 |     90320.4        |           0.5      |                 |  57         :    38  2s2.2p.(2P*<3/2>).14d 2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).14d  | 2[7/2]*   |   3 |     90320.66       |           0.19     |                 |  38         :    34  2s2.2p.(2P*<1/2>).15d 2[5/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).14d  | 2[3/2]*   |   1 |     90322.35       |           0.19     |                 |  38         :    37  2s2.2p.(2P*<1/2>).15d 2[3/2]* |       L20057
                       |           |   2 |     90325          |           3        |                 |  38         :    27  2s2.2p.(2P*<3/2>).14d 2[5/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).14d  | 2[1/2]*   |   0 |     90325          |           3        |                 |  61         :    38  2s2.2p.(2P*<1/2>).16s 2[1/2]* |       L20057
                       |           |   1 |     90325          |           3        |                 |  51         :    32  2s2.2p.(2P*<1/2>).16s 2[1/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).16s  | 2[1/2]*   |   1 |     90326.0        |           1.7      |                 |  55         :    41  2s2.2p.(2P*<3/2>).14d 2[1/2]* |       L20057
                       |           |   0 |     90330.1        |           1.7      |                 |  62         :    38  2s2.2p.(2P*<3/2>).14d 2[1/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).15d  | 2[5/2]*   |   3 |     90329.68       |           0.20     |                 |  58         :    38  2s2.2p.(2P*<3/2>).14d 2[7/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).15d  | 2[3/2]*   |   2 |     90332.9        |           1.1      |                 |  57         :    32  2s2.2p.(2P*<3/2>).14d 2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).16d  | 2[5/2]*   |   3 |     90389.0        |           0.6      |                 |  98                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).17s  | 2[1/2]*   |   0 |     90390.2        |           1.7      |                 |  98                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).16d  | 2[3/2]*   |   2 |     90391.2        |           0.4      |                 |  71         :    23  2s2.2p.(2P*<1/2>).16d 2[5/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).15d  | 2[5/2]*   |   2 |     90393.8        |           1.7      |                 |  86         :     6  2s2.2p.(2P*<3/2>).15d 2[3/2]* |       L20057
                       |           |   3 |     90393.8        |           1.7      |                 |  82         :    18  2s2.2p.(2P*<3/2>).15d 2[7/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).15d  | 2[7/2]*   |   3 |     90393.93       |           0.19     |                 |  80         :    18  2s2.2p.(2P*<3/2>).15d 2[5/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).15d  | 2[3/2]*   |   1 |     90395.41       |           0.21     |                 |  80         :    17  2s2.2p.(2P*<3/2>).16s 2[3/2]* |       L20057
                       |           |   2 |     90395.9        |           2.1      |                 |  48         :    43  2s2.2p.(2P*<3/2>).16s 2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).15d  | 2[1/2]*   |   1 |     90395.9        |           2.1      |                 |  79         :    18  2s2.2p.(2P*<3/2>).16s 2[3/2]* |       L20057
                       |           |   0 |     90395.9        |           2.1      |                 |  97                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).17d  | 2[5/2]*   |   3 |     90438.32       |           0.19     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).16d  | 2[5/2]*   |   3 |     90453.0        |           1.7      |                 |  80         :    20  2s2.2p.(2P*<3/2>).16d 2[7/2]* |       L20057
                       |           |   2 |     90453.0        |           1.7      |                 |  86         :    10  2s2.2p.(2P*<3/2>).16d 2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).16d  | 2[7/2]*   |   3 |     90453.15       |           0.19     |                 |  79         :    20  2s2.2p.(2P*<3/2>).16d 2[5/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).16d  | 2[3/2]*   |   1 |     90454.59       |           0.17     |                 |  80         :    18  2s2.2p.(2P*<3/2>).17s 2[3/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).18d  | 2[5/2]*   |   3 |     90479.63       |           0.19     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
