-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |       Level (cm-1) | Uncertainty (cm-1) |           Landé | Leading percentages                                | Reference
                       |           |   2 |     75255.29373    |           0.00013  |                 |  79         :    15  2s2.2p.3d             3P*     |       L20057
                       |           |   0 |     75256.1696     |           0.0003   |                 |  79         :    15  2s2.2p.3d             3P*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.3d              | 1D*       |   2 |     77679.83311    |           0.00019  |                 |  98                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.4s              | 3P*       |   0 |     78105.00058    |           0.0003   |                 |  93         :     7  2s2.2p.3d             3P*     |       L20057
                       |           |   1 |     78116.77336    |           0.00014  |                 |  92         :     7  2s2.2p.3d             3P*     |       L20057
                       |           |   2 |     78148.10824    |           0.00012  |                 |  92         :     8  2s2.2p.3d             3P*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.3d              | 3F*       |   2 |     78199.09144    |           0.00021  |                 |  86         :    13  2s2.2p.3d             3D*     |       L20057
                       |           |   3 |     78215.54012    |           0.00017  |                 |  76         :    22  2s2.2p.3d             3D*     |       L20057
                       |           |   4 |     78249.96676    |           0.00014  |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.3d              | 3D*       |   1 |     78293.51263    |           0.00024  |                 |  97                                                |       L20057
                       |           |   2 |     78307.64625    |           0.00017  |                 |  84         :    14  2s2.2p.3d             3F*     |       L20057
                       |           |   3 |     78318.26602    |           0.00009  |                 |  75         :    23  2s2.2p.3d             3F*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.4s              | 1P*       |   1 |     78340.29782    |           0.00023  |                 |  80         :    18  2s2.2p.3d             1P*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.3d              | 1F*       |   3 |     78529.64651    |           0.00022  |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.3d              | 1P*       |   1 |     78731.2956     |           0.0004   |                 |  81         :    18  2s2.2p.4s             1P*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.3d              | 3P*       |   2 |     79310.86822    |           0.00009  |                 |  77         :    15  2s.2p3                3P*     |       L20057
                       |           |   1 |     79318.8093     |           0.0003   |                 |  77         :    15  2s.2p3                3P*     |       L20057
                       |           |   0 |     79323.1883     |           0.0005   |                 |  78         :    15  2s.2p3                3P*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.4p              | 1P        |   1 |     80562.88550    |           0.00021  |                 |  96                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.4p              | 3D        |   1 |     80782.44916    |           0.00021  |                 |  97                                                |       L20057
                       |           |   2 |     80801.28887    |           0.00015  |                 |  98                                                |       L20057
                       |           |   3 |     80834.62491    |           0.00013  |                 |  98                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.4p              | 3S        |   1 |     81105.06418    |           0.00014  |                 |  89         :     9  2s2.2p.4p             3P      |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.4p              | 3P        |   0 |     81311.0544     |           0.0003   |                 |  98                                                |       L20057
                       |           |   1 |     81325.81077    |           0.00020  |                 |  89         :     9  2s2.2p.4p             3S      |       L20057
                       |           |   2 |     81344.05485    |           0.00011  |                 |  98                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.4p              | 1D        |   2 |     81769.87089    |           0.00024  |                 |  93         :     4  2s2.2p.5p             1D      |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.4p              | 1S        |   0 |     82251.82041    |           0.0003   |                 |  79         :    13  2s2.2p.5p             1S      |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.4d              | 1D*       |   2 |     83497.58690    |           0.0003   |                 |  97                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.5s              | 3P*       |   0 |     83740.0964     |           0.0010   |                 |  94         :     6  2s2.2p.4d             3P*     |       L20057
                       |           |   1 |     83752.4388     |           0.0006   |                 |  89         :     6  2s2.2p.4d             3P*     |       L20057
                       |           |   2 |     83791.0880     |           0.0005   |                 |  74         :    11  2s2.2p.4d             3D*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.4d              | 3F*       |   2 |     83747.43248    |           0.0003   |                 |  86         :    13  2s2.2p.4d             3D*     |       L20057
                       |           |   3 |     83761.27417    |           0.00018  |                 |  78         :    19  2s2.2p.4d             3D*     |       L20057
                       |           |   4 |     83798.61582    |           0.00016  |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.4d              | 3D*       |   1 |     83820.1576     |           0.0008   |                 |  94         :     4  2s2.2p.4d             1P*     |       L20057
                       |           |   2 |     83838.0728     |           0.0004   |                 |  75         :    16  2s2.2p.5s             3P*     |       L20057
                       |           |   3 |     83848.8700     |           0.0003   |                 |  80         :    20  2s2.2p.4d             3F*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.5s              | 1P*       |   1 |     83877.305      |           0.006    |                 |  65         :    28  2s2.2p.4d             1P*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).4f   | 2[5/2]    |   3 |     83919.66322    |           0.00018  |                 |  82         :    17  2s2.2p.(2P*<3/2>).4f  2[5/2]  |       L20057
                       |           |   2 |     83919.77375    |           0.0003   |                 |  82         :    18  2s2.2p.(2P*<3/2>).4f  2[5/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).4f   | 2[7/2]    |   3 |     83926.22434    |           0.0003   |                 |  83         :    17  2s2.2p.(2P*<3/2>).4f  2[7/2]  |       L20057
                       |           |   4 |     83926.42382    |           0.00013  |                 |  83         :    17  2s2.2p.(2P*<3/2>).4f  2[7/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.4d              | 1F*       |   3 |     83947.2231     |           0.0004   |                 |  97                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).4f   | 2[7/2]    |   3 |     83986.22212    |           0.00021  |                 |  83         :    17  2s2.2p.(2P*<1/2>).4f  2[7/2]  |       L20057
                       |           |   4 |     83986.4926     |           0.0005   |                 |  83         :    17  2s2.2p.(2P*<1/2>).4f  2[7/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).4f   | 2[5/2]    |   3 |     84013.27526    |           0.00012  |                 |  82         :    17  2s2.2p.(2P*<1/2>).4f  2[5/2]  |       L20057
                       |           |   2 |     84013.4311     |           0.0003   |                 |  82         :    18  2s2.2p.(2P*<1/2>).4f  2[5/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).4f   | 2[9/2]    |   5 |     84015.87795    |           0.00018  |                 | 100                                                |       L20057
                       |           |   4 |     84016.2748     |           0.0005   |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.4d              | 1P*       |   1 |     84032.1471     |           0.0007   |                 |  67         :    30  2s2.2p.5s             1P*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).4f   | 2[3/2]    |   1 |     84036.3320     |           0.0006   |                 | 100                                                |       L20057
                       |           |   2 |     84036.4454     |           0.0005   |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.4d              | 3P*       |   2 |     84103.1238     |           0.0004   |                 |  87         :     9  2s2.2p.5s             3P*     |       L20057
                       |           |   1 |     84116.1152     |           0.0005   |                 |  89         :     6  2s2.2p.5s             3P*     |       L20057
                       |           |   0 |     84121.2260     |           0.0018   |                 |  91         :     6  2s2.2p.5s             3P*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.5p              | 1P        |   1 |     84851.4691     |           0.0016   |                 |  90         :     6  2s2.2p.5p             3D      |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.5p              | 3D        |   1 |     84935.362      |           0.020    |                 |  91         :     6  2s2.2p.5p             1P      |       L20057
                       |           |   2 |     84950.41       |           0.03     |                 |  97                                                |       L20057
                       |           |   3 |     84985.0033     |           0.0020   |                 |  98                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.5p              | 3P        |   0 |     85169.66       |           0.03     |                 |  98                                                |       L20057
                       |           |   1 |     85188.9670     |           0.0004   |                 |  68         :    30  2s2.2p.5p             3S      |       L20057
                       |           |   2 |     85203.6756     |           0.0003   |                 |  97                                                |       L20057
