---------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term   |    J |   Level (cm-1) | Uncertainty (cm-1) | Leading percentages                           | Reference
2s2.2p2.(3P).3d      | 2F     |  5/2 |    579676.2    |              0.5   |  92         :     6  2s2.2p2.(1D).3d    2F    |    L17865
                     |        |  7/2 |    580384.5    |              0.5   |  92         :     6  2s2.2p2.(1D).3d    2F    |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).3d      | 2D     |  3/2 |    586981.26   |              0.5   |  97                                           |    L17865
                     |        |  5/2 |    587197.89   |              0.5   |  97                                           |    L17865
                     |        |      |                |                    |                                               |           
2s.2p3.(5S*).3s      | 4S*    |  3/2 |    588018.7    |              0.7   |  89         :     7  2s2.2p2.(3P).3p    4S*   |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1S).3p      | 2P*    |  1/2 |    591837.3    |              0.7   |  92         :     5  2p4.(1S).3p        2P*   |    L17865
                     |        |  3/2 |    591841.1    |              0.7   |  92         :     5  2p4.(1S).3p        2P*   |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D).3d      | 2F     |  7/2 |    605640.26   |              0.5   |  91         :     5  2s2.2p2.(3P).3d    2F    |    L17865
                     |        |  5/2 |    605782.5    |              0.6   |  92         :     6  2s2.2p2.(3P).3d    2F    |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D).3d      | 2G     |  9/2 |    607008.93   |              0.5   |  98                                           |    L17865
                     |        |  7/2 |    607017.5    |              0.6   |  99                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D).3d      | 2D     |  3/2 |    609363.6    |              0.6   |  96                                           |    L17865
                     |        |  5/2 |    609419.00   |              0.5   |  96                                           |    L17865
                     |        |      |                |                    |                                               |           
2s.2p3.(5S*).3p      | 6P     |  3/2 |    612495.20+x |              0.5   | 100                                           |    L17865
                     |        |  5/2 |    612543.53+x |              0.5   | 100                                           |    L17865
                     |        |  7/2 |    612623.04+x |              0.5   | 100                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D).3d      | 2P     |  1/2 |    612947.6    |              1.4   |  97                                           |    L17865
                     |        |  3/2 |    613075.2    |              0.7   |  97                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D).3d      | 2S     |  1/2 |    616744.9    |              1.3   |  96                                           |    L17865
                     |        |      |                |                    |                                               |           
2s.2p3.(5S*).3p      | 4P     |  5/2 |    625497.0    |              0.9   |  95                                           |    L17865
                     |        |  3/2 |    625517.8    |              0.9   |  94                                           |    L17865
                     |        |  1/2 |    625531.4    |              0.9   |  94                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).4s      | 4P     |  1/2 |    633427.4    |              0.7   |  94                                           |    L17865
                     |        |  3/2 |    633792.2    |              0.6   |  94                                           |    L17865
                     |        |  5/2 |    634368.1    |              0.6   |  95                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).4s      | 2P     |  1/2 |    636499.6    |              0.7   |  98                                           |    L17865
                     |        |  3/2 |    637219.7    |              0.6   |  97                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1S).3d      | 2D     |  5/2 |    639949.2    |              1.1   |  93         :     5  2p4.(1S).3d        2D    |    L17865
                     |        |  3/2 |    640336?     |             11     |  92         :     5  2p4.(1S).3d        2D    |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).4p      | 2S*    |  1/2 |    647205.0    |              0.8   |  80         :    14                     4D*   |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).4p      | 4D*    |  1/2 |    647281.9    |              0.7   |  67         :    19                     2S*   |    L17865
                     |        |  3/2 |    647405.4    |              0.7   |  83         :    14  2s.2p3.(3D*).3s    4D*   |    L17865
                     |        |  5/2 |    647663.5    |              0.7   |  82         :    15  2s.2p3.(3D*).3s    4D*   |    L17865
                     |        |  7/2 |    648032.0    |              0.5   |  82         :    16  2s.2p3.(3D*).3s    4D*   |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).4p      | 4P*    |  1/2 |    649929.8    |              0.6   |  95                                           |    L17865
                     |        |  3/2 |    650059.3    |              0.6   |  95                                           |    L17865
                     |        |  5/2 |    650426.4    |              0.7   |  95                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).4p      | 2D*    |  3/2 |    653387.7    |              0.8   |  94                                           |    L17865
                     |        |  5/2 |    654117.8    |              0.6   |  94                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).4p      | 4S*    |  3/2 |    654998.6    |              0.6   |  94                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).4p      | 2P*    |  3/2 |    656443.3    |              0.6   |  93                                           |    L17865
                     |        |      |                |                    |                                               |           
2s.2p3.(3D*).3s      | 4D*    |  3/2 |    659060      |              6     |  84         :    14  2s2.2p2.(3P).4p    4D*   |    L17865
                     |        |  5/2 |    659114      |              7     |  83         :    15  2s2.2p2.(3P).4p    4D*   |    L17865
                     |        |  7/2 |    659160      |              7     |  82         :    16  2s2.2p2.(3P).4p    4D*   |    L17865
                     |        |      |                |                    |                                               |           
2s.2p3.(5S*).3d      | 6D*    |  9/2 |    662845.9+x  |              0.6   | 100                                           |    L17865
                     |        |  7/2 |    662849.24+x |              0.5   | 100                                           |    L17865
                     |        |  5/2 |    662856.05+x |              0.5   | 100                                           |    L17865
                     |        |  3/2 |    662862.46+x |              0.6   | 100                                           |    L17865
                     |        |  1/2 |    662866.7+x  |              0.6   | 100                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D).4s      | 2D     |  5/2 |    664365.9    |              0.8   |  97                                           |    L17865
                     |        |  3/2 |    664367.7    |              0.9   |  97                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).4d      | 4F     |  3/2 |    667124?     |              7     |  95                                           |    L17865
                     |        |  5/2 |    667336?     |              5     |  91         :     6                     4D    |    L17865
                     |        |  7/2 |    667618?     |              7     |  90         :     8                     4D    |    L17865
                     |        |  9/2 |    668098?     |              6     |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s.2p3.(3D*).3s      | 2D*    |  3/2 |    667692      |              4     |  75         :    22  2s2.2p2.(1D).4p    2D*   |    L17865
                     |        |  5/2 |    667724.3    |              2.4   |  75         :    22  2s2.2p2.(1D).4p    2D*   |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).4d      | 4D     |  3/2 |    668838      |              3     |  86         :     6                     2P    |    L17865
                     |        |  1/2 |    668838      |              3     |  93         :     5                     2P    |    L17865
