config, term, J, epsion
2s2.2p3, 4S, 1.5, 0.00

2s2.2p3, 2D, 2.5, 26810.55
2s2.2p3, 2D, 1.5, 26830.57

2s2.2p3, 2P, 1.5, 40468.01
2s2.2p3, 2P, 0.5, 40470.00

2s.2p4, 4P, 2.5, 119837.21
2s.2p4, 4P, 1.5, 120000.43
2s.2p4, 4P, 0.5, 120082.86

2s.2p4, 2D, 2.5, 165988.46
2s.2p4, 2D, 1.5, 165996.50

2s2.2p2.3s, 4P, 0.5, 185235.281
2s2.2p2.3s, 4P, 1.5, 185340.577
2s2.2p2.3s, 4P, 2.5, 185499.124

2s2.2p2.3s, 2P, 0.5, 188888.543
2s2.2p2.3s, 2P, 1.5, 189068.514

2s.2p4, 2S, 0.5, 195710.47

2s2.2p2.3p, 2S, 0.5, 203942.288

2s2.2p2.3p, 4D, 0.5, 206730.762
2s2.2p2.3p, 4D, 1.5, 206786.286
2s2.2p2.3p, 4D, 2.5, 206877.865
2s2.2p2.3p, 4D, 3.5, 207002.482

2s2.2p2.3s, 2D, 2.5, 206971.68
2s2.2p2.3s, 2D, 1.5, 206972.72

2s2.2p2.3p, 4P, 0.5, 208346.104
2s2.2p2.3p, 4P, 1.5, 208392.258
2s2.2p2.3p, 4P, 2.5, 208484.202

2s2.2p2.3p, 2D, 1.5, 211522.117
2s2.2p2.3p, 2D, 2.5, 211712.732

2s2.2p2.3p, 4S, 1.5, 212161.881

2s.2p4, 2P, 1.5, 212593.82
2s.2p4, 2P, 0.5, 212762.25

2s2.2p2.3p, 2P, 0.5, 214169.920
2s2.2p2.3p, 2P, 1.5, 214229.671

2s2.2p2.3p, 2F, 2.5, 228723.84
2s2.2p2.3p, 2F, 3.5, 228747.45

2s2.2p2.3p, 2D, 2.5, 229947.07
2s2.2p2.3p, 2D, 1.5, 229968.44

2s2.2p2.3s, 2S, 0.5, 230609.45

2s2.2p2.3d, 4F, 1.5, 231296.126
2s2.2p2.3d, 4F, 2.5, 231350.087
2s2.2p2.3d, 4F, 3.5, 231427.970
2s2.2p2.3d, 4F, 4.5, 231530.246

