
1s2.2s2.2p3(4.0S).5g1--3.0G[5.0, 4.0, 3.0], 3.0, 106671.68398755943 ritzRydberg

1s2.2s2.2p3(4.0S).14p1--5.0P[3.0, 2.0, 1.0], 3.0, 106692.540477 ritzRydberg
1s2.2s2.2p3(4.0S).14p1--5.0P[3.0, 2.0, 1.0], 2.0, 106692.540477 ritzRydberg
1s2.2s2.2p3(4.0S).14p1--5.0P[3.0, 2.0, 1.0], 1.0, 106692.540477 ritzRydberg

1s2.2s2.2p3(4.0S).14s1--5.0S[2.0], 2.0, 106773.612487 ritzRydberg

1s2.2s2.2p3(4.0S).14p1--3.0P[2.0, 1.0, 0.0], 2.0, 106786.876484 ritzRydberg
1s2.2s2.2p3(4.0S).14p1--3.0P[2.0, 1.0, 0.0], 1.0, 106786.876484 ritzRydberg
1s2.2s2.2p3(4.0S).14p1--3.0P[2.0, 1.0, 0.0], 0.0, 106786.876484 ritzRydberg

1s2.2s2.2p3(4.0S).15p1--5.0P[3.0, 2.0, 1.0], 3.0, 106823.281523 ritzRydberg
1s2.2s2.2p3(4.0S).15p1--5.0P[3.0, 2.0, 1.0], 2.0, 106823.281523 ritzRydberg
1s2.2s2.2p3(4.0S).15p1--5.0P[3.0, 2.0, 1.0], 1.0, 106823.281523 ritzRydberg

1s2.2s2.2p3(4.0S).7g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 106897.83769859775 ritzRydberg
1s2.2s2.2p3(4.0S).7g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 106897.83769859775 ritzRydberg
1s2.2s2.2p3(4.0S).7g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 106897.83769859775 ritzRydberg
1s2.2s2.2p3(4.0S).7g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 106897.83769859775 ritzRydberg
1s2.2s2.2p3(4.0S).7g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 106897.83769859775 ritzRydberg

1s2.2s2.2p3(4.0S).7g1--3.0G[5.0, 4.0, 3.0], 5.0, 106897.83769859775 ritzRydberg
1s2.2s2.2p3(4.0S).7g1--3.0G[5.0, 4.0, 3.0], 4.0, 106897.83769859775 ritzRydberg
1s2.2s2.2p3(4.0S).7g1--3.0G[5.0, 4.0, 3.0], 3.0, 106897.83769859775 ritzRydberg

1s2.2s2.2p3(4.0S).15s1--5.0S[2.0], 2.0, 106902.413448 ritzRydberg

1s2.2s2.2p3(4.0S).15p1--3.0P[2.0, 1.0, 0.0], 2.0, 106911.786124 ritzRydberg
1s2.2s2.2p3(4.0S).15p1--3.0P[2.0, 1.0, 0.0], 1.0, 106911.786124 ritzRydberg
1s2.2s2.2p3(4.0S).15p1--3.0P[2.0, 1.0, 0.0], 0.0, 106911.786124 ritzRydberg

1s2.2s2.2p3(4.0S).16p1--5.0P[3.0, 2.0, 1.0], 3.0, 106943.373343 ritzRydberg
1s2.2s2.2p3(4.0S).16p1--5.0P[3.0, 2.0, 1.0], 2.0, 106943.373343 ritzRydberg
1s2.2s2.2p3(4.0S).16p1--5.0P[3.0, 2.0, 1.0], 1.0, 106943.373343 ritzRydberg

1s2.2s2.2p3(4.0S).8g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 107001.93313230971 ritzRydberg
1s2.2s2.2p3(4.0S).8g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 107001.93313230971 ritzRydberg
1s2.2s2.2p3(4.0S).8g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 107001.93313230971 ritzRydberg
1s2.2s2.2p3(4.0S).8g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 107001.93313230971 ritzRydberg
