
1s2.2s2.2p4--3.0P[2.0, 1.0, 0.0], 2.0, 0.0
1s2.2s2.2p4--3.0P[2.0, 1.0, 0.0], 1.0, 158.265
1s2.2s2.2p4--3.0P[2.0, 1.0, 0.0], 0.0, 226.977

1s2.2s2.2p4--1.0D[2.0], 2.0, 15867.862

1s2.2s2.2p4--1.0S[0.0], 0.0, 33792.583

1s2.2s2.2p3(4.0S).3s1--5.0S[2.0], 2.0, 73768.2

1s2.2s2.2p3(4.0S).3s1--3.0S[1.0], 1.0, 76794.978

1s2.2s2.2p3(4.0S).3p1--5.0P[3.0, 2.0, 1.0], 3.0, 86631.454
1s2.2s2.2p3(4.0S).3p1--5.0P[3.0, 2.0, 1.0], 2.0, 86627.778
1s2.2s2.2p3(4.0S).3p1--5.0P[3.0, 2.0, 1.0], 1.0, 86625.757

1s2.2s2.2p3(4.0S).3p1--3.0P[2.0, 1.0, 0.0], 2.0, 88631.146
1s2.2s2.2p3(4.0S).3p1--3.0P[2.0, 1.0, 0.0], 1.0, 88630.587
1s2.2s2.2p3(4.0S).3p1--3.0P[2.0, 1.0, 0.0], 0.0, 88631.303

1s2.2s2.2p3(4.0S).4s1--5.0S[2.0], 2.0, 95476.728

1s2.2s2.2p3(4.0S).4s1--3.0S[1.0], 1.0, 96225.049

1s2.2s2.2p3(4.0S).3d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 4.0, 97420.63
1s2.2s2.2p3(4.0S).3d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 3.0, 97420.716
1s2.2s2.2p3(4.0S).3d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 2.0, 97420.839
1s2.2s2.2p3(4.0S).3d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 1.0, 97420.942
1s2.2s2.2p3(4.0S).3d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 0.0, 97420.991

1s2.2s2.2p3(4.0S).3d1--3.0D[3.0, 2.0, 1.0], 3.0, 97488.538
1s2.2s2.2p3(4.0S).3d1--3.0D[3.0, 2.0, 1.0], 2.0, 97488.448
1s2.2s2.2p3(4.0S).3d1--3.0D[3.0, 2.0, 1.0], 1.0, 97488.378

1s2.2s2.2p3(4.0S).4p1--5.0P[3.0, 2.0, 1.0], 3.0, 99094.837
1s2.2s2.2p3(4.0S).4p1--5.0P[3.0, 2.0, 1.0], 2.0, 99093.641
1s2.2s2.2p3(4.0S).4p1--5.0P[3.0, 2.0, 1.0], 1.0, 99092.968

1s2.2s2.2p3(4.0S).4p1--3.0P[2.0, 1.0, 0.0], 2.0, 99681.049
1s2.2s2.2p3(4.0S).4p1--3.0P[2.0, 1.0, 0.0], 1.0, 99680.968
1s2.2s2.2p3(4.0S).4p1--3.0P[2.0, 1.0, 0.0], 0.0, 99681.309

1s2.2s2.2p3(2.0D).3s1--3.0D[3.0, 2.0, 1.0], 3.0, 101135.407
1s2.2s2.2p3(2.0D).3s1--3.0D[3.0, 2.0, 1.0], 2.0, 101147.526
1s2.2s2.2p3(2.0D).3s1--3.0D[3.0, 2.0, 1.0], 1.0, 101155.422

1s2.2s2.2p3(4.0S).5s1--5.0S[2.0], 2.0, 102116.698

1s2.2s2.2p3(4.0S).5s1--3.0S[1.0], 1.0, 102411.995

1s2.2s2.2p3(2.0D).3s1--1.0D[2.0], 2.0, 102662.026

1s2.2s2.2p3(4.0S).4d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 4.0, 102865.506
1s2.2s2.2p3(4.0S).4d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 3.0, 102865.547
1s2.2s2.2p3(4.0S).4d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 2.0, 102865.606
1s2.2s2.2p3(4.0S).4d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 1.0, 102865.655
1s2.2s2.2p3(4.0S).4d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 0.0, 102865.679

1s2.2s2.2p3(4.0S).4d1--3.0D[3.0, 2.0, 1.0], 3.0, 102908.374
1s2.2s2.2p3(4.0S).4d1--3.0D[3.0, 2.0, 1.0], 2.0, 102908.443
1s2.2s2.2p3(4.0S).4d1--3.0D[3.0, 2.0, 1.0], 1.0, 102908.489

1s2.2s2.2p3(4.0S).4f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 5.0, 102968.249
1s2.2s2.2p3(4.0S).4f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 4.0, 102968.249
1s2.2s2.2p3(4.0S).4f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 3.0, 102968.249
1s2.2s2.2p3(4.0S).4f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 2.0, 102968.249
1s2.2s2.2p3(4.0S).4f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 1.0, 102968.249

1s2.2s2.2p3(4.0S).4f1--3.0F[4.0, 3.0, 2.0], 4.0, 102968.343
1s2.2s2.2p3(4.0S).4f1--3.0F[4.0, 3.0, 2.0], 3.0, 102968.343
1s2.2s2.2p3(4.0S).4f1--3.0F[4.0, 3.0, 2.0], 2.0, 102968.343

1s2.2s2.2p3(4.0S).5p1--5.0P[3.0, 2.0, 1.0], 3.0, 103626.611
1s2.2s2.2p3(4.0S).5p1--5.0P[3.0, 2.0, 1.0], 2.0, 103626.111
1s2.2s2.2p3(4.0S).5p1--5.0P[3.0, 2.0, 1.0], 1.0, 103625.754

1s2.2s2.2p3(4.0S).5p1--3.0P[2.0, 1.0, 0.0], 2.0, 103869.968
1s2.2s2.2p3(4.0S).5p1--3.0P[2.0, 1.0, 0.0], 1.0, 103870.028
1s2.2s2.2p3(4.0S).5p1--3.0P[2.0, 1.0, 0.0], 0.0, 103870.252

1s2.2s2.2p3(4.0S).7p1--5.0P[3.0, 2.0, 1.0], 3.0, 105005.797775
1s2.2s2.2p3(4.0S).7p1--5.0P[3.0, 2.0, 1.0], 2.0, 105005.797775
1s2.2s2.2p3(4.0S).7p1--5.0P[3.0, 2.0, 1.0], 1.0, 105005.797775

1s2.2s2.2p3(4.0S).6s1--5.0S[2.0], 2.0, 105019.307

1s2.2s2.2p3(4.0S).6s1--3.0S[1.0], 1.0, 105165.232

1s2.2s2.2p3(4.0S).7p1--3.0P[2.0, 1.0, 0.0], 2.0, 105186.916056
1s2.2s2.2p3(4.0S).7p1--3.0P[2.0, 1.0, 0.0], 1.0, 105186.916056
1s2.2s2.2p3(4.0S).7p1--3.0P[2.0, 1.0, 0.0], 0.0, 105186.916056

1s2.2s2.2p3(4.0S).5d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 4.0, 105385.354
1s2.2s2.2p3(4.0S).5d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 3.0, 105385.377
1s2.2s2.2p3(4.0S).5d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 2.0, 105385.409
1s2.2s2.2p3(4.0S).5d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 1.0, 105385.436
1s2.2s2.2p3(4.0S).5d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 0.0, 105385.449

1s2.2s2.2p3(4.0S).5d1--3.0D[3.0, 2.0, 1.0], 3.0, 105409.008
1s2.2s2.2p3(4.0S).5d1--3.0D[3.0, 2.0, 1.0], 2.0, 105409.008
1s2.2s2.2p3(4.0S).5d1--3.0D[3.0, 2.0, 1.0], 1.0, 105409.008

1s2.2s2.2p3(4.0S).8p1--5.0P[3.0, 2.0, 1.0], 3.0, 105431.094729
1s2.2s2.2p3(4.0S).8p1--5.0P[3.0, 2.0, 1.0], 2.0, 105431.094729
1s2.2s2.2p3(4.0S).8p1--5.0P[3.0, 2.0, 1.0], 1.0, 105431.094729

1s2.2s2.2p3(4.0S).5f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 5.0, 105441.645
1s2.2s2.2p3(4.0S).5f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 4.0, 105441.645
1s2.2s2.2p3(4.0S).5f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 3.0, 105441.645
1s2.2s2.2p3(4.0S).5f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 2.0, 105441.645
1s2.2s2.2p3(4.0S).5f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 1.0, 105441.645

1s2.2s2.2p3(4.0S).5f1--3.0F[4.0, 3.0, 2.0], 4.0, 105441.724
1s2.2s2.2p3(4.0S).5f1--3.0F[4.0, 3.0, 2.0], 3.0, 105441.724
1s2.2s2.2p3(4.0S).5f1--3.0F[4.0, 3.0, 2.0], 2.0, 105441.724

1s2.2s2.2p3(4.0S).8p1--3.0P[2.0, 1.0, 0.0], 2.0, 105588.367885
1s2.2s2.2p3(4.0S).8p1--3.0P[2.0, 1.0, 0.0], 1.0, 105588.367885
1s2.2s2.2p3(4.0S).8p1--3.0P[2.0, 1.0, 0.0], 0.0, 105588.367885

1s2.2s2.2p3(4.0S).9p1--5.0P[3.0, 2.0, 1.0], 3.0, 105746.796479
1s2.2s2.2p3(4.0S).9p1--5.0P[3.0, 2.0, 1.0], 2.0, 105746.796479
1s2.2s2.2p3(4.0S).9p1--5.0P[3.0, 2.0, 1.0], 1.0, 105746.796479

1s2.2s2.2p3(4.0S).6p1--5.0P[3.0, 2.0, 1.0], 3.0, 105788.856
1s2.2s2.2p3(4.0S).6p1--5.0P[3.0, 2.0, 1.0], 2.0, 105788.595
1s2.2s2.2p3(4.0S).6p1--5.0P[3.0, 2.0, 1.0], 1.0, 105788.431

1s2.2s2.2p3(4.0S).9p1--3.0P[2.0, 1.0, 0.0], 2.0, 105887.202541
1s2.2s2.2p3(4.0S).9p1--3.0P[2.0, 1.0, 0.0], 1.0, 105887.202541
1s2.2s2.2p3(4.0S).9p1--3.0P[2.0, 1.0, 0.0], 0.0, 105887.202541

1s2.2s2.2p3(4.0S).6p1--3.0P[2.0, 1.0, 0.0], 2.0, 105912.031
1s2.2s2.2p3(4.0S).6p1--3.0P[2.0, 1.0, 0.0], 1.0, 105912.031
1s2.2s2.2p3(4.0S).6p1--3.0P[2.0, 1.0, 0.0], 0.0, 105912.031

1s2.2s2.2p3(4.0S).10p1--5.0P[3.0, 2.0, 1.0], 3.0, 105998.107894
1s2.2s2.2p3(4.0S).10p1--5.0P[3.0, 2.0, 1.0], 2.0, 105998.107894
1s2.2s2.2p3(4.0S).10p1--5.0P[3.0, 2.0, 1.0], 1.0, 105998.107894

1s2.2s2.2p3(4.0S).10p1--3.0P[2.0, 1.0, 0.0], 2.0, 106125.612152
1s2.2s2.2p3(4.0S).10p1--3.0P[2.0, 1.0, 0.0], 1.0, 106125.612152
1s2.2s2.2p3(4.0S).10p1--3.0P[2.0, 1.0, 0.0], 0.0, 106125.612152

1s2.2s2.2p3(4.0S).11p1--5.0P[3.0, 2.0, 1.0], 3.0, 106207.904434
1s2.2s2.2p3(4.0S).11p1--5.0P[3.0, 2.0, 1.0], 2.0, 106207.904434
1s2.2s2.2p3(4.0S).11p1--5.0P[3.0, 2.0, 1.0], 1.0, 106207.904434

1s2.2s2.2p3(4.0S).11s1--5.0S[2.0], 2.0, 106288.989869

1s2.2s2.2p3(4.0S).11p1--3.0P[2.0, 1.0, 0.0], 2.0, 106325.001349
1s2.2s2.2p3(4.0S).11p1--3.0P[2.0, 1.0, 0.0], 1.0, 106325.001349
1s2.2s2.2p3(4.0S).11p1--3.0P[2.0, 1.0, 0.0], 0.0, 106325.001349

1s2.2s2.2p3(4.0S).12p1--5.0P[3.0, 2.0, 1.0], 3.0, 106388.93372
1s2.2s2.2p3(4.0S).12p1--5.0P[3.0, 2.0, 1.0], 2.0, 106388.93372
1s2.2s2.2p3(4.0S).12p1--5.0P[3.0, 2.0, 1.0], 1.0, 106388.93372

1s2.2s2.2p3(4.0S).12s1--5.0S[2.0], 2.0, 106471.540904

1s2.2s2.2p3(4.0S).12p1--3.0P[2.0, 1.0, 0.0], 2.0, 106497.318626
1s2.2s2.2p3(4.0S).12p1--3.0P[2.0, 1.0, 0.0], 1.0, 106497.318626
1s2.2s2.2p3(4.0S).12p1--3.0P[2.0, 1.0, 0.0], 0.0, 106497.318626

1s2.2s2.2p3(4.0S).7s1--5.0S[2.0], 2.0, 106545.354

1s2.2s2.2p3(4.0S).13p1--5.0P[3.0, 2.0, 1.0], 3.0, 106548.850908
1s2.2s2.2p3(4.0S).13p1--5.0P[3.0, 2.0, 1.0], 2.0, 106548.850908
1s2.2s2.2p3(4.0S).13p1--5.0P[3.0, 2.0, 1.0], 1.0, 106548.850908

1s2.2s2.2p3(4.0S).7s1--3.0S[1.0], 1.0, 106627.934

1s2.2s2.2p3(4.0S).13s1--5.0S[2.0], 2.0, 106631.221413

1s2.2s2.2p3(4.0S).13p1--3.0P[2.0, 1.0, 0.0], 2.0, 106649.747823
1s2.2s2.2p3(4.0S).13p1--3.0P[2.0, 1.0, 0.0], 1.0, 106649.747823
1s2.2s2.2p3(4.0S).13p1--3.0P[2.0, 1.0, 0.0], 0.0, 106649.747823

1s2.2s2.2p3(4.0S).5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 106671.68398755943
1s2.2s2.2p3(4.0S).5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 106671.68398755943
1s2.2s2.2p3(4.0S).5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 106671.68398755943
1s2.2s2.2p3(4.0S).5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 106671.68398755943
1s2.2s2.2p3(4.0S).5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 106671.68398755943

1s2.2s2.2p3(4.0S).5g1--3.0G[5.0, 4.0, 3.0], 5.0, 106671.68398755943
1s2.2s2.2p3(4.0S).5g1--3.0G[5.0, 4.0, 3.0], 4.0, 106671.68398755943
1s2.2s2.2p3(4.0S).5g1--3.0G[5.0, 4.0, 3.0], 3.0, 106671.68398755943

1s2.2s2.2p3(4.0S).14p1--5.0P[3.0, 2.0, 1.0], 3.0, 106692.540477
1s2.2s2.2p3(4.0S).14p1--5.0P[3.0, 2.0, 1.0], 2.0, 106692.540477
1s2.2s2.2p3(4.0S).14p1--5.0P[3.0, 2.0, 1.0], 1.0, 106692.540477

1s2.2s2.2p3(4.0S).6d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 4.0, 106751.447
1s2.2s2.2p3(4.0S).6d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 3.0, 106751.458
1s2.2s2.2p3(4.0S).6d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 2.0, 106751.474
1s2.2s2.2p3(4.0S).6d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 1.0, 106751.487
1s2.2s2.2p3(4.0S).6d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 0.0, 106751.494

1s2.2s2.2p3(4.0S).6d1--3.0D[3.0, 2.0, 1.0], 3.0, 106765.803
1s2.2s2.2p3(4.0S).6d1--3.0D[3.0, 2.0, 1.0], 2.0, 106765.803
1s2.2s2.2p3(4.0S).6d1--3.0D[3.0, 2.0, 1.0], 1.0, 106765.803

1s2.2s2.2p3(4.0S).14s1--5.0S[2.0], 2.0, 106773.612487

1s2.2s2.2p3(4.0S).6f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 5.0, 106785.16
1s2.2s2.2p3(4.0S).6f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 4.0, 106785.16
1s2.2s2.2p3(4.0S).6f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 3.0, 106785.16
1s2.2s2.2p3(4.0S).6f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 2.0, 106785.16
1s2.2s2.2p3(4.0S).6f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 1.0, 106785.16

1s2.2s2.2p3(4.0S).6f1--3.0F[4.0, 3.0, 2.0], 4.0, 106785.201
1s2.2s2.2p3(4.0S).6f1--3.0F[4.0, 3.0, 2.0], 3.0, 106785.201
1s2.2s2.2p3(4.0S).6f1--3.0F[4.0, 3.0, 2.0], 2.0, 106785.201

1s2.2s2.2p3(4.0S).14p1--3.0P[2.0, 1.0, 0.0], 2.0, 106786.876484
1s2.2s2.2p3(4.0S).14p1--3.0P[2.0, 1.0, 0.0], 1.0, 106786.876484
1s2.2s2.2p3(4.0S).14p1--3.0P[2.0, 1.0, 0.0], 0.0, 106786.876484

1s2.2s2.2p3(4.0S).6g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 106787.903
1s2.2s2.2p3(4.0S).6g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 106787.903
1s2.2s2.2p3(4.0S).6g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 106787.903
1s2.2s2.2p3(4.0S).6g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 106787.903
1s2.2s2.2p3(4.0S).6g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 106787.903

1s2.2s2.2p3(4.0S).6g1--3.0G[5.0, 4.0, 3.0], 5.0, 106787.903
1s2.2s2.2p3(4.0S).6g1--3.0G[5.0, 4.0, 3.0], 4.0, 106787.903
1s2.2s2.2p3(4.0S).6g1--3.0G[5.0, 4.0, 3.0], 3.0, 106787.903

1s2.2s2.2p3(4.0S).15p1--5.0P[3.0, 2.0, 1.0], 3.0, 106823.281523
1s2.2s2.2p3(4.0S).15p1--5.0P[3.0, 2.0, 1.0], 2.0, 106823.281523
1s2.2s2.2p3(4.0S).15p1--5.0P[3.0, 2.0, 1.0], 1.0, 106823.281523

1s2.2s2.2p3(4.0S).7g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 106897.83769859775
1s2.2s2.2p3(4.0S).7g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 106897.83769859775
1s2.2s2.2p3(4.0S).7g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 106897.83769859775
1s2.2s2.2p3(4.0S).7g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 106897.83769859775
1s2.2s2.2p3(4.0S).7g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 106897.83769859775

1s2.2s2.2p3(4.0S).7g1--3.0G[5.0, 4.0, 3.0], 5.0, 106897.83769859775
1s2.2s2.2p3(4.0S).7g1--3.0G[5.0, 4.0, 3.0], 4.0, 106897.83769859775
1s2.2s2.2p3(4.0S).7g1--3.0G[5.0, 4.0, 3.0], 3.0, 106897.83769859775

1s2.2s2.2p3(4.0S).15s1--5.0S[2.0], 2.0, 106902.413448

1s2.2s2.2p3(4.0S).15p1--3.0P[2.0, 1.0, 0.0], 2.0, 106911.786124
1s2.2s2.2p3(4.0S).15p1--3.0P[2.0, 1.0, 0.0], 1.0, 106911.786124
1s2.2s2.2p3(4.0S).15p1--3.0P[2.0, 1.0, 0.0], 0.0, 106911.786124

1s2.2s2.2p3(4.0S).16p1--5.0P[3.0, 2.0, 1.0], 3.0, 106943.373343
1s2.2s2.2p3(4.0S).16p1--5.0P[3.0, 2.0, 1.0], 2.0, 106943.373343
1s2.2s2.2p3(4.0S).16p1--5.0P[3.0, 2.0, 1.0], 1.0, 106943.373343

