
1s2.2s2.2p1.4d1--3.0P[2.0, 1.0, 0.0], 2.0, 210705.26
1s2.2s2.2p1.4d1--3.0P[2.0, 1.0, 0.0], 1.0, 210751.43
1s2.2s2.2p1.4d1--3.0P[2.0, 1.0, 0.0], 0.0, 210776.45

1s2.2s2.2p1.4d1--1.0F[3.0], 3.0, 211103.63

1s2.2s2.2p1.4d1--1.0P[1.0], 1.0, 211336.16

1s2.2s1.2p2(4.0P).3s1--3.0P[2.0, 1.0, 0.0], 2.0, 211827.67
1s2.2s1.2p2(4.0P).3s1--3.0P[2.0, 1.0, 0.0], 1.0, 211779.45
1s2.2s1.2p2(4.0P).3s1--3.0P[2.0, 1.0, 0.0], 0.0, 211749.35

1s2.2s2.2p1.5s1--3.0P[2.0, 1.0, 0.0], 2.0, 214384.13
1s2.2s2.2p1.5s1--3.0P[2.0, 1.0, 0.0], 1.0, 214257.69
1s2.2s2.2p1.5s1--3.0P[2.0, 1.0, 0.0], 0.0, 214211.96

1s2.2s2.2p1.5s1--1.0P[1.0], 1.0, 214829.18

1s2.2p4--3.0P[2.0, 1.0, 0.0], 2.0, 220290.0
1s2.2p4--3.0P[2.0, 1.0, 0.0], 1.0, 220300.0
1s2.2p4--3.0P[2.0, 1.0, 0.0], 0.0, 220310.0

1s2.2s2.2p1.5d1--1.0D[2.0], 2.0, 220495.36

1s2.2s2.2p1.5d1--3.0D[3.0, 2.0, 1.0], 3.0, 220716.0
1s2.2s2.2p1.5d1--3.0D[3.0, 2.0, 1.0], 2.0, 220674.0
1s2.2s2.2p1.5d1--3.0D[3.0, 2.0, 1.0], 1.0, 0

1s2.2s2.2p1.5d1--1.0F[3.0], 3.0, 221141.61

1s2.2s2.2p1.5d1--1.0P[1.0], 1.0, 221246.17

1s2.2s2.2p1.6s1--3.0P[2.0, 1.0, 0.0], 2.0, 222878.39
1s2.2s2.2p1.6s1--3.0P[2.0, 1.0, 0.0], 1.0, 222744.16
1s2.2s2.2p1.6s1--3.0P[2.0, 1.0, 0.0], 0.0, 0

1s2.2s1.2p2(4.0P).3p1--3.0S[1.0], 1.0, 223069.02

1s2.2s2.2p1.6s1--1.0P[1.0], 1.0, 223101.82

