T, Cp, H, S
5250, 20.7866313527, 122984.55083, asdf733.223675366
5300, 20.7866214954, 124023.88215, asdf733.34189584
5350, 20.7866119373, 125063.212984, asdf733.459006155
5400, 20.7866026666, 126102.543348, asdf733.575026968
5450, 20.7865936719, 127141.873256, asdf733.689978366
5500, 20.7865849422, 128181.20272, asdf733.803879884
5550, 20.7865764674, 129220.531754, asdf733.916750526
5600, 20.7865682375, 130259.860371, asdf734.028608788
5650, 20.7865602432, 131299.188582, asdf734.139472668
5700, 20.7865524757, 132338.516399, asdf734.249359692
5750, 20.7865449264, 133377.843833, asdf734.358286925
5800, 20.7865375872, 134417.170895, asdf734.466270989
5850, 20.7865304504, 135456.497595, asdf734.573328077
5900, 20.7865235087, 136495.823943, asdf734.67947397
5950, 20.7865167549, 137535.149949, asdf734.784724049
6000, 20.7865101824, 138574.475622, asdf734.889093308
6050, 20.7865037848, 139613.80097, asdf734.992596368
6100, 20.7864975558, 140653.126003, asdf735.09524749
6150, 20.7864914897, 141692.450728, asdf735.197060583
6200, 20.7864855808, 142731.775155, asdf735.298049222
6250, 20.7864798236, 143771.099289, asdf735.398226651
6300, 20.7864742131, 144810.423139, asdf735.4976058
6350, 20.7864687444, 145849.746713, asdf735.596199291
6400, 20.7864634126, 146889.070016, asdf735.69401945
6450, 20.7864582132, 147928.393056, asdf735.791078313
6500, 20.786453142, 148967.71584, asdf735.88738764
6550, 20.7864481947, 150007.038372, asdf735.982958919
6600, 20.7864433673, 151046.360661, asdf736.077803376
6650, 20.786438656, 152085.682711, asdf736.171931983
6700, 20.786434057, 153125.004528, asdf736.265355465
6750, 20.7864295669, 154164.326119, asdf736.358084308
6800, 20.7864251822, 155203.647487, asdf736.450128767
6850, 20.7864208997, 156242.968639, asdf736.54149887
6900, 20.7864167162, 157282.289579, asdf736.632204426
6950, 20.7864126287, 158321.610312, asdf736.722255033
7000, 20.7864086342, 159360.930843, asdf736.811660081
7050, 20.7864047301, 160400.251177, asdf736.900428761
7100, 20.7864009134, 161439.571317, asdf736.988570068
7150, 20.7863971818, 162478.891269, asdf737.076092808
7200, 20.7863935326, 163518.211037, asdf737.163005603
7250, 20.7863899634, 164557.530624, asdf737.249316895
7300, 20.786386472, 165596.850035, asdf737.335034953
7350, 20.7863830561, 166636.169272, asdf737.420167877
7400, 20.7863797134, 167675.488341, asdf737.504723602
7450, 20.7863764421, 168714.807245, asdf737.588709901
7500, 20.7863732399, 169754.125987, asdf737.672134393
7550, 20.7863701051, 170793.44457, asdf737.755004544
7600, 20.7863670357, 171832.762998, asdf737.837327673
