T, Cp, H, S
2150, 20.8297390946, 78326.7916238, 340.1696929460561
2200, 20.8264269303, 79368.1942067, 341.1942793495808
2250, 20.8234651881, 80409.4401522, 342.1880474871763
2300, 20.8208074973, 81450.545789, 343.15268578272696
2350, 20.8184147395, 82491.5253142, 344.08975278807105
2400, 20.8162537536, 83532.3911231, 345.0006898296925
2450, 20.8142962993, 84573.1540795, 345.8868321813775
2500, 20.812518221, 85613.8237407, 346.7494189613245
2550, 20.8108987716, 86654.4085439, 347.58960192205643
2600, 20.8094200602, 87694.9159622, 348.40845327642876
2650, 20.8080666011, 88735.3526363, 349.2069726820883
2700, 20.8068249419, 89775.7244847, 349.98609348920274
2750, 20.8056833564, 90816.0367976, 350.74668834152465
2800, 20.8046315895, 91856.2943166, 351.48957420840185
2850, 20.8036606446, 92896.501303, 352.21551691481716
2900, 20.8027626049, 93936.6615956, 352.9252352275842
2950, 20.8019304845, 94976.7786617, 353.6194045482001
3000, 20.8011581011, 96016.8556393, 354.2986602563623
3050, 20.8004399696, 97056.8953756, 354.9636007425588
3100, 20.7997712111, 98096.9004589, 355.61479016336153
3150, 20.7991474747, 99136.8732468, 356.25276094892945
3200, 20.798564872, 100176.815892, 356.87801608865897
3250, 20.7980199196, 101216.730361, 357.49103121784003
3300, 20.7975094901, 102256.618459, 358.092256525502
3350, 20.7970307701, 103296.481839, 358.6821185013089
3400, 20.7965812235, 104336.322022, 359.2610215373304
3450, 20.7961585593, 105376.140409, 359.82934939875616
3500, 20.7957607047, 106415.938291, 360.3874665760599
3550, 20.7953857802, 107455.716862, 360.9357195297693
3600, 20.7950320792, 108495.477223, 361.47443783779994
3650, 20.7946980491, 109535.220397, 362.0039352542599
3700, 20.794382275, 110574.947332, 362.52451068770966
3750, 20.7940834658, 111614.658907, 363.0364491060325
3800, 20.7938004413, 112654.355942, 363.540022374358
3850, 20.7935321212, 113694.039197, 364.0354900318265
3900, 20.793277515, 114733.709382, 364.5231000124171
3950, 20.7930357135, 115773.367161, 365.0030893145551
4000, 20.7928058809, 116813.013153, 365.4756846237567
4050, 20.7925872479, 117852.647936, 365.94110289216474
4100, 20.7923791054, 118892.272053, 366.39955187847653
4150, 20.7921807991, 119931.886011, 366.8512306514319
4200, 20.7919917244, 120971.490286, 367.29633005973824
4250, 20.7918113223, 122011.085328, 367.7350331710652
4300, 20.7916390748, 123050.671555, 368.16751568248577
4350, 20.791474502, 124090.249363, 368.59394630454636
4400, 20.7913171582, 125129.819125, 369.01448712095277
4450, 20.7911666297, 126169.381192, 369.42929392568635
4500, 20.7910225315, 127208.935895, 369.83851653921414
4550, 20.7908845053, 128248.483547, 370.2422991053149
4600, 20.7907522172, 129288.024441, 370.6407803699126
4650, 20.7906253558, 130327.558859, 371.0340939432013
4700, 20.7905036304, 131367.087063, 371.4223685462381
4750, 20.7903867693, 132406.609303, 371.8057282430807
4800, 20.7902745186, 133446.125816, 372.1842926594696
4850, 20.7901666405, 134485.636828, 372.5581771889704
4900, 20.7900629122, 135525.14255, 372.9274931874183
4950, 20.789963125, 136564.643185, 373.29234815645106
5000, 20.7898670829, 137604.138925, 373.6528459168452
5050, 20.7897746019, 138643.629952, 374.0090867723232
5100, 20.7896855093, 139683.116441, 374.36116766445065
5150, 20.7895996423, 140722.598557, 374.7091823191874
5200, 20.7895168481, 141762.076457, 375.0532213856309
5250, 20.7894369826, 142801.55029, 375.39337256743056
5300, 20.7893599099, 143841.020201, 375.7297207473386
5350, 20.7892855021, 144880.486326, 376.06234810531316
5400, 20.7892136383, 145919.948794, 376.39133423056956
5450, 20.7891442044, 146959.40773, 376.71675622794356
5500, 20.7890770928, 147998.863253, 377.03868881890855
5550, 20.7890122013, 149038.315476, 377.35720443756014
5600, 20.7889494337, 150077.764509, 377.6723733218673
5650, 20.7888886988, 151117.210454, 377.98426360046227
5700, 20.7888299099, 152156.653411, 378.29294137522766
5750, 20.7887729854, 153196.093476, 378.59847079992056
5800, 20.7887178475, 154235.530739, 378.9009141550572
5850, 20.7886644225, 155274.965289, 379.20033191926814
5900, 20.7886126405, 156314.397209, 379.4967828373224
5950, 20.7885624351, 157353.826579, 379.7903239849984
6000, 20.7885137432, 158393.253478, 380.08101083098103
6050, 20.7884665049, 159432.677978, 380.3688972959405
6100, 20.7884206629, 160472.100151, 380.6540358089468
6150, 20.7883761632, 161511.520067, 380.9364773613612
6200, 20.7883329539, 162550.937789, 381.2162715583373
6250, 20.7882909858, 163590.353383, 381.49346666805735
6300, 20.788250212, 164629.766908, 381.76810966882124
6350, 20.7882105878, 165669.178423, 382.0402462941008
6400, 20.7881720706, 166708.587985, 382.30992107565794
6450, 20.7881346195, 167747.995648, 382.57717738483035
6500, 20.7880981957, 168787.401464, 382.8420574720748
6550, 20.7880627622, 169826.805484, 383.1046025048539
6600, 20.7880282835, 170866.207756, 383.36485260394977
6650, 20.7879947256, 171905.608328, 383.6228468782803
6700, 20.7879620562, 172945.007244, 383.87862345829376
6750, 20.7879302444, 173984.404548, 384.1322195280065
6800, 20.7878992603, 175023.800282, 384.38367135575146
6850, 20.7878690756, 176063.194487, 384.63301432369957
6900, 20.7878396632, 177102.587202, 384.8802829562086
6950, 20.7878109971, 178141.978466, 385.12551094705816
7000, 20.7877830521, 179181.368314, 385.3687311856201
7050, 20.7877558044, 180220.756782, 385.60997578201477
7100, 20.7877292312, 181260.143906, 385.8492760912994
7150, 20.7877033102, 182299.529716, 386.08666273673253
7200, 20.7876780205, 183338.914247, 386.3221656321557
7250, 20.7876533418, 184378.297529, 386.55581400353344
7300, 20.7876292545, 185417.679591, 386.7876364096879
7350, 20.78760574, 186457.060464, 387.0176607622632
7400, 20.7875827803, 187496.440174, 387.24591434495466
7450, 20.7875603581, 188535.818751, 387.4724238320367
7500, 20.7875384568, 189575.196219, 387.69721530621325
7550, 20.7875170604, 190614.572605, 387.9203142758259
7600, 20.7874961537, 191653.947933, 388.1417456914494
7650, 20.7874757217, 192693.322228, 388.3615339618889
7700, 20.7874557502, 193732.695513, 388.5797029696185
7750, 20.7874362256, 194772.067811, 388.7962760856745
7800, 20.7874171346, 195811.439143, 389.0112761840295
7850, 20.7873984645, 196850.809531, 389.2247256554703
7900, 20.7873802031, 197890.178996, 389.43664642099566
7950, 20.7873623386, 198929.547558, 389.6470599447585
8000, 20.7873448594, 199968.915236, 389.8559872465676
