T, Cp, H, S
2000, 20.9594297147, 53485.3045421, 308.59045650479896
2050, 20.9486603696, 54533.0025577, 309.45435841963916
2100, 20.9388481623, 55580.1865216, 310.2941175857602
2150, 20.9298844554, 56626.9015074, 311.1110176214484
2200, 20.9216754274, 57673.1875382, 311.9062441232638
2250, 20.914139735, 58719.0802665, 312.68089426464934
2300, 20.9072065918, 59764.6115492, 313.43598526105507
2350, 20.9008141805, 60809.8099337, 314.1724618568887
2400, 20.8949083346, 61854.701073, 314.8912029655551
2450, 20.8894414394, 62899.3080799, 315.5930275739282
2500, 20.8843715115, 63943.6518304, 316.2787000060303
2550, 20.8796614237, 64987.751226, 316.9489346268644
2600, 20.8752782525, 66031.6234194, 317.60440005575555
2650, 20.871192723, 67075.2840102, 318.24572294881324
2700, 20.8673787383, 68118.7472159, 318.87349140190435
2750, 20.8638129774, 69162.0260198, 319.4882580185677
2800, 20.8604745501, 70205.1323013, 320.09054268139005
2850, 20.8573447021, 71248.07695, 320.68083506033014
2900, 20.8544065593, 72290.8699657, 321.25959688717586
2950, 20.8516449076, 73333.5205467, 321.82726402163524
3000, 20.8490460025, 74376.0371682, 322.38424833139743
3050, 20.8465974022, 75418.4276514, 322.9309394057698
3100, 20.8442878239, 76460.6992249, 323.4677061201467
3150, 20.8421070168, 77502.8585794, 323.9948980665227
3200, 20.8400456517, 78544.9119168, 324.51284686349464
3250, 20.838095224, 79586.8649931, 325.02186735765883
3300, 20.8362479682, 80628.7231583, 325.5222587269645
3350, 20.8344967825, 81670.4913908, 326.01430549541425
3400, 20.8328351621, 82712.1743291, 326.4982784674744
3450, 20.8312571406, 83753.7763001, 326.97443558965546
3500, 20.8297572374, 84795.3013448, 327.44302274593264
3550, 20.8283304114, 85836.7532415, 327.9042744929767
3600, 20.8269720195, 86878.1355263, 328.3584147405496
3650, 20.8256777795, 87919.4515125, 328.8056573818741
3700, 20.8244437375, 88960.7043074, 329.2462068783051
3750, 20.8232662379, 90001.8968285, 329.68025880219983
3800, 20.8221418972, 91043.0318171, 330.1080003415054
3850, 20.82106758, 92084.1118518, 330.5296107692417
3900, 20.8200403775, 93125.1393602, 330.9452618807568
3950, 20.8190575885, 94166.1166297, 331.3551184013597
4000, 20.8181167017, 95207.0458173, 331.7593383666964
4050, 20.81721538, 96247.9289592, 332.15807347801626
4100, 20.8163514463, 97288.7679784, 332.55146943428394
4150, 20.8155228706, 98329.564693, 332.93966624291545
4200, 20.8147277584, 99370.3208231, 333.3227985107614
4250, 20.8139643396, 100411.037997, 333.7009957168193
4300, 20.8132309593, 101451.717758, 334.07438246802815
4350, 20.8125260688, 102492.361568, 334.44307873938374
4400, 20.8118482176, 103532.970815, 334.8072000995102
4450, 20.8111960459, 104573.546817, 335.1668579227271
4500, 20.810568278, 105614.090826, 335.52215958856726
4550, 20.8099637162, 106654.604032, 335.8732086696225
4600, 20.8093812352, 107695.087566, 336.22010510852397
4650, 20.8088197767, 108735.542506, 336.5629453848
4700, 20.8082783449, 109775.969877, 336.90182267229534
4750, 20.8077560021, 110816.370658, 337.2368269877832
4800, 20.8072518646, 111856.745781, 337.5680453313531
4850, 20.8067650992, 112897.096134, 337.89556181911115
4900, 20.8062949195, 113937.422567, 338.2194578086934
4950, 20.8058405832, 114977.72589, 338.5398120180495
5000, 20.8054013886, 116018.006878, 338.8567006379266
5050, 20.8049766726, 117058.266271, 339.1701974384462
5100, 20.8045658078, 118098.504776, 339.48037387014347
5150, 20.8041682002, 119138.723072, 339.7872991598071
5200, 20.8037832875, 120178.921808, 340.09104040143956
5250, 20.8034105365, 121219.101604, 340.39166264262843
5300, 20.8030494418, 122259.263056, 340.6892289666057
5350, 20.8026995239, 123299.406734, 340.9838005702491
5400, 20.8023603275, 124339.533187, 341.27543683826224
5450, 20.8020314204, 125379.642938, 341.5641954137569
5500, 20.8017123918, 126419.736493, 341.85013226544356
5550, 20.8014028511, 127459.814336, 342.1333017516224
5600, 20.8011024268, 128499.87693, 342.41375668115717
5650, 20.8008107654, 129539.924724, 342.691548371599
5700, 20.8005275302, 130579.958147, 342.96672670461885
5750, 20.8002524007, 131619.977612, 343.2393401788957
5800, 20.7999850713, 132659.983517, 343.50943596060034
5850, 20.7997252507, 133699.976245, 343.7770599316024
5900, 20.7994726609, 134739.956163, 344.0422567355239
5950, 20.7992270368, 135779.923627, 344.30506982175297
6000, 20.7989881252, 136819.878979, 344.5655414875251
6050, 20.7987556843, 137859.822547, 344.82371291817157
6100, 20.7985294831, 138899.754651, 345.0796242256318
6150, 20.7983093008, 139939.675596, 345.3333144853164
6200, 20.7980949262, 140979.585678, 345.5848217714054
6250, 20.7978861573, 142019.485182, 345.83418319066215
6300, 20.7976828008, 143059.374384, 346.0814349148336
6350, 20.7974846716, 144099.253549, 346.326612211711
6400, 20.7972915924, 145139.122935, 346.569749474913
6450, 20.7971033935, 146178.98279, 346.810880252457
6500, 20.7969199121, 147218.833353, 347.0500372741746
6550, 20.7967409921, 148258.674857, 347.28725247802845
6600, 20.796566484, 149298.507526, 347.52255703538157
6650, 20.7963962441, 150338.331576, 347.75598137526913
6700, 20.7962301347, 151378.147219, 347.9875552077211
6750, 20.7960680235, 152417.954657, 348.21730754617556
6800, 20.7959097834, 153457.754086, 348.4452667290298
6850, 20.7957552924, 154497.545697, 348.67146044036554
6900, 20.7956044332, 155537.329676, 348.89591572988695
6950, 20.795457093, 156577.106199, 349.11865903210594
7000, 20.7953131636, 157616.875442, 349.3397161848104
7050, 20.7951725405, 158656.637571, 349.55911244684563
7100, 20.7950351235, 159696.392749, 349.77687251523963
7150, 20.7949008161, 160736.141135, 349.99302054170164
