T, Cp, H, S
5800, 22.2759652755, 123915.629846, 305.84287203497047
5900, 22.3198709666, 126145.431352, 306.3503560586942
6000, 22.3625967628, 128379.564702, 306.84957806606997
6100, 22.4041135463, 130617.910398, 307.340814176795
6200, 22.444398288, 132860.346337, 307.82432657769016
6300, 22.483433563, 135106.748401, 308.30036443771587
6400, 22.5212070851, 137356.990986, 308.76916475052195
6500, 22.5577112622, 139610.947501, 309.2309531111985
6600, 22.5929427737, 141868.490812, 309.6859444331962
6700, 22.6269021699, 144129.493648, 310.1343436107649
6800, 22.6595934959, 146393.828973, 310.5763461317189
6900, 22.6910239373, 148661.370315, 311.01213864484816
7000, 22.7212034894, 150931.992062, 311.44189948587444
7100, 22.7501446488, 153205.569731, 311.86579916546526
7200, 22.7778621271, 155481.9802, 312.284000822482
7300, 22.8043725842, 157761.10192, 312.69666064533857
7400, 22.8296943837, 160042.815093, 313.1039282640737
7500, 22.8538473657, 162327.001835, 313.50594711550275
7600, 22.8768526393, 164613.546308, 313.9028547835935
7700, 22.898732391, 166902.334844, 314.29478331702256
7800, 22.9195097103, 169193.256038, 314.68185952568894
7900, 22.9392084303, 171486.200832, 315.06420525780766
8000, 22.9578529823, 173781.062585, 315.441937659063
8100, 22.975468264, 176077.737119, 315.8151694151744
8200, 22.9920795204, 178376.12277, 316.18400897911266
8300, 23.0077122352, 180676.120405, 316.54856078409625
8400, 23.0223920343, 182977.633453, 316.90892544340977
8500, 23.0361445983, 185280.567904, 317.26519993799343
8600, 23.0489955843, 187584.83232, 317.6174777926786
8700, 23.0609705563, 189890.337821, 317.96584924187397
8800, 23.0720949234, 192196.998078, 318.3104013854398
8900, 23.0823938847, 194504.729292, 318.6512183354308
9000, 23.0918923816, 196813.450173, 318.98838135433607
9100, 23.1006150549, 199123.081908, 319.32196898539235
9200, 23.1085862088, 201433.548134, 319.6520571755025
9300, 23.1158297785, 203744.774898, 319.9787193912551
9400, 23.1223693034, 206056.690622, 320.3020267285041
9500, 23.1282279039, 208369.226061, 320.622048015917
9600, 23.1334282622, 210682.314262, 320.93884991289474
9700, 23.1379926064, 212995.890514, 321.2524970022169
9800, 23.141942698, 215309.892308, 321.5630518777513
9900, 23.1452998215, 217624.259288, 321.87057522753656
10000, 23.1480847774, 219938.933201, 322.1751259125256
10100, 23.1503178768, 222253.857849, 322.47676104125793
10200, 23.1520189388, 224568.979042, 322.77553604071403
10300, 23.1532072885, 226884.244547, 323.07150472357574
10400, 23.1539017581, 229199.604038, 323.3647193521169
10500, 23.1541206885, 231515.009048, 323.6552306989171
10600, 23.1538819329, 233830.41292, 323.9430881045915
10700, 23.1532028607, 236145.770758, 324.22833953270936
10800, 23.1521003633, 238461.039378, 324.5110316220643
10900, 23.1505908607, 240776.177264, 324.7912097364449
11000, 23.1486903087, 243091.144516, 325.0689180120562
11100, 23.1464142068, 245405.902808, 325.3441994027155
11200, 23.1437776071, 247720.415341, 325.6170957229531
11300, 23.140795124, 250034.6468, 325.887647689131
11400, 23.1374809434, 252348.56331, 326.1558949586897
11500, 23.1338488339, 254662.132392, 326.4218761676253
11600, 23.1299121572, 256975.322925, 326.6856289662933
11700, 23.1256838799, 259288.105104, 326.9471900536228
11800, 23.1211765846, 261600.450401, 327.20659520983725
11900, 23.1164024829, 263912.331528, 327.463879327747
12000, 23.1113734273, 266223.722399, 327.71907644269936
12100, 23.1061009243, 268534.598099, 327.9722197612506
12200, 23.1005961477, 270844.934842, 328.2233416886204
12300, 23.0948699522, 273154.709948, 328.47247385500714
12400, 23.0889328875, 275463.901804, 328.71964714079934
12500, 23.0827952127, 277772.489839, 328.9648917007603
12600, 23.0764669113, 280080.454492, 329.20823698722046
12700, 23.0699577061, 282387.777191, 329.44971177233646
12800, 23.0632770755, 284694.44032, 329.6893441694583
12900, 23.0564342695, 287000.4272, 329.92716165365107
13000, 23.0494383264, 289305.722069, 330.1631910814049
