config, term, J, epsion
2s2.2p.(2P<3/2>).5g, 2[7/2, 3, 10.72334733
2s2.2p.(2P<3/2>).5g, 2[7/2, 4, 10.72334738

2s2.2p.5d, 1P, 1, 10.7235719

2s2.2p.(2P<3/2>).5g, 2[11/, 5, 10.72399464
2s2.2p.(2P<3/2>).5g, 2[11/, 6, 10.72399507

2s2.2p.(2P<3/2>).5g, 2[5/2, 2, 10.72443711
2s2.2p.(2P<3/2>).5g, 2[5/2, 3, 10.72443720

2s2.2p.(2P<3/2>).5f, 2[3/2, 1, 10.7244499
2s2.2p.(2P<3/2>).5f, 2[3/2, 2, 10.7244785

2s2.2p.5d, 3P, 2, 10.7254655
2s2.2p.5d, 3P, 1, 10.7270515
2s2.2p.5d, 3P, 0, 10.727508

2s2.2p.6p, 1P, 1, 10.775825

2s2.2p.6p, 3D, 1, 10.781192
2s2.2p.6p, 3D, 2, 10.782347
2s2.2p.6p, 3D, 3, 10.786912

2s2.2p.6p, 3P, 0, 10.796222
2s2.2p.6p, 3P, 1, 10.7994122
2s2.2p.6p, 3P, 2, 10.800665

2s2.2p.6p, 1D, 2, 10.8136878

2s2.2p.6p, 1S, 0, 10.828910

2s2.2p.6d, 1D, 2, 10.865203

2s2.2p.6d, 3F, 2, 10.874433

2s2.2p.7s, 3P, 0, 10.874826

2s2.2p.6d, 3F, 3, 10.875078

2s2.2p.7s, 3P, 1, 10.8757181

2s2.2p.6d, 3D, 1, 10.877794

2s2.2p.7s, 3P, 2, 10.880080

2s2.2p.6d, 3F, 4, 10.880931

2s2.2p.(2P<1/2>).6f, 2[5/2, 3, 10.881120
2s2.2p.(2P<1/2>).6f, 2[5/2, 2, 10.881130

2s2.2p.(2P<1/2>).6f, 2[7/2, 4, 10.881242
2s2.2p.(2P<1/2>).6f, 2[7/2, 3, 10.881251

2s2.2p.(2P<1/2>).6g, 2[7/2, 4, 10.8820880
2s2.2p.(2P<1/2>).6g, 2[7/2, 3, 10.8820884

2s2.2p.(2P<1/2>).6g, 2[9/2, 5, 10.88212882
2s2.2p.(2P<1/2>).6g, 2[9/2, 4, 10.88212882

2s2.2p.(2P<1/2>).6h, 2[9/2, 4, 10.8822614
2s2.2p.(2P<1/2>).6h, 2[9/2, 5, 10.8822615

2s2.2p.(2P<1/2>).6h, 2[11/, 5, 10.8822624
2s2.2p.(2P<1/2>).6h, 2[11/, 6, 10.8822624

2s2.2p.6d, 3D, 2, 10.882479
2s2.2p.6d, 3D, 3, 10.882983

2s2.2p.7s, 1P, 1, 10.884529

2s2.2p.6d, 1F, 3, 10.886674

2s2.2p.(2P<3/2>).6f, 2[7/2, 3, 10.888287
2s2.2p.(2P<3/2>).6f, 2[7/2, 4, 10.888298

2s2.2p.(2P<3/2>).6f, 2[5/2, 3, 10.889159
2s2.2p.(2P<3/2>).6f, 2[5/2, 2, 10.889165

2s2.2p.(2P<3/2>).6g, 2[9/2, 4, 10.8894649
2s2.2p.(2P<3/2>).6g, 2[9/2, 5, 10.8894663

2s2.2p.6d, 1P, 1, 10.889554

2s2.2p.(2P<3/2>).6f, 2[9/2, 5, 10.88969
2s2.2p.(2P<3/2>).6f, 2[9/2, 4, 10.88972

2s2.2p.(2P<3/2>).6g, 2[7/2, 3, 10.8898223
2s2.2p.(2P<3/2>).6g, 2[7/2, 4, 10.8898232

2s2.2p.6d, 3P, 2, 10.889850

2s2.2p.(2P<3/2>).6h, 2[11/, 5, 10.8899153
2s2.2p.(2P<3/2>).6h, 2[11/, 6, 10.8899155

2s2.2p.(2P<3/2>).6h, 2[9/2, 5, 10.8900233
2s2.2p.(2P<3/2>).6h, 2[9/2, 4, 10.8900233

2s2.2p.(2P<3/2>).6g, 2[11/, 6, 10.89023122
2s2.2p.(2P<3/2>).6g, 2[11/, 5, 10.8902316

2s2.2p.(2P<3/2>).6h, 2[13/, 6, 10.8902822
2s2.2p.(2P<3/2>).6h, 2[13/, 7, 10.8902825

