config, term, J, epsion
2s2.2p2.(1D).3p, 2F, 2.5, 110710.739
2s2.2p2.(1D).3p, 2F, 3.5, 110715.152

2s2.2p2.(3P).5p, 2S, 0.5, 111060.905

2s2.2p2.(3P).5p, 4D, 0.5, 111143.567
2s2.2p2.(3P).5p, 4D, 1.5, 111165.158

2s2.2p2.(3P).5p, 2P, 0.5, 111198.848

2s2.2p2.(3P).5p, 4D, 2.5, 111204.016

2s2.2p2.(3P).5p, 2P, 1.5, 111213.271

2s2.2p2.(3P).5p, 4D, 3.5, 111260.873

2s2.2p2.(3P).5p, 4P, 0.5, 111271.596
2s2.2p2.(3P).5p, 4P, 1.5, 111285.644
2s2.2p2.(3P).5p, 4P, 2.5, 111326.798

2s2.2p2.(3P).5p, 4S, 1.5, 111501.368

2s2.2p2.(3P).5p, 2D, 1.5, 111853.061
2s2.2p2.(3P).5p, 2D, 2.5, 111905.609

2s2.2p2.(1D).3p, 2P, 0.5, 112294.007
2s2.2p2.(1D).3p, 2P, 1.5, 112319.805

2s2.2p2.(3P).6s, 4P, 0.5, 112565.470
2s2.2p2.(3P).6s, 4P, 1.5, 112609.612
2s2.2p2.(3P).6s, 4P, 2.5, 112681.389

2s2.2p2.(3P).6s, 2P, 0.5, 112691.96
2s2.2p2.(3P).6s, 2P, 1.5, 112736.961

2s2.2p2.(3P).5d, 4F, 1.5, 112759.966
2s2.2p2.(3P).5d, 4F, 2.5, 112760.325
2s2.2p2.(3P).5d, 4F, 3.5, 112797.725

2s2.2p2.(3P).5d, 2P, 1.5, 112801.031
2s2.2p2.(3P).5d, 2P, 0.5, 112807.567

2s2.2p2.(3P).5d, 2F, 2.5, 112812.518

2s2.2p2.(3P).5d, 4P, 2.5, 112824.459

2s2.2p2.(3P<0>)., 2[3], 2.5, 112826.94
2s2.2p2.(3P<0>)., 2[3], 3.5, 112826.94

2s2.2p2.(3P).5d, 4P, 1.5, 112838.02

2s2.2p2.(3P).5d, 4F, 4.5, 112861.348

2s2.2p2.(3P<1>)., 2[3], 3.5, 112868.73

2s2.2p2.(3P).5d, 4P, 0.5, 112870.27

2s2.2p2.(3P<1>)., 2[4], 4.5, 112877.91
2s2.2p2.(3P<1>)., 2[4], 3.5, 112877.92

2s2.2p2.(3P<1>)., 2[2], 1.5, 112880.1
2s2.2p2.(3P<1>)., 2[2], 2.5, 112880.53

2s2.2p2.(3P).5d, 2F, 3.5, 112891.238

2s2.2p2.(3P).5d, 4D, 0.5, 112904.5
2s2.2p2.(3P).5d, 4D, 1.5, 112909.076
2s2.2p2.(3P).5d, 4D, 2.5, 112910.630
2s2.2p2.(3P).5d, 4D, 3.5, 112911.079

2s2.2p2.(3P).5d, 2D, 1.5, 112927.055
2s2.2p2.(3P).5d, 2D, 2.5, 112945.809

2s2.2p2.(3P<2>)., 2[1], 0.5, 112946.62
2s2.2p2.(3P<2>)., 2[1], 1.5, 112946.62

2s2.2p2.(3P<2>)., 2[5], 5.5, 112953.43
2s2.2p2.(3P<2>)., 2[5], 4.5, 112953.53

2s2.2p2.(3P<2>)., 2[2], 1.5, 112957.77
2s2.2p2.(3P<2>)., 2[2], 2.5, 112957.77

2s2.2p2.(3P<2>)., 2[3], 3.5, 112965.36

2s2.2p2.(3P<2>)., 2[4], 4.5, 112967.09
2s2.2p2.(3P<2>)., 2[4], 3.5, 112967.20

2s2.2p2.(3P).6p, 4D, 2.5, 113307.5

2s2.2p2.(3P).6p, 4P, 1.5, 113349.8

2s2.2p2.(3P).6p, 4D, 3.5, 113370.5

2s2.2p2.(3P).6p, 4P, 2.5, 113402.4

2s2.2p2.(3P).7s, 4P, 0.5, 114026.654
2s2.2p2.(3P).7s, 4P, 1.5, 114071.153

2s2.2p2.(3P).7s, 2P, 0.5, 114112.1

2s2.2p2.(3P).6d, 4F, 1.5, 114124.2
2s2.2p2.(3P).6d, 4F, 2.5, 114132.7

2s2.2p2.(3P).7s, 4P, 2.5, 114146.525

2s2.2p2.(3P).6d, 2P, 1.5, 114170.4

2s2.2p2.(3P<0>)., 2[3], 2.5, 114171.98
2s2.2p2.(3P<0>)., 2[3], 3.5, 114171.98

2s2.2p2.(3P).6d, 4F, 3.5, 114175.736

2s2.2p2.(3P).6d, 2F, 2.5, 114182.7

2s2.2p2.(3P).6d, 2P, 0.5, 114183.5

2s2.2p2.(3P).6d, 4P, 2.5, 114191.6
2s2.2p2.(3P).6d, 4P, 1.5, 114200.0

2s2.2p2.(3P).7s, 2P, 1.5, 114206.1

2s2.2p2.(3P<1>)., 2[3], 2.5, 114216.70
2s2.2p2.(3P<1>)., 2[3], 3.5, 114216.70

2s2.2p2.(3P<1>)., 2[4], 3.5, 114222.08
2s2.2p2.(3P<1>)., 2[4], 4.5, 114222.08

2s2.2p2.(3P<1>)., 2[2], 1.5, 114223.88
2s2.2p2.(3P<1>)., 2[2], 2.5, 114223.88

