---------------------------------------------------------------------------------------------------------
Configuration      | Term   |     J |                Level (cm-1) |       Uncertainty (cm-1) | Reference
                   |        |       |                             |                          |           
1s.6h              | 1H*    |     5 |         [195262.795750108]  |            0.000000002   |     L8948
                   |        |       |                             |                          |           
1s.6p              | 1P*    |     1 |         [195274.9084660]    |            0.0000023     |     L8948
                   |        |       |                             |                          |           
1s.7s              | 3S     |     1 |         [195868.236975]     |            0.000003      |     L8948
                   |        |       |                             |                          |           
1s.7s              | 1S     |     0 |         [195978.895183]     |            0.000003      |     L8948
                   |        |       |                             |                          |           
1s.7p              | 3P*    |     2 |         [196027.3150267]    |            0.0000013     |     L8948
                   |        |     1 |         [196027.3166408]    |            0.0000013     |     L8948
                   |        |     0 |         [196027.3364649]    |            0.0000013     |     L8948
                   |        |       |                             |                          |           
1s.7d              | 3D     |     3 |         [196069.67280898]   |            0.00000007    |     L8948
                   |        |     2 |         [196069.67304998]   |            0.00000007    |     L8948
                   |        |     1 |         [196069.67648966]   |            0.00000007    |     L8948
                   |        |       |                             |                          |           
1s.7d              | 1D     |     2 |         [196070.12838342]   |            0.00000007    |     L8948
                   |        |       |                             |                          |           
1s.7f              | 3F*    |     3 |         [196071.176177974]  |            0.000000013   |     L8948
                   |        |     4 |         [196071.177123492]  |            0.000000013   |     L8948
                   |        |     2 |         [196071.178729980]  |            0.000000013   |     L8948
                   |        |       |                             |                          |           
1s.7f              | 1F*    |     3 |         [196071.181064965]  |            0.000000013   |     L8948
                   |        |       |                             |                          |           
1s.7g              | 3G     |     4 |         [196071.368738129]  |            0.000000003   |     L8948
                   |        |     5 |         [196071.369746173]  |            0.000000003   |     L8948
                   |        |     3 |         [196071.370663981]  |            0.000000003   |     L8948
                   |        |       |                             |                          |           
1s.7g              | 1G     |     4 |         [196071.371283543]  |            0.000000003   |     L8948
                   |        |       |                             |                          |           
1s.7h              | 3H*    |     5 |         [196071.414512625]  |            0.000000001   |     L8948
                   |        |     6 |         [196071.415170183]  |            0.000000001   |     L8948
                   |        |     4 |         [196071.415767010]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.7h              | 1H*    |     5 |         [196071.416212368]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.7i              | 3I     |     6 |         [196071.428891148]  |            0.000000001   |     L8948
                   |        |     7 |         [196071.429352355]  |            0.000000001   |     L8948
                   |        |     5 |         [196071.429772608]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.7i              | 1I     |     6 |         [196071.430106489]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.7p              | 1P*    |     1 |         [196079.0875698]    |            0.0000013     |     L8948
                   |        |       |                             |                          |           
1s.8s              | 3S     |     1 |         [196461.3618105]    |            0.0000023     |     L8948
                   |        |       |                             |                          |           
1s.8s              | 1S     |     0 |         [196534.5641527]    |            0.0000023     |     L8948
                   |        |       |                             |                          |           
1s.8p              | 3P*    |     2 |         [196566.7118220]    |            0.0000010     |     L8948
                   |        |     1 |         [196566.7128971]    |            0.0000010     |     L8948
                   |        |     0 |         [196566.7261046]    |            0.0000010     |     L8948
                   |        |       |                             |                          |           
1s.8d              | 3D     |     3 |         [196595.06220247]   |            0.00000007    |     L8948
                   |        |     2 |         [196595.06236505]   |            0.00000007    |     L8948
                   |        |     1 |         [196595.06466814]   |            0.00000007    |     L8948
                   |        |       |                             |                          |           
1s.8d              | 1D     |     2 |         [196595.37405237]   |            0.00000003    |     L8948
                   |        |       |                             |                          |           
1s.8f              | 3F*    |     3 |         [196596.078760123]  |            0.000000010   |     L8948
                   |        |     4 |         [196596.079366013]  |            0.000000010   |     L8948
                   |        |     2 |         [196596.080442094]  |            0.000000010   |     L8948
                   |        |       |                             |                          |           
1s.8f              | 1F*    |     3 |         [196596.082092602]  |            0.000000010   |     L8948
                   |        |       |                             |                          |           
1s.8g              | 3G     |     4 |         [196596.209656481]  |            0.000000003   |     L8948
                   |        |     5 |         [196596.210331441]  |            0.000000003   |     L8948
                   |        |     3 |         [196596.210946275]  |            0.000000003   |     L8948
                   |        |       |                             |                          |           
1s.8g              | 1G     |     4 |         [196596.211361727]  |            0.000000002   |     L8948
                   |        |       |                             |                          |           
