T, Cp, H, S
2350, 20.8084558104, 48847.4551099, 11.5283418316
2400, 20.8134935264, 49886.7635377, 11.5288629095
2450, 20.8193651589, 50926.072149, 11.5294855459
2500, 20.8261545486, 51965.3809677, 11.5302233268
2550, 20.8339469225, 53004.6900194, 11.5310907061
2600, 20.8428282676, 54043.9993308, 11.532102959
2650, 20.8528847088, 55083.3089299, 11.5332761283
2700, 20.8642019006, 56122.618846, 11.5346269633
2750, 20.8768644406, 57161.929109, 11.5361728547
2800, 20.8909553099, 58201.2397499, 11.5379317633
2850, 20.9065553484, 59240.5508004, 11.5399221472
2900, 20.9237427662, 60279.8622927, 11.5421628852
2950, 20.9425926974, 61319.1742594, 11.5446731993
3000, 20.9631767951, 62358.4867334, 11.5474725765
3050, 20.9855628715, 63397.7997478, 11.5505806905
3100, 21.0098145817, 64437.1133355, 11.5540173249
3150, 21.035991152, 65476.4275295, 11.5578022971
3200, 21.0641471507, 66515.7423623, 11.5619553846
3250, 21.0943323012, 67555.0578662, 11.5664962537
3300, 21.1265913351, 68594.3740728, 11.5714443914
3350, 21.1609638822, 69633.6910131, 11.57681904
3400, 21.1974843977, 70673.0087175, 11.5826391355
3450, 21.2361821214, 71712.3272155, 11.5889232495
3500, 21.2770810682, 72751.6465356, 11.5956895355
3550, 21.3202000464, 73790.9667053, 11.6029556777
3600, 21.3655527025, 74830.2877511, 11.6107388458
3650, 21.413147588, 75869.6096984, 11.6190556516
3700, 21.4629882477, 76908.9325712, 11.6279221114
3750, 21.5150733267, 77948.2563925, 11.6373536111
3800, 21.5693966926, 78987.5811837, 11.6473648754
3850, 21.6259475727, 80026.9069651, 11.6579699411
3900, 21.6847107033, 81066.2337555, 11.6691821334
3950, 21.7456664883, 82105.5615723, 11.6810140462
4000, 21.8087911681, 83144.8904317, 11.6934775252
4050, 21.8740569935, 84184.2203483, 11.7065836546
4100, 21.9414324071, 85223.5513351, 11.7203427465
4150, 22.0108822273, 86262.8834039, 11.7347643334
4200, 22.0823678363, 87302.2165651, 11.7498571633
4250, 22.15584737, 88341.5508274, 11.7656291972
4300, 22.2312759082, 89380.8861983, 11.7820876088
4350, 22.3086056654, 90420.2226839, 11.7992387873
4400, 22.3877861812, 91459.5602888, 11.817088341
4450, 22.4687645082, 92498.8990162, 11.8356411039
4500, 22.551485399, 93538.2388682, 11.8549011431
4550, 22.63589149, 94577.5798452, 11.8748717687
4600, 22.7219234825, 95616.9219466, 11.8955555446
4650, 22.8095203199, 96656.2651705, 11.9169543008
4700, 22.8986193619, 97695.6095135, 11.9390691468
4750, 22.9891565536, 98734.9549715, 11.9619004866
4800, 23.0810665909, 99774.3015387, 11.9854480339
4850, 23.1742830813, 100813.649209, 12.0097108288
4900, 23.2687386999, 101852.997973, 12.0346872552
4950, 23.3643653404, 102892.347824, 12.0603750585
5000, 23.4610942614, 103931.698751, 12.0867713641
5050, 23.5588562274, 104971.050743, 12.1138726971
5100, 23.6575816448, 106010.403789, 12.1416750008
5150, 23.7572006934, 107049.757875, 12.1701736573
5200, 23.8576434514, 108089.112989, 12.1993635073
5250, 23.9588400173, 109128.469117, 12.2292388704
5300, 24.0607206246, 110167.826242, 12.2597935659
5350, 24.1632157535, 111207.184349, 12.2910209331
5400, 24.2662562365, 112246.543422, 12.3229138518
5450, 24.3697733593, 113285.903443, 12.3554647635
5500, 24.4736989577, 114325.264395, 12.3886656916
5550, 24.5779655089, 115364.626259, 12.4225082617
5600, 24.6825062195, 116403.989016, 12.4569837228
5650, 24.7872551078, 117443.352647, 12.4920829668
5700, 24.8921470833, 118482.717131, 12.5277965489
5750, 24.9971180211, 119522.08245, 12.5641147074
5800, 25.1021048329, 120561.448581, 12.6010273835
5850, 25.2070455347, 121600.815503, 12.6385242405
5900, 25.31187931, 122640.183196, 12.6765946829
5950, 25.4165465704, 123679.551638, 12.7152278755
6000, 25.5209890134, 124718.920806, 12.7544127618
6050, 25.6251496762, 125758.290678, 12.7941380822
6100, 25.728972988, 126797.661233, 12.8343923918
6150, 25.8324048187, 127837.032446, 12.8751640785
6200, 25.9353925266, 128876.404297, 12.9164413796
6250, 26.0378850028, 129915.776761, 12.9582123995
6300, 26.1398327146, 130955.149817, 13.0004651257
6350, 26.2411877472, 131994.52344, 13.0431874455
6400, 26.3419038441, 133033.897609, 13.0863671617
6450, 26.4419364459, 134073.2723, 13.1299920087
6500, 26.5412427293, 135112.64749, 13.1740496673
6550, 26.6397816443, 136152.023157, 13.2185277805
6600, 26.7375139523, 137191.399277, 13.2634139677
6650, 26.8344022628, 138230.775829, 13.3086958393
6700, 26.9304110713, 139270.152789, 13.3543610113
6750, 27.0255067971, 140309.530135, 13.400397119
6800, 27.1196578216, 141348.907846, 13.4467918306
6850, 27.2128345279, 142388.285898, 13.4935328614
6900, 27.3050093409, 143427.664271, 13.5406079864
6950, 27.3961567691, 144467.042942, 13.5880050539
7000, 27.4862534478, 145506.421891, 13.6357119984
7050, 27.5752781839, 146545.801097, 13.6837168535
7100, 27.663212003, 147585.180539, 13.7320077644
7150, 27.7500381979, 148624.560196, 13.7805730006
7200, 27.8357423802, 149663.940049, 13.8294009686
7250, 27.9203125336, 150703.320077, 13.8784802242
7300, 28.0037390706, 151742.700263, 13.9277994847
7350, 28.0860148911, 152782.080586, 13.9773476416
7400, 28.1671354448, 153821.46103, 14.0271137728
7450, 28.2470987958, 154860.841574, 14.0770871548
7500, 28.3259056908, 155900.222203, 14.1272572756
7550, 28.4035596306, 156939.6029, 14.1776138464
7600, 28.4800669443, 157978.983647, 14.2281468147
7650, 28.5554368677, 159018.364428, 14.278846377
7700, 28.6296816245, 160057.74523, 14.3297029908
7750, 28.7028165111, 161097.126036, 14.3807073883
7800, 28.7748599847, 162136.506832, 14.4318505885
7850, 28.8458337555, 163175.887605, 14.4831239114
7900, 28.9157628813, 164215.268343, 14.5345189903
7950, 28.9846758664, 165254.649032, 14.5860277861
8000, 29.0526047636, 166294.029661, 14.6376426003
8050, 29.1195852789, 167333.410219, 14.6893560896
8100, 29.1856568805, 168372.790696, 14.7411612798
8150, 29.2508629098, 169412.171083, 14.79305158
8200, 29.3152506962, 170451.55137, 14.8450207977
8250, 29.378871674, 171490.931551, 14.8970631531
8300, 29.441781503, 172530.311618, 14.949173295
8350, 29.5040401904, 173569.691566, 15.0013463156
8400, 29.5657122162, 174609.071388, 15.0535777669
8450, 29.62686666, 175648.45108, 15.105863676
8500, 29.6875773299, 176687.83064, 15.1582005619
8550, 29.7479228935, 177727.210065, 15.2105854519
8600, 29.8079870097, 178766.589352, 15.2630158984
8650, 29.8678584625, 179805.968503, 15.3154899962
8700, 29.9276312951, 180845.347518, 15.3680064
8750, 29.9874049454, 181884.726398, 15.4205643417
8800, 30.0472843809, 182924.105146, 15.4731636486
8850, 30.1073802344, 183963.483767, 15.5258047619
8900, 30.1678089399, 185002.862265, 15.5784887546
8950, 30.2286928667, 186042.240647, 15.6312173507
9000, 30.2901604535, 187081.618921, 15.6839929439
9050, 30.3523463413, 188120.997096, 15.7368186167
9100, 30.4153915043, 189160.375182, 15.78969816
9150, 30.4794433789, 190199.75319, 15.8426360923
9200, 30.544655991, 191239.131134, 15.8956376799
9250, 30.6111900791, 192278.509029, 15.9487089561
9300, 30.6792132164, 193317.886889, 16.0018567416
9350, 30.7488999273, 194357.264733, 16.0550886646
9400, 30.820431801, 195396.642579, 16.1084131806
9450, 30.8939976011, 196436.020448, 16.1618395931
9500, 30.9697933692, 197475.398362, 16.2153780733
9550, 31.0480225241, 198514.776345, 16.2690396809
9600, 31.1288959553, 199554.154422, 16.3228363839
9650, 31.2126321097, 200593.53262, 16.3767810788
9700, 31.2994570723, 201632.910968, 16.430887611
9750, 31.3896046395, 202672.289496, 16.4851707943
9800, 31.4833163846, 203711.668237, 16.5396464312
9850, 31.5808417156, 204751.047225, 16.5943313319
9900, 31.6824379236, 205790.426496, 16.6492433342
9950, 31.7883702231, 206829.806088, 16.7044013224
10000, 31.8989117814, 207869.186041, 16.7598252461
10050, 32.014343739, 208908.566397, 16.8155361388
10100, 32.1349552179, 209947.9472, 16.8715561357
10150, 32.2610433195, 210987.328495, 16.9279084918
10200, 32.3929131101, 212026.710331, 16.9846175985
10250, 32.5308775941, 213066.092757, 17.0417090007
10300, 32.6752576736, 214105.475826, 17.0992094128
10350, 32.8263820949, 215144.859592, 17.1571467341
10400, 32.9845873802, 216184.244111, 17.2155500636
10450, 33.1502177441, 217223.629442, 17.274449714
10500, 33.3236249951, 218263.015646, 17.3338772252
10550, 33.5051684202, 219302.402786, 17.3938653768
10600, 33.6952146529, 220341.790926, 17.4544481995
10650, 33.8941375233, 221381.180135, 17.5156609858
10700, 34.1023178902, 222420.570482, 17.5775403001
10750, 34.3201434536, 223459.962039, 17.6401239867
10800, 34.5480085484, 224499.354881, 17.7034511776
10850, 34.7863139172, 225538.749084, 17.7675622991
10900, 35.0354664616, 226578.144727, 17.8324990764
10950, 35.2958789727, 227617.541891, 17.8983045378
11000, 35.5679698382, 228656.940661, 17.965023017
11050, 35.8521627269, 229696.34112, 18.0327001538
11100, 36.1488862489, 230735.743359, 18.1013828942
11150, 36.4585735916, 231775.147466, 18.1711194878
11200, 36.7816621304, 232814.553536, 18.2419594843
11250, 37.1185930127, 233853.961662, 18.3139537281
11300, 37.4698107169, 234893.371941, 18.3871543509
11350, 37.8357625826, 235932.784475, 18.4616147631
11400, 38.2168983138, 236972.199362, 18.5373896422
11450, 38.6136694538, 238011.616709, 18.6145349201
11500, 39.0265288308, 239051.03662, 18.6931077684
11550, 39.4559299742, 240090.459203, 18.7731665807
11600, 39.9023265012, 241129.884568, 18.8547709533
11650, 40.3661714724, 242169.312828, 18.9379816637
11700, 40.8479167178, 243208.744097, 19.0228606465
11750, 41.3480121307, 244248.178489, 19.1094709669
11800, 41.8669049309, 245287.616123, 19.1978767916
11850, 42.4050388966, 246327.057119, 19.2881433573
11900, 42.9628535644, 247366.501597, 19.3803369367
11950, 43.540783398, 248405.94968, 19.4745248015
12000, 44.1392569255, 249445.401493, 19.5707751825
12050, 44.7586958454, 250484.857162, 19.6691572276
12100, 45.3995141017, 251524.316813, 19.7697409561
12150, 46.0621169281, 252563.780575, 19.8725972103
12200, 46.7468998633, 253603.248578, 19.9777976046
12250, 47.4542477354, 254642.720953, 20.0854144706
12300, 48.1845336192, 255682.19783, 20.1955208003
12350, 48.9381177649, 256721.679344, 20.3081901851
12400, 49.7153465013, 257761.165626, 20.4234967522
12450, 50.516551113, 258800.656811, 20.5415150976
12500, 51.3420466943, 259840.153032, 20.6623202162
12550, 52.1921309812, 260879.654426, 20.7859874286
12600, 53.0670831623, 261919.161125, 20.912592304
12650, 53.9671626725, 262958.673265, 21.042210581
12700, 54.8926079699, 263998.190981, 21.1749180842
12750, 55.8436352992, 265037.714406, 21.3107906381
12800, 56.8204374439, 266077.243675, 21.4499039781
12850, 57.8231824702, 267116.77892, 21.5923336573
12900, 58.8520124662, 268156.320274, 21.7381549515
12950, 59.9070422782, 269195.867867, 21.8874427601
13000, 60.9883582492, 270235.42183, 22.0402715049
13050, 62.0960169617, 271274.982291, 22.1967150252
13100, 63.2300439905, 272314.549377, 22.3568464708
13150, 64.3904326677, 273354.123213, 22.5207381921
13200, 65.5771428652, 274393.703921, 22.6884616271
13250, 66.7900997994, 275433.291623, 22.8600871869
13300, 68.0291928618, 276472.886436, 23.0356841383
13350, 69.2942744817, 277512.488475, 23.2153204842
13400, 70.585159024, 278552.097854, 23.3990628426
13450, 71.9016217301, 279591.714681, 23.5869763231
13500, 73.2433977039, 280631.339062, 23.7791244025
13550, 74.6101809514, 281670.971099, 23.9755687988
13600, 76.0016234768, 282710.610891, 24.1763693437
13650, 77.4173344431, 283750.25853, 24.381583855
