T, Cp, H, S
10550, 24.0015531591, 219296.418524, 19.9841590857
10600, 24.0527167928, 220335.744585, 19.999481925
10650, 24.1062152727, 221375.070963, 20.0149788817
10700, 24.1621396947, 222414.397676, 20.0306594732
10750, 24.2205829733, 223453.724742, 20.0465335127
10800, 24.2816398261, 224493.052179, 20.0626111123
10850, 24.3454067573, 225532.380007, 20.0789026855
10900, 24.4119820382, 226571.708247, 20.0954189501
10950, 24.4814656858, 227611.036918, 20.1121709303
11000, 24.5539594385, 228650.366042, 20.1291699593
11050, 24.6295667298, 229689.69564, 20.1464276814
11100, 24.7083926597, 230729.025734, 20.1639560538
11150, 24.7905439631, 231768.356347, 20.1817673487
11200, 24.8761289762, 232807.687502, 20.1998741546
11250, 24.9652575998, 233847.019223, 20.2182893778
11300, 25.0580412605, 234886.351535, 20.2370262439
11350, 25.154592869, 235925.684461, 20.2560982983
11400, 25.2550267756, 236965.018029, 20.2755194074
11450, 25.3594587233, 238004.352262, 20.295303759
11500, 25.468005798, 239043.68719, 20.3154658629
11550, 25.5807863755, 240083.022837, 20.3360205505
11600, 25.6979200665, 241122.359233, 20.3569829752
11650, 25.8195276581, 242161.696404, 20.378368612
11700, 25.9457310525, 243201.034381, 20.4001932566
11750, 26.076653203, 244240.373193, 20.4224730248
11800, 26.2124180467, 245279.712868, 20.4452243513
11850, 26.3531504349, 246319.053439, 20.4684639883
11900, 26.4989760593, 247358.394936, 20.4922090039
11950, 26.6500213765, 248397.737389, 20.5164767803
12000, 26.8064135283, 249437.080833, 20.5412850111
12050, 26.9682802599, 250476.425298, 20.5666516995
12100, 27.1357498342, 251515.770818, 20.5925951548
12150, 27.3089509431, 252555.117427, 20.6191339898
12200, 27.4880126165, 253594.465159, 20.6462871172
12250, 27.6730641267, 254633.814048, 20.6740737459
12300, 27.8642348912, 255673.16413, 20.7025133771
12350, 28.0616543708, 256712.51544, 20.7316257994
12400, 28.2654519659, 257751.868015, 20.761431085
12450, 28.4757569086, 258791.22189, 20.791949584
12500, 28.6926981524, 259830.577102, 20.8232019192
12550, 28.9164042579, 260869.93369, 20.8552089804
12600, 29.1470032763, 261909.291691, 20.8879919188
12650, 29.3846226287, 262948.651143, 20.9215721398
12700, 29.6293889835, 263988.012084, 20.9559712968
12750, 29.8814281296, 265027.374555, 20.9912112842
12800, 30.140864847, 266066.738594, 21.0273142294
12850, 30.4078227744, 267106.10424, 21.0643024856
12900, 30.6824242741, 268145.471535, 21.1021986231
12950, 30.9647902928, 269184.840518, 21.1410254209
13000, 31.2550402211, 270224.211231, 21.1808058579
13050, 31.5532917489, 271263.583713, 21.2215631034
13100, 31.8596607189, 272302.958007, 21.2633205075
13150, 32.1742609763, 273342.334154, 21.3061015911
13200, 32.4972042175, 274381.712195, 21.349930035
13250, 32.8285998345, 275421.092173, 21.3948296698
13300, 33.1685547584, 276460.47413, 21.4408244641
13350, 33.5171732995, 277499.858108, 21.4879385129
13400, 33.8745569855, 278539.244149, 21.536196026
13450, 34.2408043981, 279578.632295, 21.5856213153
13500, 34.6160110068, 280618.022591, 21.6362387823
13550, 35.0002690012, 281657.415077, 21.6880729045
13600, 35.3936671221, 282696.809798, 21.7411482225
13650, 35.7962904904, 283736.206795, 21.7954893255
13700, 36.2082204348, 284775.606111, 21.8511208377
13750, 36.6295343185, 285815.007789, 21.9080674029
13800, 37.0603053648, 286854.411872, 21.9663536702
13850, 37.5006024819, 287893.818402, 22.0260042781
13900, 37.9504900871, 288933.227422, 22.0870438394
13950, 38.4100279305, 289972.638973, 22.1494969243
14000, 38.8792709186, 291012.053098, 22.2133880447
14050, 39.3582689382, 292051.469838, 22.2787416371
14100, 39.8470666806, 293090.889235, 22.3455820457
14150, 40.3457034655, 294130.31133, 22.413933505
14200, 40.8542130673, 295169.736165, 22.4838201217
14250, 41.3726235412, 296209.163779, 22.5552658574
14300, 41.9009570511, 297248.594213, 22.6282945096
14350, 42.4392296998, 298288.027506, 22.7029296937
14400, 42.9874513601, 299327.463698, 22.7791948238
14450, 43.545625509, 300366.902828, 22.8571130937
14500, 44.1137490644, 301406.344933, 22.9367074576
14550, 44.6918122247, 302445.790052, 23.0180006106
14600, 45.2797983115, 303485.238222, 23.1010149686
14650, 45.8776836163, 304524.689479, 23.185772649
14700, 46.4854372509, 305564.143858, 23.2722954499
14750, 47.1030210024, 306603.601395, 23.3606048301
14800, 47.7303891926, 307643.062124, 23.4507218887
14850, 48.3674885427, 308682.526079, 23.5426673445
14900, 49.0142580435, 309721.993292, 23.6364615153
14950, 49.6706288313, 310761.463794, 23.7321242971
15000, 50.3365240698, 311800.937617, 23.8296751436
15050, 51.0118588389, 312840.414792, 23.929133045
15100, 51.6965400306, 313879.895345, 24.0305165075
15150, 52.3904662516, 314919.379306, 24.1338435322
15200, 53.0935277339, 315958.866702, 24.2391315944
15250, 53.8056062538, 316998.357557, 24.346397623
15300, 54.5265750592, 318037.851897, 24.4556579796
15350, 55.2562988052, 319077.349745, 24.5669284383
15400, 55.9946334994, 320116.851124, 24.6802241648
15450, 56.7414264569, 321156.356054, 24.7955596969
15500, 57.4965162644, 322195.864555, 24.9129489237
15550, 58.2597327555, 323235.376645, 25.0324050665
15600, 59.0308969954, 324274.892341, 25.1539406587
15650, 59.8098212775, 325314.41166, 25.2775675267
15700, 60.5963091307, 326353.934614, 25.4032967713
15750, 61.3901553379, 327393.461218, 25.5311387486
15800, 62.1911459664, 328432.991482, 25.6611030519
15850, 62.9990584105, 329472.525415, 25.793198494
15900, 63.8136614461, 330512.063027, 25.9274330898
15950, 64.6347152971, 331551.604323, 26.0638140392
16000, 65.4619717156, 332591.14931, 26.2023477107
16050, 66.2951740738, 333630.697989, 26.3430396257
16100, 67.1340574695, 334670.250363, 26.4858944428
16150, 67.9783488439, 335709.806432, 26.6309159432
16200, 68.8277671134, 336749.366194, 26.7781070167
16250, 69.6820233138, 337788.929645, 26.9274696477
16300, 70.5408207585, 338828.496782, 27.079004903
16350, 71.403855209, 339868.067595, 27.232712919
16400, 72.2708150598, 340907.642078, 27.3885928908
16450, 73.1413815353, 341947.220219, 27.5466430611
16500, 74.0152289009, 342986.802005, 27.7068607108
16550, 74.8920246862, 344026.387424, 27.8692421495
16600, 75.7714299216, 345065.976457, 28.0337827074
16650, 76.6530993874, 346105.569089, 28.2004767279
