T, Cp, H, S
4700, 21.7310804827, 97695.7572131, 18.5142607755
4750, 21.7574678968, 98735.0758638, 18.524399556
4800, 21.7837938184, 99774.3948308, 18.5347081762
4850, 21.8100411293, 100813.714103, 18.5451823896
4900, 21.8361934123, 101853.033669, 18.5558179085
4950, 21.8622349473, 102892.353518, 18.5666104125
5000, 21.8881507068, 103931.673639, 18.577555557
5050, 21.913926349, 104970.994022, 18.588648981
5100, 21.9395482088, 106010.314655, 18.5998863143
5150, 21.9650032891, 107049.635529, 18.6112631848
5200, 21.990279249, 108088.956633, 18.6227752246
5250, 22.0153643924, 109128.277957, 18.634418076
5300, 22.0402476548, 110167.599491, 18.6461873976
5350, 22.0649185896, 111206.921225, 18.6580788693
5400, 22.0893673542, 112246.243151, 18.6700881971
5450, 22.1135846945, 113285.565257, 18.6822111177
5500, 22.13756193, 114324.887536, 18.6944434029
5550, 22.1612909378, 115364.209978, 18.7067808631
5600, 22.1847641369, 116403.532574, 18.7192193511
5650, 22.2079744718, 117442.855315, 18.7317547652
5700, 22.2309153961, 118482.178194, 18.7443830522
5750, 22.2535808563, 119521.501201, 18.7571002101
5800, 22.2759652755, 120560.824329, 18.7699022905
5850, 22.2980635366, 121600.147569, 18.7827854009
5900, 22.3198709666, 122639.470914, 18.7957457064
5950, 22.3413833199, 123678.794357, 18.8087794316
6000, 22.3625967628, 124718.117889, 18.8218828621
6050, 22.3835078574, 125757.441504, 18.8350523458
6100, 22.4041135463, 126796.765195, 18.8482842941
6150, 22.4244111372, 127836.088955, 18.8615751827
6200, 22.444398288, 128875.412777, 18.8749215526
6250, 22.4640729918, 129914.736655, 18.8883200109
6300, 22.483433563, 130954.060582, 18.9017672307
6350, 22.5024786226, 131993.384553, 18.9152599523
6400, 22.5212070851, 133032.708561, 18.9287949827
6450, 22.5396181446, 134072.0326, 18.9423691964
6500, 22.5577112622, 135111.356666, 18.9559795348
6550, 22.575486153, 136150.680752, 18.9696230068
6600, 22.5929427737, 137190.004853, 18.983296688
6650, 22.610081311, 138229.328964, 18.9969977211
6700, 22.6269021699, 139268.65308, 19.0107233148
6750, 22.6434059623, 140307.977197, 19.0244707441
6800, 22.6595934959, 141347.30131, 19.0382373497
6850, 22.6754657646, 142386.625413, 19.0520205371
6900, 22.6910239373, 143425.949503, 19.0658177764
6950, 22.7062693486, 144465.273576, 19.0796266016
7000, 22.7212034894, 145504.597627, 19.0934446096
7050, 22.7358279974, 146543.921653, 19.1072694602
7100, 22.7501446488, 147583.24565, 19.1210988744
7150, 22.7641553496, 148622.569613, 19.1349306344
7200, 22.7778621271, 149661.89354, 19.1487625825
7250, 22.7912671227, 150701.217427, 19.1625926201
7300, 22.8043725842, 151740.541271, 19.1764187069
7350, 22.8171808582, 152779.865068, 19.1902388602
7400, 22.8296943837, 153819.188816, 19.2040511539
7450, 22.841915685, 154858.512511, 19.2178537173
7500, 22.8538473657, 155897.836151, 19.2316447346
7550, 22.8654921025, 156937.159734, 19.2454224436
7600, 22.8768526393, 157976.483255, 19.2591851351
7650, 22.8879317815, 159015.806714, 19.2729311515
7700, 22.898732391, 160055.130107, 19.2866588861
7750, 22.9092573807, 161094.453432, 19.3003667822
7800, 22.9195097103, 162133.776687, 19.314053332
7850, 22.9294923806, 163173.09987, 19.3277170754
7900, 22.9392084303, 164212.422979, 19.3413565997
7950, 22.9486609306, 165251.746012, 19.3549705379
8000, 22.9578529823, 166291.068967, 19.3685575681
8050, 22.9667877109, 167330.391842, 19.3821164128
8100, 22.975468264, 168369.714635, 19.3956458371
8150, 22.983897807, 169409.037346, 19.409144649
8200, 22.9920795204, 170448.359972, 19.4226116971
8250, 23.0000165961, 171487.682513, 19.436045871
8300, 23.0077122352, 172527.004966, 19.4494460992
8350, 23.0151696445, 173566.32733, 19.4628113492
8400, 23.0223920343, 174605.649604, 19.4761406258
8450, 23.0293826157, 175644.971788, 19.4894329707
8500, 23.0361445983, 176684.293879, 19.5026874617
8550, 23.0426811878, 177723.615877, 19.5159032113
8600, 23.0489955843, 178762.937781, 19.5290793664
8650, 23.0550909797, 179802.259589, 19.5422151073
8700, 23.0609705563, 180841.581302, 19.5553096467
8750, 23.066637485, 181880.902918, 19.5683622291
8800, 23.0720949234, 182920.224437, 19.58137213
8850, 23.0773460143, 183959.545857, 19.5943386551
8900, 23.0823938847, 184998.867179, 19.6072611394
8950, 23.0872416436, 186038.188401, 19.6201389464
9000, 23.0918923815, 187077.509523, 19.6329714679
9050, 23.0963491688, 188116.830545, 19.6457581225
9100, 23.1006150548, 189156.151466, 19.6584983555
9150, 23.1046930668, 190195.472285, 19.6711916378
9200, 23.1085862087, 191234.793003, 19.6838374655
