T, Cp, H, S
26050, 30.4776822254, 541491.274935, 22.1368116942
26100, 30.5530745459, 542530.596543, 22.1554676169
26150, 30.6303534852, 543569.91839, 22.1742339267
26200, 30.7095458154, 544609.24048, 22.1931138312
26250, 30.7906784978, 545648.56282, 22.2121105708
26300, 30.8737786798, 546687.885415, 22.2312274193
26350, 30.9588736926, 547727.208272, 22.250467683
26400, 31.0459910487, 548766.531398, 22.269834702
26450, 31.1351584389, 549805.854797, 22.2893318491
26500, 31.2264037296, 550845.178476, 22.3089625309
26550, 31.3197549598, 551884.502442, 22.3287301871
26600, 31.415240338, 552923.826701, 22.3486382911
26650, 31.512888239, 553963.15126, 22.3686903498
26700, 31.6127272007, 555002.476124, 22.3888899037
26750, 31.7147859204, 556041.801301, 22.4092405269
26800, 31.8190932515, 557081.126796, 22.4297458275
26850, 31.9256781997, 558120.452617, 22.450409447
26900, 32.0345699193, 559159.778771, 22.4712350609
26950, 32.1457977093, 560199.105264, 22.4922263783
27000, 32.2593910091, 561238.432102, 22.5133871424
27050, 32.3753793948, 562277.759293, 22.53472113
27100, 32.4937925744, 563317.086844, 22.5562321517
27150, 32.6146603838, 564356.414762, 22.5779240521
27200, 32.7380127819, 565395.743053, 22.5998007094
27250, 32.8638798463, 566435.071725, 22.6218660356
27300, 32.992291768, 567474.400786, 22.6441239764
27350, 33.123278847, 568513.730241, 22.6665785115
27400, 33.2568714867, 569553.0601, 22.6892336537
27450, 33.393100189, 570592.390368, 22.7120934498
27500, 33.5319955488, 571631.721053, 22.73516198
27550, 33.6735882485, 572671.052163, 22.7584433577
27600, 33.8179090524, 573710.383706, 22.7819417299
27650, 33.9649888008, 574749.715688, 22.8056612767
27700, 34.1148584043, 575789.048118, 22.8296062114
27750, 34.2675488376, 576828.381004, 22.8537807803
27800, 34.4230911329, 577867.714352, 22.8781892625
27850, 34.5815163742, 578907.048171, 22.9028359699
27900, 34.7428556902, 579946.382468, 22.9277252471
27950, 34.9071402481, 580985.717252, 22.9528614708
28000, 35.0744012462, 582025.052531, 22.9782490504
28050, 35.2446699076, 583064.388312, 23.0038924271
28100, 35.4179774723, 584103.724604, 23.0297960741
28150, 35.5943551908, 585143.061414, 23.0559644962
28200, 35.7738343157, 586182.398752, 23.0824022297
28250, 35.9564460948, 587221.736624, 23.1091138424
28300, 36.1422217631, 588261.07504, 23.1361039327
28350, 36.3311925349, 589300.414008, 23.16337713
28400, 36.5233895955, 590339.753536, 23.1909380943
28450, 36.7188440936, 591379.093632, 23.2187915157
28500, 36.917587132, 592418.434306, 23.2469421141
28550, 37.1196497597, 593457.775565, 23.2753946394
28600, 37.3250629631, 594497.117419, 23.3041538705
28650, 37.5338576569, 595536.459875, 23.3332246156
28700, 37.7460646751, 596575.802943, 23.3626117114
28750, 37.9617147619, 597615.146631, 23.3923200231
28800, 38.1808385623, 598654.490949, 23.4223544437
28850, 38.4034666124, 599693.835904, 23.4527198938
28900, 38.6296293301, 600733.181506, 23.4834213214
28950, 38.8593570046, 601772.527764, 23.5144637012
29000, 39.0926797871, 602811.874686, 23.5458520343
29050, 39.32962768, 603851.222282, 23.5775913477
29100, 39.5702305269, 604890.57056, 23.609686694
29150, 39.814518002, 605929.91953, 23.642143151
29200, 40.0625195991, 606969.269201, 23.6749658208
29250, 40.3142646214, 608008.619583, 23.7081598298
29300, 40.56978217, 609047.970683, 23.7417303281
29350, 40.8291011329, 610087.322511, 23.7756824886
29400, 41.0922501734, 611126.675078, 23.8100215071
29450, 41.3592577191, 612166.028391, 23.8447526011
29500, 41.63015195, 613205.382461, 23.8798810098
29550, 41.9049607865, 614244.737296, 23.9154119933
29600, 42.1837118777, 615284.092907, 23.9513508317
29650, 42.4664325893, 616323.449301, 23.9877028252
