T, Cp, H, S
2400, 20.7867091729, 49886.7588696, 11.5263257073
2450, 20.7868951818, 50926.0663697, 11.526339081
2500, 20.787130883, 51965.3738771, 11.526356427
2550, 20.7874262639, 53004.6813937, 11.5263786685
2600, 20.7877926075, 54043.9889214, 11.5264068816
2650, 20.7882425442, 55083.2964624, 11.526442308
2700, 20.7887900904, 56122.6040194, 11.5264863693
2750, 20.7894506749, 57161.9115954, 11.5265406786
2800, 20.7902411505, 58201.2191936, 11.5266070527
2850, 20.7911797925, 59240.5268177, 11.5266875228
2900, 20.792286283, 60279.8344719, 11.5267843442
2950, 20.7935816816, 61319.1421607, 11.5269000048
3000, 20.7950883831, 62358.449889, 11.5270372324
3050, 20.7968300626, 63397.7576622, 11.5271990001
3100, 20.798831609, 64437.0654861, 11.5273885311
3150, 20.8011190484, 65476.3733669, 11.5276093013
3200, 20.8037194575, 66515.6813113, 11.5278650405
3250, 20.8066608691, 67554.9893265, 11.5281597326
3300, 20.8099721702, 68594.29742, 11.5284976133
3350, 20.8136829949, 69633.6055997, 11.5288831677
3400, 20.8178236118, 70672.9138741, 11.5293211254
3450, 20.8224248089, 71712.2222519, 11.5298164545
3500, 20.8275177757, 72751.5307424, 11.5303743547
3550, 20.8331339843, 73790.839355, 11.5310002492
3600, 20.839305071, 74830.1480996, 11.5316997749
3650, 20.8460627179, 75869.4569865, 11.5324787725
3700, 20.8534385366, 76908.7660262, 11.5333432748
3750, 20.8614639554, 77948.0752294, 11.534299495
3800, 20.8701701082, 78987.3846073, 11.5353538138
3850, 20.8795877285, 80026.694171, 11.5365127663
3900, 20.8897470475, 81066.003932, 11.537783028
3950, 20.9006776969, 82105.3139021, 11.5391714006
4000, 20.9124086175, 83144.6240931, 11.5406847977
4050, 20.9249679726, 84183.9345168, 11.5423302301
4100, 20.938383068, 85223.2451852, 11.5441147909
4150, 20.9526802774, 86262.5561106, 11.5460456406
4200, 20.9678849736, 87301.867305, 11.5481299924
4250, 20.9840214667, 88341.1787805, 11.5503750976
4300, 21.0011129475, 89380.4905493, 11.5527882307
4350, 21.0191814369, 90419.8026235, 11.5553766755
4400, 21.0382477419, 91459.1150152, 11.5581477108
4450, 21.0583314165, 92498.4277362, 11.5611085966
4500, 21.079450729, 93537.7407984, 11.5642665611
4550, 21.1016226339, 94577.0542135, 11.5676287873
4600, 21.1248627498, 95616.367993, 11.571202401
4650, 21.1491853414, 96655.6821484, 11.5749944581
4700, 21.1746033076, 97694.9966908, 11.5790119337
4750, 21.2011281726, 98734.3116311, 11.5832617106
4800, 21.2287700822, 99773.6269801, 11.5877505687
4850, 21.2575378041, 100812.942748, 11.5924851753
4900, 21.2874387317, 101852.258946, 11.5974720755
4950, 21.3184788913, 102891.575583, 11.602717683
5000, 21.3506629532, 103930.892669, 11.608228272
5050, 21.3839942452, 104970.210213, 11.614009969
5100, 21.4184747691, 106009.528225, 11.6200687459
5150, 21.4541052203, 107048.846713, 11.6264104128
5200, 21.4908850086, 108088.165685, 11.633040612
5250, 21.5288122822, 109127.485149, 11.6399648121
5300, 21.5678839535, 110166.805114, 11.6471883027
5350, 21.6080957259, 111206.125587, 11.6547161897
5400, 21.6494421227, 112245.446574, 11.6625533911
5450, 21.6919165179, 113284.768082, 11.6707046332
5500, 21.7355111668, 114324.090117, 11.679174447
5550, 21.780217239, 115363.412686, 11.6879671655
5600, 21.8260248516, 116402.735793, 11.6970869213
5650, 21.8729231031, 117442.059444, 11.7065376442
5700, 21.9209001084, 118481.383643, 11.71632306
5750, 21.969943034, 119520.708395, 11.7264466886
5800, 22.0200381333, 120560.033704, 11.7369118436
5850, 22.0711707828, 121599.359573, 11.7477216315
5900, 22.1233255179, 122638.686006, 11.7588789512
5950, 22.1764860692, 123678.013006, 11.7703864945
6000, 22.2306353985, 124717.340574, 11.7822467462
6050, 22.2857557349, 125756.668713, 11.7944619847
6100, 22.3418286107, 126795.997425, 11.807034283
6150, 22.398834897, 127835.326711, 11.8199655099
6200, 22.4567548392, 128874.656571, 11.8332573314
6250, 22.5155680919, 129913.987008, 11.8469112122
6300, 22.575253754, 130953.318021, 11.8609284176
6350, 22.6357904022, 131992.649609, 11.8753100158
6400, 22.6971561256, 133031.981774, 11.8900568795
6450, 22.7593285587, 134071.314513, 11.9051696892
6500, 22.8222849137, 135110.647826, 11.9206489349
6550, 22.8860020134, 136149.981712, 11.9364949194
6600, 22.9504563224, 137189.316168, 11.9527077608
6650, 23.0156239781, 138228.651193, 11.9692873959
6700, 23.0814808213, 139267.986785, 11.9862335828
6750, 23.1480024256, 140307.322941, 12.0035459044
6800, 23.2151641264, 141346.659659, 12.0212237719
6850, 23.2829410497, 142385.996934, 12.0392664275
6900, 23.3513081393, 143425.334764, 12.0576729488
6950, 23.4202401842, 144464.673145, 12.0764422518
7000, 23.4897118443, 145504.012073, 12.0955730943
7050, 23.5596976768, 146543.351544, 12.1150640802
7100, 23.6301721602, 147582.691554, 12.1349136629
7150, 23.7011097191, 148622.032098, 12.1551201489
7200, 23.7724847471, 149661.37317, 12.1756817017
7250, 23.8442716302, 150700.714767, 12.196596346
7300, 23.916444768, 151740.056882, 12.2178619709
7350, 23.9889785957, 152779.39951, 12.2394763342
7400, 24.0618476044, 153818.742646, 12.2614370662
7450, 24.1350263609, 154858.086283, 12.2837416734
7500, 24.2084895272, 155897.430416, 12.3063875428
7550, 24.2822118787, 156936.775038, 12.3293719452
7600, 24.3561683223, 157976.120143, 12.3526920394
7650, 24.4303339132, 159015.465724, 12.3763448763
7700, 24.5046838719, 160054.811774, 12.4003274021
7750, 24.5791935995, 161094.158288, 12.4246364627
