J, epsion

3, 135565

2, 135681.7
1, 135681.7
0, 135681.7

3, 135701.8

2, 135723

3, 135732.4

1, 135732.4

2, 135732.4
1, 135732.4

1, 135736

1, 135751.7
2, 135752.9

2, 135755

3, 135755

3, 135852.6

3, 135876.4

1, 135876.4

2, 135876.4
1, 135876.4

1, 135887

1, 135896.9
2, 135899.1

2, 135902

3, 135902

3, 135986.4

1, 135986.4

2, 135986.4
1, 135986.4

2, 136000

1, 136000

2, 136011.0
1, 136011.7

3, 136071.3

1, 136071.3

2, 136071.3
1, 136071.3

1, 136085

2, 136100.1

3, 136138.9

1, 136138.9

2, 136138.9
1, 136138.9

2, 136171.5

3, 136194.4

1, 136194.4

2, 136194.4
1, 136194.4

2, 136242.2

1, 136353





2, 137928

2, 137946.5
1, 137946.5
0, 137946.5

3, 137962.5
2, 137962.5
1, 137962.5

1, 137981

2, 142650.5
1, 142650.5
0, 142650.5

1, 142743

2, 143359

2, 143363.4

3, 143363.4

1, 143363.4
0, 143363.4

2, 143363.4
1, 143363.4

1, 143384

2, 145516.5
1, 145516.5
0, 145516.5

1, 145620

2, 145868

2, 145870.5

3, 145870.5

1, 145870.5
0, 145870.5

2, 145870.5
1, 145870.5

1, 145887

2, 147028.7
1, 147028.7
0, 147028.7

1, 147057

2, 147229

2, 147230.1

3, 147230.1

1, 147230.1
0, 147230.1

2, 147230.1
1, 147230.1

1, 147240

2, 147921.1
1, 147921.1
0, 147921.1

1, 147942

2, 148045

2, 148047.7

3, 148047.7

1, 148047.7
0, 148047.7

2, 148047.7
1, 148047.7

1, 148058

2, 148495.5
1, 148495.5
0, 148495.5

1, 148505

2, 148576.9

3, 148576.9

1, 148576.9
0, 148576.9

2, 148576.9
1, 148576.9

2, 148578

1, 148582

2, 148882.9
1, 148882.9
0, 148882.9

1, 148891

2, 148941

2, 148945.4

3, 148945.4

1, 148945.4
0, 148945.4

2, 148945.4
1, 148945.4

1, 148946

2, 149159.1
1, 149159.1
0, 149159.1

1, 149168

2, 149200.6

3, 149200.6

1, 149200.6
0, 149200.6

2, 149200.6
1, 149200.6

2, 149203

2, 149359.4
1, 149359.4
0, 149359.4

2, 149390.6

3, 149390.6

1, 149390.6
0, 149390.6

2, 149390.6
1, 149390.6

2, 149392

2, 149514.4
1, 149514.4
0, 149514.4

2, 149539.4

3, 149539.4

1, 149539.4
0, 149539.4

2, 149539.4
1, 149539.4

2, 149631.8
1, 149631.8
0, 149631.8

2, 149652.2

3, 149652.2

1, 149652.2
0, 149652.2

2, 149652.2
1, 149652.2

2, 149744.9

3, 149744.9

1, 149744.9
0, 149744.9

2, 149744.9
1, 149744.9

2, 149815.6

3, 149815.6

1, 149815.6
0, 149815.6

2, 149815.6
1, 149815.6

2, 149923.7

3, 149923.7

1, 149923.7
0, 149923.7

2, 149923.7
1, 149923.7

2, 149961.5

3, 149961.5

1, 149961.5
0, 149961.5

2, 149961.5
1, 149961.5

2, 150000.8

3, 150000.8

1, 150000.8
0, 150000.8

2, 150000.8
1, 150000.8



